*隠し要素解禁条件 [#title]
[[PSPDXの収録曲]]
-一定数の条件を達成すると新しい[[称号>段位・称号の一覧#pspdx]]が手に入る。

**やり込み帳 [#SP]
|CENTER:||||c
|45|道場制覇20|おみこしバトルで陣地が20以上になった||
|46|道場制覇30|おみこしバトルで陣地が30以上になった||
|47|道場制覇40|おみこしバトルで陣地が40以上になった||
|48|全国制覇|おみこしバトルで全ての陣地を取った||
|49|おみこしバトルクリア||[[サイクル・オブ・リバース>難易度表/おに/サイクル・オブ・リバース]]|
|50|勝ち抜きバトル2連勝||帽子：デビルフェイス|
|51|勝ち抜きバトル5連勝||服：デビルボディ|
|52|勝ち抜きバトルクリア||分身の使用回数無制限|
|53|門下生100|おみこしバトルで門下生が100人以上になった|音色：ちびどん|
|54|門下生200|おみこしバトルで門下生が200人以上になった|音色：ツッパリどん|
|55|門下生300|おみこしバトルで門下生が300人になった|音色：よこづなどん|
|56|圧勝|おみこしバトルで圧勝した||
|57|大敗|おみこしバトルで大敗した||
|58|あすなろドンだー|ノルマクリア失敗10回以上|音色：おなら|
|59|初めての通信|初めて通信した|音色：ヤッホー|
|60|通信の初心者|通信5回以上|音色：シンセドラム|
|61|通信の一人前|通信10回以上|音色：炭酸飲料|
|62|通信の玄人|通信15回以上|音色：いぬねこ|
|63|通信の達人|通信20回以上|音色：ちゃぶ台|
|64|友達コレクター|5人以上と通信||
|65|アイドルマスター好き|[[The world is all one !!>難易度表/かんたん/The world is all one !!]]をかんたんでフルコンボ|帽子：アイマスリボン|
|66|アイドルマスターファン|[[The world is all one !!>難易度表/ふつう/The world is all one !!]]をふつうでフルコンボ|服：アイマスドレス|
|67|モンスターハンター好き|[[モンスターハンターメドレー>難易度表/かんたん/モンスターハンターメドレー(新)]]をかんたんでフルコンボ|帽子：アイルーヘルム|
|68|モンスターハンターファン|[[モンスターハンターメドレー>難易度表/ふつう/モンスターハンターメドレー(新)]]をふつうでフルコンボ|服：アイルーボディ|
|69|初音ミク好き|[[初音ミクの激唱>難易度表/かんたん/初音ミクの激唱]]をかんたんでフルコンボ|帽子：ミクミクヘアー|
|70|初音ミクファン|[[初音ミクの激唱>難易度表/ふつう/初音ミクの激唱]]をふつうでフルコンボ|服：ミクミクドレス|
|71|龍が如く好き|[[MachineGun Kiss>難易度表/かんたん/MachineGun Kiss]]をかんたんでフルコンボ|帽子：ひょうしき|
|72|龍が如くファン|[[MachineGun Kiss>難易度表/ふつう/MachineGun Kiss]]をふつうでフルコンボ|服：かむろゲート|
|73|メドレーコンボ500|メドレーモードで最大コンボ数が500回以上||
|74|メドレーコンボ1000|メドレーモードで最大コンボ数が1000回以上||
|75|メドレーコンボ1500|メドレーモードで最大コンボ数が1500回以上||
|76|メドレーコンボ2000|メドレーモードで最大コンボ数が2000回以上||
|77|メドレー連打マスター|メドレーモードで連打数が500回以上|音色：拳法|
|78|メドレースコアマスター|メドレーモードでスコアが3000000点以上|音色：ダイナマイト|
