[[難易度表/おに/夜咄ディセイブ]]

//-作成 --  &new{2013-05-09 (木) 19:25:19};
//-↑おぉー --  &new{2013-05-09 (木) 20:13:42};
//-２↑乙 --  &new{2013-05-09 (木) 22:26:12};
//-曲の読み方は？ --  &new{2013-05-10 (金) 20:46:25};
//-↑自分で調べられるだろ。 --  &new{2013-05-10 (金) 20:50:54};
//-譜面はよ --  &new{2013-05-10 (金) 21:30:17};
//-↑3 よばなしディセイブ。 --  &new{2013-05-11 (土) 01:12:02};
//-次郎でBPM二百数十くらいにしてたがその半分だったのか？ --  &new{2013-05-12 (日) 01:31:10};
//-まだかしら --  &new{2013-05-27 (月) 18:33:49};
//-チルドレンレコードは短くて結構残念だったけど、これは結構長かったから超やりたい --  &new{2013-05-27 (月) 19:26:48};
//-↑長いのは待ち時間が --  &new{2013-06-06 (木) 21:33:10};
//-千本桜、十面相、ディセイブ、リセットボタン、で待ち時間長くなるね。 --  &new{2013-06-07 (金) 22:04:38};
//-ヴァーナスとか使って来るかも --  &new{2013-06-11 (火) 22:49:21};
//-☆９にしては簡単過ぎる。精度はとりずらいけど。 --  &new{2013-06-25 (火) 20:03:18};
-junctionの複合を弱くして代わりに発狂を入れてみたみたいな感じかな？総合的にはやや弱め。 --  &new{2013-06-25 (火) 22:52:36};
//-AmandaがJOMANDAに見えてしまってファッ！？ってなった --  &new{2013-06-26 (水) 14:41:55};
//-今回のアプデは部分的に発狂気味にして全体的に弱く総合的に見てもやっぱ弱いって曲が多いきがする　スーハーの影響？なんだろうがあれは発狂が強すぎて総合的に見ても鬼強 --  &new{2013-06-27 (木) 13:33:08};
//-これが☆９ならマジドリを☆９にした方がいいんじゃ・・・ --  &new{2013-06-27 (木) 13:34:02};
//-不可1でIAちゃん最後ウインクぇ… --  &new{2013-06-27 (木) 18:37:06};
//-昨日閉店ギリでやってたら電源落ちたｗｗ＆初見がなかったことになった --  &new{2013-06-28 (金) 07:00:15};
//-↑2 あんたが上手いからそう錯覚したんだろう --  &new{2013-06-28 (金) 11:56:18};
-偶数連打多いし所々に24分あって可とか不可出やすい。倍速かけたほうがいいんかなぁー？ --  &new{2013-06-29 (土) 21:42:17};
//-↑ゴーゴー暗記していたら有りかもな --  &new{2013-07-05 (金) 12:38:36};
//-↑2ゴーゴーは繰り返しだから覚えるべきだよ。 --  &new{2013-07-05 (金) 12:50:48};
//-↑5　俺は初見でこの曲やったとき途中でバグがおきて不可が出たｗ --  &new{2013-07-09 (火) 20:57:46};
-漢字＋英語の題名ってなんとなく違和感がある --  &new{2013-07-14 (日) 20:50:02};
-↑そんな曲いくらでもあるし今更だと思うが。七色ハーモニーとか --  &new{2013-07-15 (月) 07:52:42};
-連打の秒数載せてほしいです --  &new{2013-07-15 (月) 16:45:29};
-真打の良は1370点でした。 --  &new{2013-07-15 (月) 18:35:05};
//-24分地帯で毎回ミスる。対策教えてくれ。 --  &new{2013-07-17 (水) 22:17:50};
//-↑スタイリッシュ逆手アクション --  &new{2013-07-17 (水) 22:31:08};
//-↑まず逆手自体出来ねえwww --  &new{2013-07-17 (水) 22:39:00};
//-21小節　ドドカでいいのに一つ余計にカを打って不可出すわorz --  &new{2013-07-19 (金) 20:08:02};
//-上手く説明できないけど、こういう感じの譜面すごい苦手。。曲はかなり好きだけど。 --  &new{2013-07-23 (火) 15:58:21};
-MATSURI D/Aの上位互換かな？ --  &new{2013-07-23 (火) 16:14:53};
-↑花音と景清。 --  &new{2013-07-23 (火) 16:17:00};
-花オトの上位互換かと言われると微妙だな。 --  &new{2013-07-23 (火) 16:18:32};
//-DON'T CUTと1コンボ差!? --  &new{2013-08-03 (土) 16:50:48};
//-カルマと2コンボ差!? --  &new{2013-08-11 (日) 12:29:55};
//-だから何 --  &new{2013-08-11 (日) 12:34:36};
//-音色「ドラム」にしたらマジで楽しかった! --  &new{2013-08-11 (日) 20:44:35};
//-曲的には大好きｗ --  &new{2013-08-14 (水) 03:09:22};
//-こういう譜面やり込むと楽しくなるよね。初見の印象は曲いいけど譜面微妙みたいな感じだったけどw --  &new{2013-08-15 (木) 08:11:39};
-スポーツダイジェスドン裏の24分を1ヵ所にまとめてポイしたって感じ --  &new{2013-08-15 (木) 09:23:26};
//-ほぼ毎回「あとちょっと！おしかったドン」といわれ「うるせぇ！だまれ！」ってなるｗｗｗ --  &new{2013-08-20 (火) 12:28:53};
-自分としては、ボーカロイド曲の中ではもっともちょうどいい感じの曲。ボーカロイド曲は平気でBPM200超えるような曲が多いなかで、BPM130の技術譜面っていうとこがいいと思う。ソフランも24分音符も叩いてて楽しいし。 --  &new{2013-09-07 (土) 21:50:49};
//-発狂部分難しすぎw --  &new{2013-09-08 (日) 15:44:51};
-maimaiにも入ったけどbpm260になっている。 --  &new{2013-09-08 (日) 15:53:00};
//-なんか、空気だよね。花オトもそうなんだけど、ボカロのリズム難は空気だよね。なんか、悲しい。 --  &new{2013-09-15 (日) 16:39:30};
//-↑　太鼓ではね。 --  &new{2013-09-15 (日) 16:54:03};
//-この譜面好き --  &new{2013-09-18 (水) 02:10:50};
//-↑3 どのジャンルでも低速リズム難は人気無いんですよね…残念 --  &new{2013-09-18 (水) 07:45:14};
//-太鼓じゃなくても空気だろ --  &new{2013-09-18 (水) 13:21:30};
-ギタドラに入るみたい --  &new{2013-09-18 (水) 18:58:45};
//-↑3DEBSTEP!は？ --  &new{2013-09-18 (水) 19:02:32};
//-↑大会終わったら空気になると思う --  &new{2013-09-18 (水) 21:35:23};
//-↑ステゼロ、亜空間、負け犬、メヌエット。歴代のリズム難たちはどうなんでしょうか？最近は、新参達がサタフィバやってるのを見ますし。 --  &new{2013-09-18 (水) 21:43:47};
//-↑メヌエットがAC10の数少ない貴重な新曲＆クラシック★10だったのに1作で消えた時点でお察し。当時のランキング登録者が他の★10と比べて格段に少なかったしね。 --  &new{2013-09-18 (水) 22:08:27};
//-↑じゃあ、その他の三つは？ --  &new{2013-09-18 (水) 22:57:13};
//-第一ゴーゴー前の「オーマイ」に合わせて縁を2回叩くのって少数派？ --  &new{2013-09-23 (月) 08:40:39};
//-↑2 ACシリーズがヌムジカ、アルムジカ以外新筐体で消された時点で亜空間はアレだし、サタフィバとか少し前まで空気の代名詞だっただろ --  &new{2013-09-23 (月) 08:44:18};
//-↑　ヌムジカも削除されたぞ --  &new{2013-09-23 (月) 09:58:10};
//-↑2「最近見るようになった。」って書いてあるのが読めないのカッ？さらに、2000シリーズもそうだけど、人気曲はけっこう、削除されたから、「削除曲→空気」は間違ってるのでは？ --  &new{2013-09-23 (月) 11:29:30};
//-↑この前まで空気だったんだから「新参しかやってない」とも言えるが…それに削除曲→空気は↑5で納得してたのかと思ってたが --  &new{2013-09-23 (月) 13:12:20};
//-↑5 よう俺 --  &new{2013-09-23 (月) 13:16:37};
//-↑嫌々、そうではなくて、新筐体に移行した時に、沢山の人気曲が大量削除を食らったことについて、僕はいってるのですが…。（アイマス系やスクミカや、一部を除く2000シリーズやACシリーズの事。） --  &new{2013-09-23 (月) 20:31:12};
//-お前ら話す場所間違えてないか --  &new{2013-09-23 (月) 20:35:15};
-7/15のコメンターにあった真打の配点を追加 --  &new{2013-09-26 (木) 09:26:06};
-そんなに言うほどリズム難か？ふつうじゃね？ --  &new{2013-09-30 (月) 19:46:04};
//-むず --  &new{2013-09-30 (月) 19:54:24};
-中盤がかなりリズム難 --  &new{2013-09-30 (月) 20:36:54};
-↑6デブステがある。デブステ以外の低速リズム難はクリアが簡単な割にフルや精度がムズいのが原因。 --  &new{2013-10-03 (木) 16:14:42};
//-カノ好きにはたまらない曲ですねー。 --  &new{2013-10-13 (日) 11:52:58};
//-カノ大好き〜&#9825;でも、ノルマ落ちしちゃいます；連符が多いから・・・。もっと練習してフルコンボを目指します！ --  &new{2013-10-13 (日) 14:43:29};
-９にみえない --  &new{2013-10-13 (日) 20:46:48};
-カラ鞠の譜面と似てるところあるよね カーン譜面っぽい --  &new{2013-10-21 (月) 16:06:15};
-見た目譜面をうp。 --  &new{2013-10-22 (火) 22:48:58};
//-↑5カノ好きなので頑張ってクリアしました！ --  &new{2013-11-03 (日) 17:27:17};
//-初めてクリアした☆9だ。嬉しかったなあ〜 --  &new{2013-11-07 (木) 22:20:48};
-★１０でいい --  &new{2013-11-20 (水) 15:08:18};
-↑３ 的中おめでとう --  &new{2013-11-21 (木) 14:48:51};
//-作曲者が 同じじん に見えた --  &new{2013-12-06 (金) 20:25:41};
//-じん×カーン＝神 --  &new{2013-12-29 (日) 13:52:25};
-24分以外は分業いけるなこれ --  &new{2014-01-06 (月) 20:43:48};
-これはあべこべじゃないと出来ないや( ノД`)… --  &new{2014-01-11 (土) 09:51:33};
-誰か2つの縁ラッシュのコツ教えて下さいお願いします。 --  &new{2014-01-11 (土) 21:09:35};
-見た目に反してそんなに速くないから、焦らず、速く叩きすぎないことかな。練習したいならキルミーや蒼旋のあべこべがいいと思われ --  &new{2014-01-11 (土) 21:24:17};
-↑アドバイスありがとうございます！明日か明後日くらいに練習して頑張ってフルコンボ目指します！ --  &new{2014-01-11 (土) 22:19:58};
-でも逆に遅すぎてもいけないYO --  &new{2014-01-13 (月) 08:36:08};
//-↑2、4と同じ者です。今日この曲やったらフルコンボ出来ました。↑、↑3の方アドバイスありがとうございます！因みにひろばのSNいってぃ~なので申請してくれれば光栄です。 --  &new{2014-01-13 (月) 19:12:14};
//-↑2、4と同じ者です。今日この曲やったらフルコンボ出来ました。↑、↑3の方アドバイスありがとうございます！ --  &new{2014-01-13 (月) 19:12:14};
//-天井点以外と厳しいwww --  &new{2014-03-01 (土) 10:43:45};
//-ゴーゴー前に縁叩く人、挙手 --  &new{2014-03-01 (土) 17:39:26};
//-↑ノ 音余り結構多いよね --  &new{2014-03-01 (土) 17:40:54};
//-同じカゲロウシリーズのチルコーとは譜面傾向は全くちがうんですね違うのですね --  &new{2014-03-16 (日) 21:12:00};
//-何故かフルコンできない。譜面は楽な筈なのに.... --  &new{2014-03-21 (金) 01:01:43};
//-ばいそく安定ww --  &new{2014-03-30 (日) 18:13:15};
//-↑意外じゃね --  &new{2014-03-30 (日) 18:43:09};
-45小節~51小節エグい --  &new{2014-04-05 (土) 12:08:28};
//-オーマイダーティー！ --  &new{2014-04-22 (火) 23:26:34};
//-24分に関してはオーマイガー。それ以外は簡単。オーマイガー！何て局所難！ --  &new{2014-04-24 (木) 22:03:21};
-この曲はBPMが倍の方がしっくり来る。ゴーゴータイムだけでも --  &new{2014-04-24 (木) 22:10:15};
-この譜面32分ないよね？実質BPM変わってないのにソフラン部分に16分あるってどういうこと？ --  &new{2014-05-23 (金) 06:43:51};
-↑本来は24分だけどソフラン(1.5倍速)で見かけ上16分になってる。 --  &new{2014-05-23 (金) 09:25:15};
-案外詰まってんだな --  &new{2014-05-23 (金) 16:53:18};
-↑2ああ2倍速と思ったら1.5倍速だったのねwあざす --  &new{2014-05-23 (金) 17:37:58};
-カーンさんらしいよ。 --  &new{2014-06-13 (金) 06:53:51};
//-ゴーゴーの縁の配置神すげえ --  &new{2014-08-06 (水) 19:45:15};
-ようやくCSに移植。 --  &new{2014-09-11 (木) 21:02:17};
//-↑おー、やっとか --  &new{2014-09-15 (月) 08:45:07};
//-おに、むずかしそうだな… --  &new{2014-10-24 (金) 17:26:13};
//-裏譜面を作ってほしい --  &new{2014-11-15 (土) 15:43:02};
//-表にWiiu2をいれて --  &new{2014-12-07 (日) 19:18:31};
-BPM揺れてねーか --  &new{2014-12-16 (火) 14:13:27};
-基本bpmはボカロ際低速 --  &new{2014-12-25 (木) 23:33:13};
-↑ 正確には「僕らの世界にダンスを」も同じBPM。 --  &new{2014-12-25 (木) 23:59:13};
-bemani音ゲーに収録されているカゲプロ曲ってこれだけ？ --  &new{2015-01-12 (月) 19:28:46};
-↑4　たしかに。音符の間隔が違う --  &new{2015-03-22 (日) 16:52:08};
-↑2そうだよ。ついでにどうでもいい補足をするけどボカロ唯一の4社(コナミ、バンナム、セガ、タイトー)収録曲でもある。 --  &new{2015-12-14 (月) 21:10:55};
-最序盤にあるｶﾄﾞﾄﾞｶとか明らかに揺れてる --  &new{2016-05-13 (金) 13:21:54};
//-スカジャパにも流れた --  &new{2016-05-16 (月) 20:06:27};
-↑2 グルーヴコースターに消失が収録されたのでそちらも4社収録となった --  &new{2016-07-21 (木) 11:47:39};
-↑7,8、ハッピーシンセサイザーってどのぐらいだっけ --  &new{2016-12-08 (木) 00:13:04};
-↑127だから恐らくそっちが最遅 --  &new{2016-12-08 (木) 09:13:36};
-ボカロ最遅はウミユリかと --  &new{2016-12-08 (木) 17:14:00};
-それにしてもボカロって全体的に速いな。吹奏楽とかなら120って中速レベルなのに --  &new{2016-12-22 (木) 21:31:48};
-サヨナラ曲になります --  &new{2018-02-15 (木) 16:02:49};
-この曲こんなに揺れてたのか --  &new{2018-03-16 (金) 13:46:01};
-どうでも良いけどゴーゴーの前にカッカッって入れちゃう --  &new{2019-10-23 (水) 23:56:43};
