|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
||''21/54''|''夏祭り''|141※|[[★×3>難易度表/かんたん/夏祭り]]|[[★×3>難易度表/ふつう/夏祭り]]|[[★×5>難易度表/むずかしい/夏祭り]]|[[★×8>難易度表/おに/夏祭り]]|
||''22/54''|''サザエさん一家''|92|[[★×4>難易度表/かんたん/サザエさん一家]]|[[★×3>難易度表/ふつう/サザエさん一家]]|[[★×5>難易度表/むずかしい/サザエさん一家]]|[[★×7>難易度表/おに/サザエさん一家]]|
|''新''|''23/54''|''なんでだろう''&br;　　SIZE(11){両さんバージョン}|167※|[[★×2>難易度表/かんたん/なんでだろう　両さんバージョン]]|[[★×3>難易度表/ふつう/なんでだろう　両さんバージョン]]|[[★×3>難易度表/おに/なんでだろう　両さんバージョン]]|[[★×2>難易度表/おに/なんでだろう　両さんバージョン]]|
|''新''|''24/54''|''エレクトリカルパレード''&br;　　SIZE(11){BAROQUE HOEDOWN}|75-126|[[★×2>難易度表/かんたん/エレクトリカルパレード]]|[[★×4>難易度表/ふつう/エレクトリカルパレード]]|[[★×3>難易度表/むずかしい/エレクトリカルパレード]]|[[★×9>難易度表/おに/エレクトリカルパレード]]|
|''新''|''25/54''|''CHA-LA HEAD-CHA-LA''|154|[[★×3>難易度表/かんたん/CHA-LA HEAD-CHA-LA]]|[[★×4>難易度表/ふつう/CHA-LA HEAD-CHA-LA]]|[[★×4>難易度表/むずかしい/CHA-LA HEAD-CHA-LA]]|[[★×7>難易度表/おに/CHA-LA HEAD-CHA-LA]]|
|''新''|''26/54''|''Get Wild''&br;　　SIZE(11){シティーハンターより}|131.8|[[★×3>難易度表/かんたん/Get Wild]]|[[★×4>難易度表/ふつう/Get Wild]]|[[★×3>難易度表/むずかしい/Get Wild]]|[[★×8>難易度表/おに/Get Wild]]|
||''27/54''|''アンパンマンのマーチ''|96.05※|[[★×1>難易度表/かんたん/アンパンマンのマーチ]]|[[★×4>難易度表/ふつう/アンパンマンのマーチ]]|[[★×4>難易度表/むずかしい/アンパンマンのマーチ]]|[[★×3>難易度表/おに/アンパンマンのマーチ]]|
|''新''|''28/54''|''ヒカリへ''&br;　　SIZE(11){ワンピースより}|188|[[★×5>難易度表/かんたん/ヒカリへ]]|[[★×4>難易度表/ふつう/ヒカリへ]]|[[★×4>難易度表/むずかしい/ヒカリへ]]|[[★×8>難易度表/おに/ヒカリへ]]|
|''新''|''29/54''|''平成太鼓街道''&br;　　SIZE(11){〜バチの女〜}|100※|-|[[★×4>難易度表/ふつう/平成太鼓街道〜バチの女〜]]|[[★×4>難易度表/むずかしい/平成太鼓街道〜バチの女〜]]&br;SIZE(10){譜面分岐あり}|[[★×5>難易度表/おに/平成太鼓街道〜バチの女〜]]|
||''30/54''|''サタデー太鼓フィーバー''|130|-|[[★×4>難易度表/ふつう/サタデー太鼓フィーバー]]|[[★×7>難易度表/むずかしい/サタデー太鼓フィーバー]]|[[★×10>難易度表/おに/サタデー太鼓フィーバー]]|
||''31/54''|''風雲！バチお先生''|130※|-|[[★×4>難易度表/ふつう/風雲！バチお先生]]|[[★×7>難易度表/むずかしい/風雲！バチお先生]]|[[★×10>難易度表/おに/風雲！バチお先生]]|
||''32/54''|''タッチ''|161|[[★×3>難易度表/かんたん/タッチ]]|[[★×4>難易度表/ふつう/タッチ]]|[[★×5>難易度表/むずかしい/タッチ]]|[[★×6>難易度表/おに/タッチ]]|
||''33/54''|''ゼビウス体操''|130|-|[[★×4>難易度表/ふつう/ゼビウス体操]]|[[★×7>難易度表/むずかしい/ゼビウス体操]]|[[★×9>難易度表/おに/ゼビウス体操]]|
|''新''|''34/54''|''そばかす''|171|[[★×3>難易度表/かんたん/そばかす]]|[[★×4>難易度表/ふつう/そばかす]]|[[★×4>難易度表/むずかしい/そばかす]]|[[★×7>難易度表/おに/そばかす]]|
||''35/54''|''おどるポンポコリン''|140|[[★×4>難易度表/かんたん/おどるポンポコリン]]|[[★×4>難易度表/ふつう/おどるポンポコリン]]|[[★×2>難易度表/むずかしい/おどるポンポコリン]]|[[★×2>難易度表/おに/おどるポンポコリン]]|
|''新''|''36/54''|''One Night Carnival''|135|[[★×4>難易度表/かんたん/One Night Carnival]]|[[★×4>難易度表/ふつう/One Night Carnival]]|[[★×3>難易度表/むずかしい/One Night Carnival]]|[[★×6>難易度表/おに/One Night Carnival]]|
|''新''|''37/54''|''GOODBYE 夏男''|159|[[★×4>難易度表/かんたん/GOOD BYE 夏男]]|[[★×4>難易度表/ふつう/GOOD BYE 夏男]]|[[★×3>難易度表/むずかしい/GOOD BYE 夏男]]|[[★×8>難易度表/おに/GOOD BYE 夏男]]|
|''新''|''38/54''|''Darling''|132.1|[[★×3>難易度表/かんたん/Darling]]|[[★×4>難易度表/ふつう/Darling]]|[[★×4>難易度表/むずかしい/Darling]]|[[★×7>難易度表/おに/Darling]]|
|''新''|''39/54''|''BE ALL RIGHT!''|179|[[★×4>難易度表/かんたん/BE ALL RIGHT!]]|[[★×4>難易度表/ふつう/BE ALL RIGHT!]]|[[★×4>難易度表/むずかしい/BE ALL RIGHT!]]|[[★×8>難易度表/おに/BE ALL RIGHT!]]|
|''新''|''40/54''|''佐賀県''|187|[[★×5>難易度表/かんたん/佐賀県]]|[[★×5>難易度表/ふつう/佐賀県]]|[[★×5>難易度表/むずかしい/佐賀県]]|[[★×8>難易度表/おに/佐賀県]]|
|''新''|''41/54''|''踊る大捜査線のテーマ''&br;　　SIZE(11){Rhythm and Police}|140.9|[[★×4>難易度表/かんたん/Rhythm and Police]]|[[★×5>難易度表/ふつう/Rhythm and Police]]|[[★×6>難易度表/むずかしい/Rhythm and Police]]|[[★×8>難易度表/おに/Rhythm and Police]]|
|''新''|''42/54''|''大切なもの''|205|[[★×5>難易度表/かんたん/大切なもの]]|[[★×5>難易度表/ふつう/大切なもの]]|[[★×5>難易度表/むずかしい/大切なもの]]|[[★×5>難易度表/おに/大切なもの]]|
||''43/54''|''おさかな天国''|141|[[★×1>難易度表/かんたん/おさかな天国]]|[[★×5>難易度表/ふつう/おさかな天国]]|[[★×4>難易度表/むずかしい/おさかな天国]]|[[★×5>難易度表/おに/おさかな天国]]|
|''新''|''44/54''|''交響曲第五番「運命」''|190※|[[★×5>難易度表/かんたん/交響曲第五番「運命」]]|[[★×5>難易度表/ふつう/交響曲第五番「運命」]]|[[★×6>難易度表/むずかしい/交響曲第五番「運命」]]|[[★×6>難易度表/おに/交響曲第五番「運命」]]|
||''45/54''|''クラシック　新世界より''|152-172※|[[★×5>難易度表/かんたん/新世界より]]|[[★×5>難易度表/ふつう/新世界より]]|[[★×5>難易度表/むずかしい/新世界より]]&br;SIZE(10){譜面分岐あり}|[[★×4>難易度表/おに/新世界より]]|
||''46/54''|''クラシックメドレー（運動会編）''|70-160|[[★×5>難易度表/かんたん/クラシックメドレー(運動会編)]]|[[★×5>難易度表/ふつう/クラシックメドレー(運動会編)]]|[[★×6>難易度表/おに/クラシックメドレー(運動会編)]]|[[★×5>難易度表/おに/クラシックメドレー(運動会編)]]|
|''新''|''47/54''|''ウィリアム・テル序曲''|152※|[[★×4>難易度表/かんたん/ウィリアム・テル序曲]]|[[★×5>難易度表/ふつう/ウィリアム・テル序曲]]|[[★×6>難易度表/むずかしい/ウィリアム・テル序曲]]&br;SIZE(10){譜面分岐あり}|[[★×7>難易度表/おに/ウィリアム・テル序曲]]|
||''48/54''|''太鼓侍''|135|-|[[★×5>難易度表/ふつう/太鼓侍]]|[[★×7>難易度表/むずかしい/太鼓侍]]|[[★×10>難易度表/おに/太鼓侍]]|
|''新''|''49/54''|''ねこくじら''|140※|-|[[★×5>難易度表/ふつう/ねこくじら]]|[[★×6>難易度表/むずかしい/ねこくじら]]|[[★×6>難易度表/おに/ねこくじら]]|
|''新''|''50/54''|''KAGEKIYO''&br;　　SIZE(11){源平討魔伝メドレー}|130※|-|[[★×6>難易度表/ふつう/KAGEKIYO 源平討魔伝メドレー]]|[[★×7>難易度表/むずかしい/KAGEKIYO 源平討魔伝メドレー]]|[[★×10>難易度表/おに/KAGEKIYO 源平討魔伝メドレー]]|
|''新''|''51/54''|''太鼓のマーチ''|145※|-|[[★×6>難易度表/ふつう/太鼓のマーチ]]|[[★×6>難易度表/おに/太鼓のマーチ]]|[[★×7>難易度表/おに/太鼓のマーチ]]|
|''新''|''52/54''|''エリンギのエクボ''|147|-|[[★×6>難易度表/ふつう/エリンギのエクボ]]|[[★×7>難易度表/むずかしい/エリンギのエクボ]]|[[★×9>難易度表/おに/エリンギのエクボ]]|
||''53/54''|''ゴーゴー・キッチン''|206|-|[[★×6>難易度表/ふつう/ゴーゴー・キッチン]]|[[★×6>難易度表/むずかしい/ゴーゴー・キッチン]]&br;SIZE(10){譜面分岐あり}|[[★×8>難易度表/おに/ゴーゴー・キッチン]]|
||''54/54''|''ラブリーX''|134|-|[[★×6>難易度表/ふつう/ラブリーX]]|[[★×6>難易度表/むずかしい/ラブリーX]]&br;SIZE(10){譜面分岐あり}|[[★×8>難易度表/おに/ラブリーX]]|
