|||46|CENTER:38|89|c
|[[リズムマシーン 9>難易度表/その他/リズムマシーン 9]]||116|7|段位「名人」|
|[[リズムマシーン 10>難易度表/その他/リズムマシーン 10]]||116|8|段位「太鼓拳」|
|[[ロードオブドンだー 第1章>難易度表/その他/ロードオブドンだー 第1章]]||116|5|段位「皆伝」|
|[[ロードオブドンだー 第2章>難易度表/その他/ロードオブドンだー 第2章]]||116|5|段位「超人」|
|[[ロードオブドンだー 第3章>難易度表/その他/ロードオブドンだー 第3章]]||116|5|段位「超人」|
|[[ロードオブドンだー 第4章>難易度表/その他/ロードオブドンだー 第4章]]||116|6|段位「大達人」|
|[[ロードオブドンだー 第5章>難易度表/その他/ロードオブドンだー 第5章]]||80|6|段位「大達人」|
|[[ロードオブドンだー 第6章>難易度表/その他/ロードオブドンだー 第6章]]||116|6|段位「大達人」|
|[[ロードオブドンだー 第7章>難易度表/その他/ロードオブドンだー 第7章]]||116|7|段位「太鼓剣」|
|[[ロードオブドンだー 第8章>難易度表/その他/ロードオブドンだー 第8章]]||116|7|段位「太鼓剣」|
|[[ロードオブドンだー 第9章>難易度表/その他/ロードオブドンだー 第9章]]||180|7|段位「太鼓砲」|
|[[ロードオブドンだー 最終章>難易度表/その他/ロードオブドンだー 最終章]]||80|8|段位「太鼓弾」|
|[[ドン連打 1打目>難易度表/その他/ドン連打 1打目]]||180|2|最初から出現|
|[[ドドン連打 2打目>難易度表/その他/ドドン連打 2打目]]||180|4|段位「皆伝」|
|[[ドドドン連打 3打目>難易度表/その他/ドドドン連打 3打目]]||180|5|段位「大超人」|
|[[ドドドドン連打 4打目>難易度表/その他/ドドドドン連打 4打目]]||180|6|段位「大超人」|
|[[ドドドドドン連打 5打目>難易度表/その他/ドドドドドン連打 5打目]]||200|7|段位「太鼓弾」|
|[[ドンピシャ連打 1>難易度表/その他/ドンピシャ連打 1]]||80|4|段位「九段」|
|[[ドンピシャ連打 2>難易度表/その他/ドンピシャ連打 2]]||180|5|段位「名人」|
|[[ドンピシャ連打 3>難易度表/その他/ドンピシャ連打 3]]||200|6|段位「太鼓拳」|
|[[お題de巨大 1>難易度表/その他/お題de巨大 1]]||80|3|段位「3級」|
|[[お題de巨大 2>難易度表/その他/お題de巨大 2]]||116|3|段位「3級」|
|[[お題de巨大 3>難易度表/その他/お題de巨大 3]]||116|4|段位「七段」|
|[[お題de巨大 4>難易度表/その他/お題de巨大 4]]||150|4|段位「七段」|
|[[お題de巨大 5>難易度表/その他/お題de巨大 5]]||150|5|段位「七段」|
|[[侍道 1試合目>難易度表/その他/侍道 1試合目]]||200|4|段位「二段」|
|[[侍道 2試合目>難易度表/その他/侍道 2試合目]]||150|4|段位「四段」|
|[[侍道 3試合目>難易度表/その他/侍道 3試合目]]||200|6|段位「八段」|
|[[侍道 4試合目>難易度表/その他/侍道 4試合目]]||180|6|段位「八段」|
|[[侍道 5試合目>難易度表/その他/侍道 5試合目]]||200|7|段位「達人」|
|[[侍道 6試合目>難易度表/その他/侍道 6試合目]]||180|7|段位「達人」|
|[[侍道 7試合目>難易度表/その他/侍道 7試合目]]||200|8|段位「太鼓銃」|
|[[侍道 最終試合>難易度表/その他/侍道 最終試合]]||180|9|段位「太鼓銃」|
|[[達人組手 先鋒>難易度表/その他/達人組手 先鋒]]||70-150|9|段位「太鼓線」|
|[[達人組手 次鋒>難易度表/その他/達人組手 次鋒]]||70-150|9|段位「太鼓波」|
|[[達人組手 中堅>難易度表/その他/達人組手 中堅]]||70-150|10|段位「太鼓電」|
|[[達人組手 副将>難易度表/その他/達人組手 副将]]||70-150|10|段位「太鼓王」|
|[[達人組手 大将>難易度表/その他/達人組手 大将]]||70-150|10|段位「太鼓王」|
|[[毎日チャレンジ　1日目]]|||2|最初から出現|
|[[毎日チャレンジ　2日目]]|||2|プレイ2日目|
|[[毎日チャレンジ　3日目]]|||3|プレイ3日目|
|[[毎日チャレンジ　4日目]]|||3|プレイ4日目|
|[[毎日チャレンジ　5日目]]|||4|プレイ5日目|
|[[毎日チャレンジ　6日目]]|||4|プレイ6日目|
|[[毎日チャレンジ　7日目]]|||4|プレイ7日目|
|[[毎日チャレンジ　8日目]]|||4|プレイ8日目|
|[[毎日チャレンジ　9日目]]|||6|プレイ9日目|
|[[毎日チャレンジ　10日目]]|||6|プレイ10日目|
|[[毎日チャレンジ　11日目]]|||6|プレイ11日目|
|[[毎日チャレンジ　12日目]]|||6|プレイ12日目|
|[[毎日チャレンジ　13日目]]|||6|プレイ13日目|
|[[毎日チャレンジ　14日目]]|||7|プレイ14日目|
|[[毎日チャレンジ　最終日]]|||7|プレイ15日目|
|[[バチおの挑戦状　1通目]]|||2|段位「6級」|
|[[バチおの挑戦状　2通目]]|||2|段位「6級」|
|[[バチおの挑戦状　3通目]]|||2|段位「4級」|
|[[バチおの挑戦状　4通目]]|||3|段位「4級」|
|[[バチおの挑戦状　5通目]]|||3|段位「4級」|
|[[とあるメカの挑戦状　1通目]]|||4|段位「2級」|
|[[とあるメカの挑戦状　2通目]]|||4|段位「三段」|
|[[とあるメカの挑戦状　3通目]]|||4|段位「三段」|
|[[とあるメカの挑戦状　4通目]]|||5|段位「五段」|
|[[とあるメカの挑戦状　5通目]]|||5|段位「六段」|
|[[お面小僧絵巻　第1巻]]|||7|段位「十段」|
|[[お面小僧絵巻　第2巻]]|||7|段位「十段」|
|[[お面小僧絵巻　第3巻]]|||7|段位「達人」|
|[[お面小僧絵巻　第4巻]]|||7|段位「大名人」|
|[[お面小僧絵巻　第5巻]]|||8|段位「太鼓銃」|
|[[うなぎの挑戦状　1通目>難易度表/おに/宇宙SAMURAI]]|最大コンボ数300回以上|140|9|段位「太鼓砲」|
|[[うなぎの挑戦状　2通目>難易度表/おに/SORA-III ヘリオポーズ]]|最大コンボ数350回以上|135※|9|段位「太鼓弾」|
|[[うなぎの挑戦状　3通目>難易度表/おに/DESERT STORM]]|スコア765000点以上|138※|9|段位「太鼓弾」|
|[[うなぎの挑戦状　4通目>難易度表/おに/アルムジカac14.0V]]|スコア876000点以上|140|10|段位「太鼓人」|
|[[うなぎの挑戦状　5通目>難易度表/おに/タイコタイム]]|スコア1000000点以上|170※|10|段位「太鼓人」|
