[[難易度表/おに/氷竜 〜Kooryu〜(裏譜面)]]

-アイスブレーカーってめっちゃかっこいいな --  &new{2019-12-05 (木) 20:23:30};
-動画内のあのBPMって多分適当にカウントアップさせてるだけじゃない?実際にBPM変化する部分にきっちり合わせてたら大変だろうし --  &new{2019-12-07 (土) 13:07:24};
-↑ そうですね。公式音源の動画は変化始めから終わりまで一定の時間でカウントアップさせてるだけなので正式なbpm変化では無いでしょうね。少し分かりにくかったので↑2の動画は普通のプレイ動画の事です。 --  &new{2019-12-07 (土) 16:05:22};
-↑あぁなるほど。それは確かにそうかも知れないですね。 --  &new{2019-12-07 (土) 17:06:13};
-複合の隙間見る限り普通にカウントアップだと思われます 作曲者本人もコメントにてカウントアップが大変だったとコメントしてありますし --  &new{2019-12-07 (土) 17:49:09};
-作曲ソフトによっては滑らかにBPM変えられるからなあ音源と太鼓でBPMに微妙な違いがあるかも --  &new{2019-12-07 (土) 18:54:15};
-絶対零度が-273だからそれとかけてるのか。 --  &new{2019-12-07 (土) 19:24:15};
-BPM273の24分は密度どれくらいなの？ --  &new{2019-12-07 (土) 23:19:19};
-↑BPM 409.5の16分相当かBPM819の8分相当です。それか、BPM136.5の48分と見てもいいですよね。 --  &new{2019-12-07 (土) 23:57:03};
-そもそも次郎にはBPMを変えると命令時刻の端数切り捨てによって早ズレする仕様があるから合うわけないよ。BPM変化が多いとどんどんズレる。 --  &new{2019-12-08 (日) 00:53:41};
-コンボ数はとうごくで凍獄かな？ --  &new{2019-12-08 (日) 07:34:21};
-どうせならBPM273.15にしてほしかった --  &new{2019-12-08 (日) 21:07:58};
-↑この速さにおけるBPM0.15の差を感じ分けられる繊細なリズム感覚を分けて下さい羨ましいですね --  &new{2019-12-08 (日) 21:21:08};
-↑別にそんなこと言ってなくね？ --  &new{2019-12-08 (日) 21:57:22};
-↑絶対零度が273.15℃と言ったところで数値的に細部までこだわって欲しかったという意味では？実際8OROCHIの作者も8にこだわってBPM200.8ですからね --  &new{2019-12-08 (日) 21:58:38};
-研究前は地獄だけど、研究すれば叩いててめっちゃ楽しくなる良譜面。 --  &new{2019-12-09 (月) 11:25:07};
-絶対零度の-273°にかけてるって知ってスゲーーってなった --  &new{2019-12-09 (月) 11:29:52};
-↑本当それな過ぎて分かりみ深すぎる。 --  &new{2019-12-10 (火) 01:06:17};
-83小節目の頭から速くなってるな --  &new{2019-12-12 (木) 15:46:12};
-あとMVと違って1拍に1回BPM変化してそう --  &new{2019-12-12 (木) 15:50:19};
-コンボ数の1059って語呂合わせで天国...な訳ないか --  &new{2019-12-12 (木) 18:13:08};
-覚えれば楽しいけど覚えるのが絶望的に面倒くさい譜面。まあやるけど。 --  &new{2019-12-13 (金) 00:38:26};
-今気付いたけど"ひょうりゅう"じゃなくて"こおりゅう"なんだね --  &new{2019-12-13 (金) 07:37:12};
-疾風怒濤裏引きずってる？ --  &new{2019-12-13 (金) 12:11:26};
-94小節目の4拍目だけ273.15になってるかもしれないです。95から273 --  &new{2019-12-13 (金) 13:00:41};
-こういう譜面がやりたかった --  &new{2019-12-13 (金) 21:06:08};
-多分配置を覚えればラスト以外は安定してくるんだろうな、弩蚊怒夏とおんなじ匂いがする --  &new{2019-12-14 (土) 00:30:10};
-102小節と106小節の複合嫌い --  &new{2019-12-14 (土) 13:33:45};
-ラスゴー第1複合は逆手入りが安定 --  &new{2019-12-14 (土) 16:41:49};
-別に何一つ覚えゲーでもないだろ --  &new{2019-12-14 (土) 18:59:00};
-神曲神譜面神でたらめだなこりゃ --  &new{2019-12-14 (土) 18:59:31};
-30〜37小節がドドンガド〜ンにしか聞こえない --  &new{2019-12-16 (月) 18:11:37};
-66〜73小節はある程度熟練した人からすれば明らかな稼ぎ --  &new{2019-12-23 (月) 07:38:26};
-最後の16分より106〜109小節の方が出来ないんだけどわかる？ --  &new{2019-12-25 (水) 00:18:26};
-30〜33小節と34〜37小節ってあべこべの関係になってるんだ --  &new{2019-12-30 (月) 21:31:19};
-123〜124以外繋がるのだが、最後体力が切れた状態でなかなか腕が追いつかない --  &new{2019-12-31 (火) 00:55:48};
-最初とラスゴーの12分は覚えないと見えないな。まだまだだ --  &new{2019-12-31 (火) 14:22:00};
-公式MVのコメントから確認、BPMのあがりかたはMVの中のよう --  &new{2020-01-02 (木) 22:07:53};
-譜面画像更新しました。 --  &new{2020-03-09 (月) 10:32:29};
-83の最初ha --  &new{2020-03-10 (火) 21:41:35};
-↑誤爆、83の最初は縁な気がします --  &new{2020-03-10 (火) 21:42:17};
-88から3打目と4打目の間に面があります --  &new{2020-03-10 (火) 22:08:29};
-↑1、2 画像いじる時にミスってました、ありがとうございます --  &new{2020-04-17 (金) 05:47:35};
-炎竜 --  &new{2020-05-08 (金) 15:57:24};
-みんな難関上位ってよく言ってるけど個人的にはそこまで言うほど難しいと思わないなぁ難関ではあると思うけど上位とまで行くかなっていう --  &new{2020-06-02 (火) 10:46:57};
-ちょっと影薄め --  &new{2020-06-02 (火) 13:21:52};
-↑裏譜面って本来そういう存在感。裏が目立ちすぎたらそれが表になってしまうでしょう。 --  &new{2020-06-02 (火) 13:30:46};
-↑ダンガンノーツとかトゥラッタッタは？ --  &new{2020-06-02 (火) 22:59:01};
-裏譜面は本来おまけの立ち位置だから影薄いとか関係ない気がする --  &new{2020-06-03 (水) 00:46:38};
-次のアプデ(多分kd処理復活修正)で多少楽になるといいが・・・ --  &new{2020-06-06 (土) 15:14:54};
-あずさんの公式MVどおりにBPMあがってると思うんですがそれは --  &new{2020-06-11 (木) 16:00:07};
-↑2 --  &new{2020-06-11 (木) 22:17:52};
-kd処理は大して変わんなかったっぽい --  &new{2020-06-11 (木) 22:18:17};
-↑3 あれは大まかな上昇具合を示しているだけだと思います。当初はその譜面画像が上がっていたと思いますが実際にあのタイミングでBPMを取るとズレました。 --  &new{2020-06-18 (木) 03:21:17};
-↑10それな 難関上位にしては稼ぎが多い --  &new{2020-07-28 (火) 21:09:10};
//-上でトゥラッタッタ 過大評価してるやつ100%モブ --  &new{2020-07-30 (木) 23:34:25};
-↑確かに。加速ソフランやラストを除けば鳩と同レベルだし、ラストさえ叩ければ意外とノーツは拾えるし、局所難譜面だなあと思う。ラストが難関の中ではレベルが高いというだけで。 --  &new{2020-08-18 (火) 11:32:02};
-↑ でも、超凶悪な譜面が、ラストにあるってことが辛いんだよな。前半でゲージ貯めれても、最後で全部持っていかれるんだよね。まぁ、自分がラスト苦手すぎるっていうのもあるかもしれないけど。 --  &new{2020-09-13 (日) 14:56:45};
-譜面画像が正しいとすると、平均密度は約7.80939...打/秒と、元々の数値(7.56)と大きく差があったので修正しました。 --  &new{2020-09-19 (土) 18:46:38};
-↑ちなみにこの画像の通りBPM置いてもズレます(暫定だけども) --  &new{2020-10-06 (火) 04:12:46};
-フルコン称号カッコイイつけてみたい --  &new{2020-12-07 (月) 19:01:18};
-束ね糸枠で超人来るかな？ --  &new{2021-02-24 (水) 13:02:14};
-束ね糸と全然似てませんが --  &new{2021-02-24 (水) 13:03:34};
-そもそもこれ一曲目は難易度跳ね上がる --  &new{2021-02-24 (水) 13:09:15};
-音符間隔の「歴代8位」という記述を削除しました --  &new{2021-02-27 (土) 14:42:24};
-解析、御苦労様ですm(_ _)m --  &new{2021-03-05 (金) 06:14:05};
-124小節から125小節の秒速教えて下さい --  &new{2021-03-15 (月) 20:48:05};
-↑ 273÷1.5＝182 → 18.2打/秒 --  &new{2021-03-18 (木) 02:56:24};
-Kokuryu裏がこれより難しくなれば、これと同様超人に来るかもしれない。 --  &new{2021-09-05 (日) 06:43:33};
-刻竜　玄人3曲目 --  &new{2021-09-08 (水) 21:00:10};
-氷竜むずいの高速地帯だけだから段位には来なさそう --  &new{2021-10-27 (水) 08:42:04};
-OSｷﾀ━(ﾟ∀ﾟ)━! --  &new{2021-11-01 (月) 15:12:34};
-↑2 これがドナウ以下って事はまず無い --  &new{2021-11-01 (月) 15:36:25};
-↑、別にそんなこと言ってなくね --  &new{2021-11-02 (火) 11:01:22};
-難易度表とこのページで密度違うのどうやって直せば良い？ --  &new{2021-11-24 (水) 22:31:50};
-↑の編集押して書き直せばいい --  &new{2021-12-21 (火) 14:07:32};
-↑どっちの密度が正しいですかね？ --  &new{2022-01-04 (火) 20:58:08};
-↑9 達人だな --  &new{2022-01-21 (金) 22:38:21};
-54小節からは、作曲者曰く「接戦」を表しているらしい(お互いの技を使い合ったり)。 --  &new{2022-02-02 (水) 17:57:46};
-フルコンするために頑張ってるけど11〜13小節目だけができない。 --  &new{2022-02-17 (木) 07:11:58};
-↑&#128309;&#128309;&#128308;&#128308;/&#128309;&#128308;&#128308;&#128308;/&#128308;&#128308;&#128309;&#128309;&#128308;&#128308;/&#128308;&#128308;&#128308;/&#128309;&#128309;&#128308;&#128308;/&#128309;&#128308;&#128308;&#128308;/&#128308;&#128308;&#128309;&#128309;&#128308;&#128308;&#128308;あんま役に立たないかもしれないけど --  &new{2022-02-17 (木) 20:29:27};
