*隠し要素解禁条件 [#title]
[[Wii U2の収録曲]]

**スタンプ帳 [#stamp] 
|CENTER:|||||c
|No.|スタンプ名|条件|ドン小判|h
|77|松フルコン50|難易度「むずかしい」で50曲フルコンボ|11枚|
|78|松フルコン100|難易度「むずかしい」で100曲フルコンボ|14枚|
|79|鬼フルコン1|難易度「おに」で1曲フルコンボ|7枚|
|80|鬼フルコン5|難易度「おに」で5曲フルコンボ|8枚|
|81|鬼フルコン10|難易度「おに」で10曲フルコンボ|9枚|
|82|鬼フルコン30|難易度「おに」で30曲フルコンボ|11枚|
|83|鬼フルコン50|難易度「おに」で50曲フルコンボ|13枚|
|84|鬼フルコン100|難易度「おに」で100曲フルコンボ|16枚|
|85|たたいて「全良」|すべてたたいて『良』をとる|5枚|
|86|たたいて「全可」|すべてたたいて『可』をとる|10枚|
|87|たたいて「全不可」|すべてたたいて『不可』をとる((何もしなければ良いわけではない))|10枚|
|88|連打！連打！連打！|連打数300以上を達成|10枚|
|89|Wテツオ|テツオ（ぼうし）、テツオライド（ふく）にきせかえて演奏した|5枚|
|90|キングダム|王冠（ぼうし）、シンデレラ（ふく）にきせかえて演奏した|5枚|
|91|ウサギとカメ|うさみみ（ぼうし）、カメ（ふく）にきせかえて演奏した|5枚|
|92|きんさん|ちょんまげ（ぼうし）、桜（もよう）にきせかえて演奏した|5枚|
|93|鬼に金棒|かみなりさま（ぼうし）、おにの金棒（ふく）にきせかえて演奏した|5枚|
|94|十五夜|うさみみ（ぼうし）、おつきさま（ふく）にきせかえて演奏した|5枚|
|95|スイーツパラダイス|スイーツ（ぼうし）、おかし（もよう）にきせかえて演奏した|5枚|
|96|ロックスター|イケメンヘアー(銀)（ぼうし）、スタッズ（もよう）にきせかえて演奏した|5枚|
|97|チェックメイト|王冠(ぼうし)、ななめ市松(もよう)にきせかえて演奏した|5枚|
|98|ドットちゃん|水玉りぼん（ぼうし）、ドット小（もよう）にきせかえて演奏した|5枚|
|99|うっしー|ホルスタイン（ぼうし）、牛柄（もよう）にきせかえて演奏した|5枚|
|100|全スタンプ獲得！|すべてのスタンプを獲得した|8765枚|
