*隠し要素解禁条件 [#title]
[[Wii U3の収録曲]]

**スタンプ帳 [#stamp] 
|CENTER:|||||c
|No.|スタンプ名|条件|ドン小判|h
|77|松フルコン5|難易度『むずかしい』で5曲フルコンボ|6枚|
|78|松フルコン10|難易度『むずかしい』で10曲フルコンボ|7枚|
|79|松フルコン30|難易度『むずかしい』で30曲フルコンボ|9枚|
|80|松フルコン50|難易度『むずかしい』で50曲フルコンボ|11枚|
|81|松フルコン80|難易度『むずかしい』で80曲フルコンボ|14枚|
|82|鬼フルコン1|難易度『おに』で1曲フルコンボ|7枚|
|83|鬼フルコン5|難易度『おに』で5曲フルコンボ|8枚|
|84|鬼フルコン10|難易度『おに』で10曲フルコンボ|9枚|
|85|鬼フルコン30|難易度『おに』で30曲フルコンボ|11枚|
|86|鬼フルコン50|難易度『おに』で50曲フルコンボ|13枚|
|87|鬼フルコン80|難易度『おに』で80曲フルコンボ|16枚|
|88|「全良」1回|すべて『良』でたたいてフルコンボ1回|5枚|
|89|「全良」3回|すべて『良』でたたいてフルコンボ3回|10枚|
|90|「全良」5回|すべて『良』でたたいてフルコンボ5回|15枚|
|91|連打！連打！連打！|連打数300以上を達成|10枚|
|92|はじめてのともだち|かっちゃんが仲良くなったともだちの数『1』達成|5枚|
|93|なかよし1丁目|かっちゃんが仲良くなったともだちの数『5』達成|10枚|
|94|なかよし2丁目|かっちゃんが仲良くなったともだちの数『10』達成|10枚|
|95|なかよし3丁目|かっちゃんが仲良くなったともだちの数『15』達成|15枚|
|96|なかよし4丁目|かっちゃんが仲良くなったともだちの数『20』達成|15枚|
|97|なかよし5丁目|かっちゃんが仲良くなったともだちの数『25』達成|20枚|
|98|なかよし6丁目|かっちゃんが仲良くなったともだちの数『30』達成|20枚|
|99|町内一の人気者|かっちゃんが仲良くなったともだちの数『36』達成|30枚|
|100|全スタンプ獲得！|すべてのスタンプを獲得する|8765枚|
