|CENTER:BGCOLOR(#d0d8e0):¶ÊÌ¾|CENTER:BGCOLOR(#d04102):COLOR(#fff):''¤«¤ó&br;¤¿¤ó''|CENTER:BGCOLOR(#83ae5a):COLOR(#fff):''¤Õ¤Ä¤¦''|CENTER:BGCOLOR(#167d7e):COLOR(#fff):''¤à¤º¤«&br;¤·¤¤''|CENTER:BGCOLOR(#b04c5a):COLOR(#fff):''¤ª¤Ë''|
| ¥Õ¥Ë¥¯¥ê¡¦¥Õ¥Ë¥¯¥é |127|202|300|395|
| ¡ÖÅ·¹ñ¤ÈÃÏ¹ö¡×½ø¶Ê |169|262|370|489|
| ¥¦¥£¥ê¥¢¥à¡¦¥Æ¥ë½ø¶Ê |140|276|433|437|
| ¥Ï¥ó¥¬¥ê¡¼Éñ¶ÊÂè5ÈÖ |193|270|360|401|
| ¡Ö¥«¥ë¥á¥ó¡×ÁÈ¶Ê°ìÈÖ½ª¶Ê |147|262|388|518|
| ¥É¥ë¥¢¡¼¥¬¤ÎÅã¥á¥É¥ì¡¼ |212|269|607|682|
| ROTTERDAM NATION(FOO MIX) |173|284|513|680|
| Ridge Racer |238|331|733|733|
| ¥Ð¡¼¥Ë¥ó¥°¥Õ¥©¡¼¥¹¥á¥É¥ì¡¼ |184|275|504|748|
| ¥É¥é¥´¥ó¥¹¥Ô¥ê¥Ã¥È¥á¥É¥ì¡¼ |197|368|671|671|
| ¥½¥¦¥ë¥­¥ã¥ê¥Ð¡¼­¶ |144|181|322|471|
| KAGEKIYO |244|412|616|765|
| ÎøÊ¸2000 |300|400|666|777|
| ¤è¤¯¤Ç¤ë2000 |232|292|483|657|
| ¥±¥Á¥ã¥É¥ó2000 |189|230|437|503|
| ¤µ¤¤¤¿¤Þ2000 |252|366|489|570|
| ¥á¥«¥Ç¥¹¡£ |127|270|392|483|
| ²èÎµÅÀâÍ |153|294|471|608|
| É÷±À¡ª¥Ð¥Á¤ªÀèÀ¸ |182|245|476|476|
| ¥´¡¼¥´¡¼¡¦¥­¥Ã¥Á¥ó |245|374|558|558|
| ¥é¥Ö¥ê¡¼X |208|402|483|489|
| ¥¹¥¯¥í¡¼¥ë¡¦¥ß¥« |201|414|618|765|
| ¥À¥¤¥¨¥Ã¥È¡¦¥Ñ¥À¥é¥¤¥¹ |100|145|318|448|
| ¥Ý¥¸¥Æ¥£¥Ö¡ª |164|219|428|508|
| THE IDOLM@STER |158|225|395|498|
| ¤â¤ê¤Î¤¯¤Þ¤µ¤ó |97|107|197|197|
| ¤¤¤Ì¤Î¤ª¤Þ¤ï¤ê¤µ¤ó |98|137|220|328|
| ¼ê¤Î¤Ò¤é¤òÂÀÍÛ¤Ë |110|129|203|431|
| ¥É¥é¤¨¤â¤ó¤Î¤¦¤¿ |85|131|218|300|
| ¥¢¥ó¥Ñ¥ó¥Þ¥ó¤Î¥Þ¡¼¥Á |93|191|390|400|
| ¥µ¥¶¥¨¤µ¤ó°ì²È |69|117|249|305|
| ¥¿¥Ã¥Á |127|174|289|357|
| ¥ë¥Ñ¥ó»°À¤¤Î¥Æ¡¼¥Þ'78 |106|161|304|324|
| °¦¤ò¤È¤ê¤â¤É¤»¡ª¡ª |103|178|188|358|
| ¥é¥à¤Î¥é¥Ö¥½¥ó¥° |124|192|274|405|
| GALAXY EXPRESS 999 |166|210|326|539|
| ËÍ¤¿¤Á¤Î¹ÔÊý |81|121|206|361|
| ·î¸÷²Ö |81|105|170|288|
| ¤¢¤¸¤ã¤Ñ¡¼ |103|126|183|243|
| ¥Ï¥àÂÀÏº¤È¤Ã¤È¤³¤¦¤¿¡¡¡Á¥Î¥ê¥Î¥ê¤Ç¤Á¤å¡Á |82|141|246|421|
| ¥¢¥é¥é¤Î¼öÊ¸ |124|206|271|476|
| ¸«¤¨¤Ê¤¤Íã |107|154|263|390|
| ¥³¥³¥í¤Î¤Á¤º |119|183|273|305|
| À±¤Î¤«¤¬¤ä¤­¤è |103|138|211|360|
| ¥à¥ê¥à¥ê!?¤¢¤ê¤¢¤ê!!IN¤¸¤ã¤¡¤Ê¡Á¤¤?! |113|155|272|445|
| DANZEN! ¤Õ¤¿¤ê¤Ï¥×¥ê¥­¥å¥¢ Ver.Max Heart |97|143|205|314|
| ËâË¡ÀïÂâ¥Þ¥¸¥ì¥ó¥¸¥ã¡¼ |77|149|222|359|
