[[難易度表/おに/どん子のファーストデート(裏譜面)]]

-いや、星8最高密度やね --  &new{2017-01-31 (火) 15:10:00};
-これもまだドンだーに浸透してないな。 --  &new{2018-06-23 (土) 08:19:47};
-体力だけは完全に★9レベルだな --  &new{2018-07-09 (月) 20:45:30};
-あんまwasabiと変わらなくね… --  &new{2018-08-09 (木) 22:48:00};
-表も裏も2人用譜面があるのはなかなか珍しい気がする --  &new{2018-08-23 (木) 17:44:19};
-なかなか家庭用に移植されないな… --  &new{2018-09-29 (土) 18:29:36};
-かんたん&#12316;おに、裏譜面の全てに2人用譜面がある曲ってこの曲の他にもある？ --  &new{2018-12-06 (木) 16:00:07};
-星9でも密度でこの曲に勝てるのは19曲しかない --  &new{2019-01-08 (火) 10:50:16};
-↑現行の新筐体で収録されてる★9が204曲でそれ以外のを入れて300近くあると考えると、この曲の異端さがうかがえる　もっとあると思ってた --  &new{2019-01-08 (火) 11:45:38};
-↑3 裏譜面以外なら(米)TDMの全曲 --  &new{2019-02-08 (金) 09:26:48};
-↑3 なお、☆10でこの曲の密度に勝てるのは72曲ある模様 --  &new{2019-02-08 (金) 14:42:51};
-参考：信長松は約7.22打/秒 --  &new{2019-02-08 (金) 17:17:07};
-↑5 なお☆1でこれより平均密度が高い曲がある模様 --  &new{2019-02-08 (金) 17:23:49};
-どん子のファーストデート(大嘘) --  &new{2019-06-20 (木) 21:35:58};
-こんなに攻め寄られたらどんちゃん圧死しそうw --  &new{2019-06-20 (木) 21:37:14};
-ドンチャレ曲最終でもある --  &new{2019-06-27 (木) 21:29:43};
-交互打ち練習でやってたけど、クッソ楽しい。交互の練習始める人にオススメしたい --  &new{2019-12-09 (月) 18:06:26};
-紅よりも黒薔薇レベル12に近い体力消費。 --  &new{2020-02-07 (金) 17:29:10};
-CS収録待ってます --  &new{2020-02-10 (月) 17:59:26};
-ニジイロVer.において、現一人用＝達人、現二人用2P側＝玄人、現二人用1P側＝普通とする譜面分岐曲に変更される。 --  &new{2020-03-17 (火) 21:50:17};
-曲の最初に追加された連打で譜面分岐するようです（画竜点睛みたいな感じ） --  &new{2020-03-29 (日) 14:42:32};
-AC16の情報を反映させました。そのため、表は一人用・二人用の情報を統合しました。 --  &new{2020-04-03 (金) 16:43:01};
-広告ついてた動画を削除 近いうちに代替えの動画貼る予定だけどしばらく1人用譜面の動画なしで我慢して --  &new{2020-04-06 (月) 03:49:57};
-今更だけど、裏譜面で譜面分岐ありって久しぶりなのでは？いつ以来だろう？ --  &new{2020-04-07 (火) 22:41:42};
-↑パンごはん --  &new{2020-04-07 (火) 22:45:17};
//-広告付き貼るなって言っただろボケ --  &new{2020-04-11 (土) 23:12:34};
//-↑口の聞き方に気を付けろ --  &new{2020-04-12 (日) 10:56:41};
-玄人譜面において、開幕連打の加点分は''精度譜面である場合に限り加算される''ため、この譜面のように精度譜面でない場合は開幕連打分は加算されない(夜桜謝肉祭むずかしい裏譜面のコメントより)。 --  &new{2020-04-23 (木) 04:24:04};
-開幕の黄色連打の影響で小節線が1本増えたので平均密度が少し下がった --  &new{2020-04-29 (水) 22:42:08};
-↑ 最初の通常音符から最後の通常音符までの平均密度なので、開幕黄色連打は平均密度に考慮されない。百鬼達人の平均密度が他より高いのはそのため。 --  &new{2020-05-02 (土) 18:04:15};
-こいつの普通玄人譜面詐称要素あります？ --  &new{2021-09-01 (水) 21:22:21};
-↑ 達人の詐称要素が残っていて、それほどの差がないこと。2回降格提案が出されたが、2回とも賛成なし(反対1票)で見送られた。 --  &new{2021-09-01 (水) 21:39:07};
-ACには裏あるのにCSに裏ない曲の一つ --  &new{2021-09-13 (月) 11:53:38};
-↑ それに該当する曲の中で、曲自身のCS最終収録が最も古く(Wii1)、裏譜面自身の収録がなかった作品が最後なのはこの曲のみ(止マレは2人プレイ不可作品のみ、他はCS最終収録より後に裏譜面追加のため)。 --  &new{2021-12-21 (火) 16:21:09};
-NS2のサブスクで裏譜面はCS初収録すると思われる --  &new{2022-08-18 (木) 11:11:13};
-NS2ではAC16と同一(開幕連打分岐)。配点は初項400点、公差100点、真打1230点/打と、AC15の一人プレイ時と同一で、達人譜面のみ天井スコアがAC15と同一である。 --  &new{2022-09-28 (水) 20:11:53};
-NS2のストーリーでみんながドン子に魅了されてしまう場面でチャレンジ演奏が始まるけど、この曲ではなかったんだよな。何の曲かは各自で確かめてくれ。（ネタバレ防止のため） --  &new{2022-10-28 (金) 19:09:01};
//-これはリズムが分からないと本当に精神破壊されるためです。 --  &new{2022-11-20 (日) 11:37:17};
