[[難易度表/おに/U.S.A.]]
//-もっと音取れただろうに。テンション上がる曲やから、もう少し難易度難しい方が楽しかったと思うが。 --  &new{2018-09-13 (木) 18:24:54};
//-↑ 初心者向けに作られたパターン --  &new{2018-09-13 (木) 19:08:31};
//- ↑2　自分だけの価値観で物事を語るイキリキッズの鑑 --  &new{2018-09-13 (木) 19:12:11};
//-音符が多くないと楽しめないのは精進が足りぬ --  &new{2018-09-13 (木) 19:25:45};
//-↑精神的な話？ 悟ってるね。 --  &new{2018-09-13 (木) 19:27:19};
//--ほらー非表示しないからこうなる --  &new{2018-09-13 (木) 19:28:11};
//--なんかまた表示されとるw --  &new{2018-09-13 (木) 19:38:57};
//--↑2　一番上のやつ非表示したら復活してた　ここのコメ全部非表示でいいんじゃね --  &new{2018-09-13 (木) 20:37:55};
-もうちょい複雑な譜面にできただろとは思う --  &new{2018-09-14 (金) 23:45:25};
-↑2 その3つに比べて一般的に有名なも含めて版権曲を多く取り揃えてるからじゃない？（J-POP、アニメだけで現在165曲）その分予算が飛んでカバー音源が多くなるんだと思う。 --  &new{2019-09-23 (月) 15:13:31};
-結構重みのある曲ID付けられたな --  &new{2019-12-18 (水) 18:57:26};
//-Magical BabyrinthをDA PUMPが歌ってる人 --  &new{2020-01-04 (土) 18:58:00};
-難しいに換算したら★6は絶対になく★7でも中堅かそれ以上かと。 --  &new{2020-11-29 (日) 10:40:48};
-カバーのカバーは草 --  &new{2020-12-05 (土) 23:31:27};
-この曲、サヨナラ確定 --  &new{2021-07-29 (木) 15:12:44};
-ブーム自体は去ったが、これがサヨナラはちょっと意外。 --  &new{2021-07-29 (木) 15:15:47};
-定番曲になるかと思っていた --  &new{2021-07-29 (木) 15:33:09};
-まさかオリンピックで話題になったところで削除発表とはね --  &new{2021-07-29 (木) 17:42:32};
//-2021年にサヨナラが決まっていたとしたらむしろ本来なら2020年に開催されるオリンピックが終わってしばらくしてから削除っていう予定だったんじゃないの --  &new{2021-07-29 (木) 18:16:23};
//-オリンピックとゲームは関係ない --  &new{2021-07-29 (木) 18:35:57};
-これで新規収録されてから1077日になるのか --  &new{2021-07-29 (木) 21:11:49};
//-この曲がオリンピックに使われるってのは公表されてたの？ --  &new{2021-07-29 (木) 21:14:56};
//-オリンピックに関係なくサヨナラになる時期は決まってただろうよ。使われるとわかっててもサヨナラが延びることもなかったと思われる --  &new{2021-07-29 (木) 21:37:26};
//-アーティストのとこにアニメのこと関係ある？ --  &new{2021-08-03 (火) 20:52:40};
//-DA PUMPって入間くんより前から有名だったじゃん --  &new{2021-08-03 (火) 20:57:25};
//-消しといた --  &new{2021-08-03 (火) 20:58:16};
//-5小節目の配置、なんでこの音取りになったんだろう --  &new{2021-08-03 (火) 21:45:26};
//-↑何かおかしいかな？ --  &new{2021-08-04 (水) 11:51:15};
-TTもだけど意外と残ると思ってた物が結構早くサヨナラになっている気が --  &new{2021-08-04 (水) 19:21:01};
//-太鼓チームは名曲をなぜかさよならにする --  &new{2021-08-11 (水) 10:41:07};
//-↑サヨナラ曲が発生する理由は契約期間の終了だから太鼓チームが選んでる訳ではないぞ --  &new{2021-08-11 (水) 12:05:51};
-↑ちなみに、3年近くに収録されてたけどね --  &new{2021-08-23 (月) 22:06:16};
-ちなみにこの曲は削除されても他社の音ゲーでもプレイ可能 --  &new{2021-09-19 (日) 17:50:49};
-↑WACCAとかチュウニズム、maimaiとか --  &new{2021-09-21 (火) 16:53:28};
-↑チュウニズムでも削除された模様 --  &new{2021-11-04 (木) 22:28:41};
-↑3リミックスではあるがIIDXでもプレイ可能 --  &new{2022-01-19 (水) 19:14:34};
//-これやろうとした頃には無くて泣きかけたことある --  &new{2022-04-19 (火) 20:25:08};
