[[難易度表/おに/赤と白薔薇の魔女]]

-やばいのきたな --  &new{2021-03-25 (木) 08:56:51};
-攻撃種族値高いタイプの魔女(?) --  &new{2021-03-25 (木) 22:03:39};
-BPM222じゃなくて220だと思います --  &new{2021-03-25 (木) 22:47:52};
-273連打って絶対零度とかけてるんじゃないかってコメント見かけた --  &new{2021-03-25 (木) 22:56:09};
//-薔薇シリーズではないから赤白薔薇って呼ぶのはやめてほしいなぁ --  &new{2021-03-26 (金) 00:02:22};
//-Black Rose Apostleを｢ブラロ｣と略してしまうのと同じぐらいぐらい分かりにくくなるからね、僕もそう思う --  &new{2021-03-26 (金) 00:25:58};
-274連打ってのは、90小節の面を足したら274連打ってことか --  &new{2021-03-26 (金) 00:46:39};
-↑そりゃそうでしょ。むしろ足さない理由あるんか… --  &new{2021-03-26 (金) 01:02:15};
-この曲のむずかしいはOTNむずかしいより密度が高いかもしれない。もしそうならむずかしいは5年9ヶ月振りに最高密度を更新したかも… --  &new{2021-03-26 (金) 01:49:29};
-BPM170の箇所はBPM163かと思われます --  &new{2021-03-26 (金) 01:51:01};
-170であってますよ。 --  &new{2021-03-26 (金) 01:53:40};
-↑3 少なくとも幕末維新譚(むずかしい)があるから違う --  &new{2021-03-26 (金) 03:27:16};
-↑5　コメント欄とかもでも273連打って言ってる人がいたので一応 --  &new{2021-03-26 (金) 07:37:38};
-「他の体力譜面ができることが望ましい」のところでギミチョコを例に挙げるのあんまり良くないと思うんですけど --  &new{2021-03-26 (金) 08:27:57};
-↑そうなの？ --  &new{2021-03-26 (金) 08:30:52};
-↑もう誰もプレイできない譜面をあげるのは良くない。ゴーゴーキッチン裏に「テレキャス並みの高速、ソフラン耐性が必要」って書くのと近い --  &new{2021-03-26 (金) 08:44:40};
//-↑そーなんだ --  &new{2021-03-26 (金) 09:01:40};
-初日全良51人 --  &new{2021-03-26 (金) 09:56:30};
-初日倍でた全良いるの何事？ --  &new{2021-03-26 (金) 10:02:02};
-体力面がやばすぎて14.667打/秒でロールを使うという新たな選択肢が誕生 --  &new{2021-03-26 (金) 11:50:31};
-最初の低速あって9.59ってすごいな --  &new{2021-03-26 (金) 12:13:43};
-なんかめっちゃコピペ譜面っすねこれ --  &new{2021-03-26 (金) 12:49:47};
-裏で流れてる強烈な音を拾わざるを得なくてこうなった感はある。理由なしに詰め込んだ訳でもないから割と好きな譜面 --  &new{2021-03-26 (金) 12:57:50};
-第1ゴーゴーの時点で嫌な予感しかしなかった --  &new{2021-03-26 (金) 14:07:45};
-可200不可100でもクリアは十分見えたから、ロール処理はアリっちゃかとアリ --  &new{2021-03-26 (金) 14:31:40};
-松682竹533梅341だよ --  &new{2021-03-26 (金) 15:39:01};
-↑となると合計コンボ数は2667で≠MM抜いてAC第7位かな --  &new{2021-03-26 (金) 17:14:14};
-↑ミス幕末維新譚入れてなかったから多分8位 --  &new{2021-03-26 (金) 17:18:34};
-8小節の拡大をお願いします --  &new{2021-03-26 (金) 18:25:39};
-これロールは流石にない。これくらいのBPMだとロールするには遅いし複合も単純だから正攻法で出来た方がいいよ --  &new{2021-03-26 (金) 18:31:56};
-↑やっぱそう思うよね　書き換えときます --  &new{2021-03-26 (金) 18:32:35};
-全難易度通して完全精度曲です。(YouTube参照) --  &new{2021-03-26 (金) 19:22:25};
-↑同じく全難易度通して大音符なし --  &new{2021-03-26 (金) 19:29:23};
//-これって解禁なしですか？ --  &new{2021-03-26 (金) 20:55:40};
//-↑解禁無しとは？現時点ではどんメダル60枚と交換以外解禁方法は無し --  &new{2021-03-26 (金) 21:16:51};
-全難易度完全精度曲で大音符がないのって他にあるのかな？ --  &new{2021-03-26 (金) 21:23:18};
-↑現時点では唯一 --  &new{2021-03-26 (金) 23:06:16};
//-解禁しなくても遊べるかって事を聞きたかったんですありがとうございましたー --  &new{2021-03-26 (金) 23:17:43};
//-全難易度音符なしってゴーゴー・キッチン(裏譜面除く)とデブステ以来ですね。 --  &new{2021-03-27 (土) 08:36:36};
//-↑音符なしってwww --  &new{2021-03-27 (土) 09:02:32};
-読みはあかとしろばらのまじょ --  &new{2021-03-27 (土) 11:03:21};
-譜面画像の星の数が何故か0になってる… --  &new{2021-03-27 (土) 13:14:58};
-魔女なのに筋肉モリモリのイメージついてるのほんと草 --  &new{2021-03-27 (土) 13:19:41};
-なんだかんだ思えばリゼロ感ある --  &new{2021-03-27 (土) 13:20:16};
//-↑5DEBSTEP!が全難易度大音符無い --  &new{2021-03-27 (土) 15:20:34};
-274連打かぁ…ふなっしーだな --  &new{2021-03-27 (土) 15:30:39};
//-↑2　でも全難易度完全精度曲ではないやん --  &new{2021-03-27 (土) 17:01:02};
-別ゲーじゃ筋肉の女神がいるらしいし、魔女が筋肉モリモリだったとしても何ら不思議ではない…のかもしれない --  &new{2021-03-27 (土) 18:40:36};
-8小節目の速度変化が重なりすぎて読めないのですがどんな感じでしょうか？ --  &new{2021-03-27 (土) 18:46:38};
-↑これは6回速度変化がある。5回目までは8分間隔で6回目のみ16分間隔である。 --  &new{2021-03-27 (土) 20:14:41};
-そういえばロール全良が出てるね　ロールもいいと言っていた人には希望になりうるか？ --  &new{2021-03-28 (日) 07:36:48};
-↑フルコンできるだけで充分希望です。 --  &new{2021-03-28 (日) 09:13:22};
-↑3 そうじゃなくてBPMを知りたいんじゃないの --  &new{2021-03-28 (日) 09:15:59};
-怒槌やパンごはん表を難なくクリアできるくらいの体力は欲しいところ… --  &new{2021-03-28 (日) 13:56:03};
-めちゃめちゃ器用な人がロール処理で出来るだけであって、基本的にBPM220の16分はシングル推奨だと思うけどな --  &new{2021-03-28 (日) 15:06:23};
-↑5 その人が相当ヤバいだけだと思う --  &new{2021-03-28 (日) 16:53:35};
//-基礎が出来てないのにその応用であるロールが出来るわけねえだろ。現にYoutubeとかTwitterとかでロール上手い人ってそもそもが上手いだろ。ロールだけ上手い人なんかおらんわ --  &new{2021-03-28 (日) 17:44:23};
-正直舐めてた UNDEADHeartよりも余裕で疲れるw --  &new{2021-03-28 (日) 19:21:56};
-これって、274連打のところロールでやるとうまくいかないんですが、シングルでは、途中で途切れるんです。ロールかシングルどっちがいいと思いますか。 --  &new{2021-03-29 (月) 12:31:05};
-↑kd処理が出来ないうちは練習だと割り切って訓練し続ける感覚でやった方がいいぞ。 --  &new{2021-03-29 (月) 13:35:15};
//-↑×2 他人には奇跡は起こるけど、自分には決して起こらない。ロールで通るようにするなら毎日コツコツ挑戦してみることやな！ガハハ！！ --  &new{2021-03-29 (月) 13:37:54};
-↑2 これロールとか逆にキツいし体力つけてシングルの方が多分いい --  &new{2021-03-29 (月) 16:24:17};
-あべこべ使ったらdkkkdkkkdkkkdkkkkdが安定するけど、結局シングルゲーム。wwwwwwww6 --  &new{2021-03-29 (月) 16:24:21};
-https://twitter.com/shiminyanko/status/1375965449024798721?s=19 こんな考察あったけど太鼓チームも狙ってたのかな？ --  &new{2021-03-29 (月) 18:40:42};
//-↑なわけ(略) --  &new{2021-03-29 (月) 18:57:13};
-↑流石に偶然でしょ。こじつけが過ぎる --  &new{2021-03-29 (月) 19:12:46};
-[[ちなみに全可すると魂ゲージ66%とこちらも11の倍数>https://twitter.com/taikonotatyujin/status/1376415221581893636]] --  &new{2021-03-29 (月) 19:16:58};
-揺れてる所52じゃなくて53じゃない？ --  &new{2021-03-29 (月) 20:40:10};
-↑4 否定的な意見も出てるが太鼓チームたまにこういう凝ったことするからわからんのよな 偶然だったらそれはそれで凄いし --  &new{2021-03-29 (月) 22:06:29};
-歌詞中に「この世界に余計な色はいらない。モノクロな世界に赤と白で彩ろう。」ってあるんだけどもしかしてそのせいでゴーゴーがドンとカツだけで彩られた？ --  &new{2021-03-29 (月) 22:46:48};
-単に連打等で合わせるところが無かっただけでは？ --  &new{2021-03-29 (月) 23:58:08};
-↑3 譜面でモールズ信号作って遊ぶような運営だからやっても何らおかしくないよね --  &new{2021-03-30 (火) 10:34:46};
-西暦ネタは幕末維新譚や正徳たいこでもあるから一応あり得るといえばあり得る --  &new{2021-03-30 (火) 11:45:49};
-ラスゴーばかり注目されがちだが、第1ゴーゴーの段階で既にしんどい --  &new{2021-03-30 (火) 13:23:19};
-↑4 すまん連打とかじゃなくて274連も長くしてるのは音符がない部分(つまり黒)を彩るためだと言いたかった --  &new{2021-03-30 (火) 14:07:08};
-[[赤薔薇>../Red Rose Evangel]]と[[白薔薇>../White Rose Insanity]]の2曲との混同に注意。「Red and White Rose Sorceress」かな。 --  &new{2021-03-30 (火) 16:33:48};
-↑反映。 --  &new{2021-03-30 (火) 18:26:28};
//-略称についてああだこうだ言いたくないけど、桃薔薇とか分かりやすいんじゃないかなって思った --  &new{2021-03-30 (火) 19:23:21};
-↑ 略称に関する編集部分は削除--  &new{2021-03-30 (火) 19:25:24};
-↑編集見たらバッサリ痕跡無くなっててワロタ。 --  &new{2021-03-30 (火) 21:09:32};
-↑コメント欄でも略称の話題は徹底して非表示にしてるのに編集欄にあるのはどうかと思ったからなんだすまん --  &new{2021-03-30 (火) 21:53:29};
-まあこの曲に関してはフルネームで呼んであけだ方が荒れにくいからね… --  &new{2021-03-30 (火) 22:51:31};
-↑6 英語表記についても反映。 (何故｢Si｣なのかな…) --  &new{2021-03-30 (火) 22:57:08};
-↑一応英語表記で正式なものわからんからRed and White Rose Sorceressの部分は説明欄で余計なのでは？ --  &new{2021-03-30 (火) 23:03:45};
-↑反映した。 --  &new{2021-03-30 (火) 23:07:48};
-↑2 ご指摘ありがとうございます。 --  &new{2021-03-31 (水) 00:08:49};
-↑6コメ欄と編集欄勘違いしてたすいません --  &new{2021-03-31 (水) 00:53:47};
-最近は安易にロールさせないような譜面増えてきたね --  &new{2021-03-31 (水) 10:36:48};
-kd処理入らん --  &new{2021-03-31 (水) 19:47:25};
-休憩地帯ないから総合力求められそうな譜面 --  &new{2021-04-01 (木) 16:21:52};
-カラフルボイス裏が練習になるような --  &new{2021-04-01 (木) 21:16:52};
-僅かに遅いとはいえ、きたさいたま2000の最長複合(23打)の10倍以上叩かせる譜面 --  &new{2021-04-01 (木) 23:05:25};
-↑2 逆も然り --  &new{2021-04-02 (金) 21:19:04};
-フルコン・全良狙いなら追いつく人はゴーゴーより24分の問題じゃない？ --  &new{2021-04-08 (木) 05:07:41};
-↑開幕も意外と難しい --  &new{2021-04-08 (木) 07:09:45};
-↑↑いや、それでも274連打には勝てないと思う --  &new{2021-04-08 (木) 07:34:57};
-↑↑BPM220の24分とか鋭すぎる --  &new{2021-04-09 (金) 07:34:46};
-交互が死ぬほど出来ないので第1ゴーゴーはヴァーナスでやってしまう --  &new{2021-04-10 (土) 10:55:08};
-274連打全部良で叩くとスコア25万くらい増えるのか… --  &new{2021-04-10 (土) 11:38:41};
//-いくら薔薇だからって、薔薇シリーズ最強の体力譜面の強化版を出さなくたって…… --  &new{2021-04-11 (日) 15:00:09};
-9〜16小節が好きすぎる --  &new{2021-04-11 (日) 22:19:56};
-開幕BPM115じゃね？ --  &new{2021-04-14 (水) 13:13:09};
-↑HS0.75で --  &new{2021-04-15 (木) 09:04:47};
//-これ九段に予想してる人がいるんだが....まさかね。 --  &new{2021-04-18 (日) 14:29:16};
-第一ゴーゴー黒薔薇っぽい --  &new{2021-04-18 (日) 14:48:18};
//-↑2　それ言った奴頭おかしいんじゃねえの？ --  &new{2021-04-18 (日) 15:10:06};
//-↑十段がラストになる予想なのでは？ --  &new{2021-04-18 (日) 16:10:19};
-ボーカルの雰囲気は感情のついたミカ --  &new{2021-04-18 (日) 17:13:52};
-バテる以前に腕が安全装置かけて動かなくなる --  &new{2021-04-18 (日) 22:42:26};
-↑2 そういえばミカシリーズの新曲まだかなぁ... --  &new{2021-04-20 (火) 21:27:10};
-個人差譜面を超えた何か --  &new{2021-04-25 (日) 08:03:38};
-全難易度通常ノーツしかないのって史上初？ --  &new{2021-04-26 (月) 11:28:51};
-↑前にも同じ話題が出てます --  &new{2021-04-26 (月) 11:33:45};
-↑見つけました、ありがとうございます --  &new{2021-04-26 (月) 11:47:21};
//-DEBSTEPはおに以外黄色連打があるので通常音符以外も存在します --  &new{2021-04-26 (月) 12:36:43};
//-↑★×10って書いてあったわ --  &new{2021-04-26 (月) 12:38:42};
//-公募曲で2番目に難しいのはこれかな？人によってはラパスとかの方が難しいのかな --  &new{2021-04-26 (月) 16:11:56};
-密度だけでゴリ押さなくなってきた最近の傾向からするとかなり新鮮な（懐かしい？）譜面 --  &new{2021-04-26 (月) 16:42:11};
-こういう譜面が増えてくれるとありがたいですね。 --  &new{2021-04-26 (月) 17:00:41};
-シングルじゃ通らん --  &new{2021-05-01 (土) 18:20:08};
-裏譜面が多かった今回の公募の中では最強の表譜面では --  &new{2021-05-02 (日) 12:00:04};
-譜面作成くぼけんさんの可能性ありそう。 --  &new{2021-05-03 (月) 09:11:58};
//-↑逆にこれまでのおにのゾロ目譜面でくぼけんさんじゃないのってある？たぶんないよ。 --  &new{2021-05-03 (月) 09:15:35};
//-↑DEBSTEP!(888コンボ、エトウ作譜) --  &new{2021-05-03 (月) 09:18:40};
//-↑2以外にもアニスペ以前の作品のゾロ目は全部違う(ってかDEBこそくぼけんさんっぽいと思ってました) --  &new{2021-05-03 (月) 09:25:19};
-今フリーダムダイブ出てたらこんな感じになってたかな --  &new{2021-05-04 (火) 23:29:08};
-こういう個性派のやつ増えてー！たのしい！ --  &new{2021-05-05 (水) 00:33:49};
-↑2 ここまで暴れたらアレだから楽しめる範囲でセーブしただけだと思う、当時の環境ならこれくらいの譜面出しても大丈夫だろうし --  &new{2021-05-15 (土) 04:10:49};
-これってRoseシリーズとはなんの関係もなし？ --  &new{2021-05-18 (火) 15:59:57};
-↑作曲者違うし無関係かと --  &new{2021-05-18 (火) 22:30:12};
-240じゃなくてよかった…（ハウスバチ） --  &new{2021-05-23 (日) 20:15:41};
-筋肉と筋肉の譜面 --  &new{2021-05-25 (火) 01:56:13};
//-絶対段位には来ないと思います。来たら謝罪します。 --  &new{2021-05-31 (月) 22:28:12};
//-超人1曲目の可能性 --  &new{2021-06-01 (火) 22:00:00};
-シングルだときつい、でもカド処理抜けやすいとか地獄かな？ --  &new{2021-06-02 (水) 15:25:02};
-指シングル使えるとだいぶ楽。 --  &new{2021-06-04 (金) 20:00:31};
-曲かっこいいし出来るようになるともっとかっこよく感じる --  &new{2021-06-15 (火) 16:41:34};
-　　体　　力　　測　　定　　 --  &new{2021-06-28 (月) 13:46:48};
-どうして太鼓の魔法使いは、皆体力をこんなに求めてくるんだ… --  &new{2021-07-01 (木) 17:57:40};
-↑魔法(物理)定期 --  &new{2021-07-01 (木) 18:06:24};
-↑2なんなら魔神と大差ないぞ --  &new{2021-07-01 (木) 18:06:42};
-魔女とか少女とかがタイトルにつくヤツは大体地雷譜面 --  &new{2021-07-02 (金) 15:46:55};
-↑ 旧基準★7でも[[譜面画像のタイトルが「少女はどS」>../少女S]]だったり、旧作★4でも[[当時としてはかなりの物量>../DANCE!おジャ魔女]]だったりと、地雷までいかないが強めの曲もある。 --  &new{2021-07-02 (金) 16:46:50};
-(追記)曲名に「魔女」を含む曲はこれを含めて2曲しか収録されたことがない(少女は7曲)。 --  &new{2021-07-02 (金) 16:51:05};
-↑3いちおうまだまともな譜面出たこと無いぞ --  &new{2021-07-02 (金) 17:32:36};
-↑ 少女の神の粒子… --  &new{2021-07-02 (金) 22:10:50};
-↑6 「魔神」とはどの曲のことですか？ --  &new{2021-07-05 (月) 16:22:50};
-↑あくまでも「魔神」のような体力って表現の意味だから、そもそも曲を指してはいない。ていうかそもそも「魔神」って付く名前の曲太鼓に無くないですか？ --  &new{2021-07-05 (月) 16:55:46};
-↑ 検索してみたが無いですね。[[魔人が付く曲>../キューティー☆デモニック☆魔人エモ!!]]と[[マジンが付く曲>../マジンガーZ]]はそれぞれあるが --  &new{2021-07-05 (月) 17:39:56};
-なんとか行けそうな気がしそうでしない --  &new{2021-07-16 (金) 12:36:08};
-↑ どっちやねん --  &new{2021-07-16 (金) 19:05:42};
-それな --  &new{2021-07-27 (火) 17:12:59};
-UNDEAD HEARTの達人譜面と同じかそれ以上に体力使う譜面だ --  &new{2021-08-10 (火) 17:40:32};
-↑アンデとか比べ物にならない気もするが --  &new{2021-08-10 (火) 17:49:58};
-というかぶっちゃけチャーリーよりきつい（1拍の休みでもあればマシなんだけどな…） --  &new{2021-08-29 (日) 22:29:09};
-これの274連繋げてもチャーリー最後まで持たなかったぞ。こっちは、一方の手は基本的に面しか叩かないからかな --  &new{2021-08-30 (月) 13:38:42};
-正直赤と白だから桃薔薇って略したい。 --  &new{2021-08-30 (月) 21:34:43};
-↑いいよ --  &new{2021-08-30 (月) 21:42:05};
-アプデのおかげで274連ロール処理がめっちゃ入って気持ちよかった --  &new{2021-09-06 (月) 19:23:20};
-ある意味平均密度の割にクリアしやすいといえる…かも。 --  &new{2021-09-08 (水) 13:20:26};
-ここの譜面の画像最初に見た時、最初もBPM220なのかと思った --  &new{2021-09-14 (火) 00:53:25};
-ハウス勢の自分からすればアンデとチャリ走のほうが圧倒的に楽だった。未だにこれフルコンできん。 --  &new{2021-09-19 (日) 15:53:19};
-1111ノーツが2分ちょいで通り過ぎていくのはどことなく幽玄に似たものを感じる --  &new{2021-09-26 (日) 01:10:19};
-8小節のBPM詳しく書かんの？ --  &new{2021-09-26 (日) 09:04:02};
->>2021-03-26 (金) 01:02:15 最後の一打は次の音符と4分間隔なので、この長複合は16分13打+24分3打+16分257打+4分1打と見なせる(16分以上の打数は273打)。だから最後の1打を足さないという考えはおかしな話ではないはず。まあ太鼓の達人では最後の1打も含める考え方が一般的だが。 --  &new{2021-10-03 (日) 10:11:05};
-1クレ目1曲目からこれやってる人見て、すごいなぁと思った。 --  &new{2021-10-03 (日) 17:51:36};
-↑5 てかこれよりアンデの方が疲れる人っているのかな --  &new{2021-10-13 (水) 22:06:00};
-フルコンは長複合できるかどうかただそれだけ --  &new{2021-10-19 (火) 00:22:37};
-長複合に目がいきがちだけど何度か出てくる24分鋭い。 --  &new{2021-10-25 (月) 13:30:06};
//-p  kfkpkhhp oiuap hvkpi l p fatop d ap iuvop olipi l p ovvapiaautpkfoakp kkuopi l p ovvapiaautp fklp-kiutfp kkuopi l pi koepi viapi v opi edpi dipi viepi v ipi dipi viepi v i死去！ --  &new{2021-11-01 (月) 06:18:47};
-そういえば歌詞って何語なんすかねー　中日歌詞はつべにで出てたけど何語かわからん --  &new{2021-11-15 (月) 14:03:07};
-普通に日本語と英語じゃないんかこれ --  &new{2021-11-15 (月) 19:42:45};
-silent jealousy(裏)のほうが疲れるんだけど同じ人おる? --  &new{2021-12-08 (水) 14:34:58};
-↑絶対あり得ない --  &new{2021-12-09 (木) 16:38:48};
-人は体の大きさや腕の長さによって得意なテンポは異なるから、一概に有り得ないとも言い切れない --  &new{2021-12-09 (木) 17:50:53};
-チャリ走はシングル余裕なんだがこれは長すぎて無理。自分マイバチににげていいっすか？ --  &new{2021-12-14 (火) 02:39:19};
-↑ハウスにこだわりが無ければいいと思う --  &new{2021-12-19 (日) 18:07:32};
//-次作の達人1stに予想しとこ（出来るとは言ってない） --  &new{2022-01-09 (日) 02:33:19};
//-達人だったらただのカモだろこんなの --  &new{2022-01-09 (日) 03:37:19};
-↑ ハウスならロール処理がオススメです(速度が遅いからハウスでロールするといい感じになる) --  &new{2022-02-01 (火) 21:38:43};
-↑ ↑2でしたすみません --  &new{2022-02-01 (火) 21:38:59};
-腕がもげる --  &new{2022-02-03 (木) 11:32:07};
//-プレイして意外と早く爆死したどんだー --  &new{2022-02-03 (木) 22:02:12};
-デタラメかけると終わる --  &new{2022-02-04 (金) 15:57:59};
-おいつかないわ --  &new{2022-02-04 (金) 20:59:28};
-34&#12316;41小節がこの譜面の中で1番楽しい。 --  &new{2022-02-12 (土) 11:18:00};
-非ゴーゴーが技術,ゴーゴーが体力って感じ,超人1,2曲目における難易度(体力) --  &new{2022-02-17 (木) 12:11:06};
-弾丸裏より密度高いってマジか --  &new{2022-02-22 (火) 13:32:18};
-↑弾丸裏は多分最後なかったら抜かしてたよ --  &new{2022-02-22 (火) 13:36:34};
-叩けると超楽しいなこれ --  &new{2022-03-02 (水) 20:51:43};
-↑それな --  &new{2022-03-11 (金) 08:15:34};
//-なぜだ、どうして9小節目から17小節目までが繋げれなくてそっから全部フルコンできるんだ --  &new{2022-03-22 (火) 23:28:30};
//-↑ちくしょうめー！ --  &new{2022-03-22 (火) 23:28:55};
-↑腕痛くならないの？ --  &new{2022-03-31 (木) 16:13:35};
-dkkkdkkkで癖ついておわた --  &new{2022-04-20 (水) 22:33:35};
-思ったより遅いんだよなこいつ --  &new{2022-04-27 (水) 20:17:50};
//-シングル遅いうえハウスなワイでも余裕や --  &new{2022-04-27 (水) 20:18:55};
-↑遅いけども弩蚊怒夏と一緒で体力が持たんｗｗ --  &new{2022-05-06 (金) 14:06:32};
-IOS配信決定 --  &new{2022-06-17 (金) 12:44:26};
-やっと減速部分のあれこれが分かるのか --  &new{2022-06-17 (金) 15:20:40};
-なんかほとんどBPM結構中途半端だね --  &new{2022-07-01 (金) 16:54:43};
-こんな微妙なBPMだったのか --  &new{2022-07-01 (金) 20:36:31};
//-天井点…初項10点高くても良かったと？ --  &new{2022-07-02 (土) 15:01:02};
//-↑？ --  &new{2022-07-02 (土) 15:11:26};
-最後に編集した者ですが説明文の最初のBPM表記これで大丈夫ですかね？ --  &new{2022-07-03 (日) 01:27:03};
-↑大丈夫です、ありがとうございます --  &new{2022-07-03 (日) 18:39:31};
-ゴーゴー全部16分で埋め尽くされてるの草 --  &new{2022-07-04 (月) 19:01:25};
-16分複合長さランキング2位かな？ --  &new{2022-07-11 (月) 17:12:02};
//-1位です。（同率で） --  &new{2022-07-12 (火) 23:31:40};
-そうだね --  &new{2022-07-24 (日) 16:45:53};
-ラスゴーにチャリ走と弩蚊怒夏、リボルバー裏と戦車裏の超複合置いたらクソ面白いことになりそう --  &new{2022-08-27 (土) 13:16:17};
//-これ善良する人良い意味で人間じゃねぇ --  &new{2022-08-27 (土) 13:18:01};
-これ譜面製作者誰なんだろ もしかしてマツモト？ --  &new{2022-08-27 (土) 17:27:36};
-↑見た感じだと可能性高そう --  &new{2022-09-05 (月) 17:33:32};
//-↑6 朱の旋律のラスゴーは違う？ --  &new{2022-09-06 (火) 16:53:32};
-これ段位ある？ --  &new{2022-09-06 (火) 23:41:36};
-↑ 超人2ワン --  &new{2022-09-06 (火) 23:55:23};
