[[難易度表/おに/亡き王女のためのパヴァーヌ]]
-最近ラヴェルの曲増えてきたな --  &new{2011-05-19 (木) 17:39:19};
//-初見118www --  &new{2011-07-17 (日) 11:07:58};
//-↑ しかも揃って完成度がやばいっていうね クープランも道化師もマジ神すぎ --  &new{2011-07-17 (日) 11:10:26};;
-＞サビ終わり　「在りし日の歌　ここに」じゃね？ --  &new{2011-07-19 (火) 15:48:08};
-そういえばこの曲とかリア充ポップ歌ってる人って誰なんだろう。エンドリシリーズと同じたかみつさんっぽいが…。 --  &new{2011-07-19 (火) 21:47:50};
-霜月はるか？ --  &new{2011-07-19 (火) 22:19:25};
//-やばいぞ、ラヴェルのアレンジ曲神曲多すぎだろ…これも聞いて泣きそうになった --  &new{2011-07-20 (水) 08:01:21};
//-また神曲の誕生だな〜。クラシックの中で一番好きかも --  &new{2011-07-20 (水) 16:47:25};
//-神曲ktkr --  &new{2011-07-20 (水) 17:24:25};
//-最近のラヴェル推しは正解か --  &new{2011-07-20 (水) 17:30:38};
//-誰か歌詞教えてー!! --  &new{2011-07-20 (水) 23:20:27};
//-http://www.youtube.com/watch?v=oHeU92sosTk 　音源あがっとるぞ --  &new{2011-07-22 (金) 05:04:49};
//-また大胆なアレンジやな。 --  &new{2011-07-22 (金) 11:12:53};
//-もっと良い譜面作れたと思う --  &new{2011-07-22 (金) 14:35:06};
//-曲名に反して意外と簡単な曲。 --  &new{2011-07-22 (金) 18:19:52};
//-神曲すぎるｗ --  &new{2011-07-23 (土) 05:55:19};
-☆5はさすがにないが☆6でも違和感ない。 --  &new{2011-07-23 (土) 10:06:07};
-この下にあるやつの題名が違う --  &new{2011-07-23 (土) 11:18:43};
-ための　が抜けてる --  &new{2011-07-23 (土) 12:04:19};
//-↑8消えてる… --  &new{2011-07-27 (水) 12:39:11};
//-逆詐称すぎ　●●○出来たらフルコン余裕 --  &new{2011-07-30 (土) 10:55:17};
//-あぁ 黄色の髪を揺らし        あぁ 小さな靴をならしながら  踊る君のパヴァーヌ           あぁ 柔らか風のように        あぁ 鮮やかな月の夜に        ふとしたきみのパヴァーヌ     とこしえに 忘られる          在りしきの歌 ここに          夢で見た 聞こえてる 君の鼓動 途切れず ？？？？？？？？？？あぁ 黄色の家具のなかで      あぁ 小さく裾を広げながら    笑う君のパヴァーヌ           とこしえに 忘られる          在りしきの絵に ここに生きてるさぁ 踊ろうよ 手を差し出して 僕に --  &new{2011-07-31 (日) 20:57:10};
//-↑ほとんど勘です。見辛くてすみません。？はどうしても分かりませんでした。間違い等あれば指摘お願いします。 --  &new{2011-07-31 (日) 20:59:31};
//-↑2家具×　額○ --  &new{2011-07-31 (日) 22:45:57};
//-↑２　×ふとした○凛とした --  &new{2011-07-31 (日) 23:15:06};
//-↑4　×忘られる　在りしき　○忘られぬ　在りし日 --  &new{2011-08-01 (月) 02:01:41};
//-↑5金色の髪じゃない？ --  &new{2011-08-02 (火) 22:09:28};
//-↑６　×夢で見た　○夢でまた　「？？？」のとこ、おそらく「今もいるよ」かと --  &new{2011-08-03 (水) 21:25:14};
//-音余り過ぎ！12分音符も入れるじゃないか。 --  &new{2011-08-03 (水) 21:58:54};
//-×月の夜に?月のように --  &new{2011-08-04 (木) 19:21:18};
//-↑4黄色で合ってますよ --  &new{2011-08-07 (日) 12:37:27};
-連打何秒？？ --  &new{2011-08-08 (月) 20:25:17};
-↑だいたい 約2.168秒−約1.296秒−約1.512秒−約1.296秒−約1.728秒−約1.296秒−約1.512秒　最後2本はわからない --  &new{2011-08-08 (月) 20:43:55};
//-情熱大陸にソックリ --  &new{2011-08-15 (月) 20:50:02};
-これの全一って一体何点なんだ？ --  &new{2011-08-17 (水) 11:57:19};
-↑１２０万点以上 --  &new{2011-08-17 (水) 12:36:31};
//-何を基準に☆7になったんだこれｗ裏譜面出ること希望 --  &new{2011-09-02 (金) 22:10:56};
//-↑連打多いから体力とか？それでも☆5位だよな --  &new{2011-09-07 (水) 14:35:31};
-しかしカロンのおかげでどうやらPSPDXの★7最弱は免れそう(それはそれで問題だが…)。 --  &new{2011-09-07 (水) 15:36:15};
//-連打の多さゆえ、自分のデータのトップ3が全員102万点を越している。その一人は自分だが、残りの二人はアドパで一緒にやったドンだー。なおトップ3がすべて100万点以上なのは自分のではこの曲だけ。 --  &new{2011-09-11 (日) 18:51:54};
-全一は121万いってるね --  &new{2011-10-12 (水) 02:09:01};
-普通に★7適正だろ --  &new{2011-10-12 (水) 13:00:52};
-↑ ★6だろ --  &new{2011-10-13 (木) 18:22:39};
-同じパターンが2小節以上続くことが無いから小節ごとに打ち分けるのが難しい。だからと言ってアレンジすると利き手に負担がかかる。更にこれまで出て来なかった○●○の混じるラス殺しまである。 --  &new{2011-10-20 (木) 02:02:27};
//-2〜3,34,47〜48,74小節に12分音符があればよかった。裏譜面では入れて欲しい --  &new{2011-10-20 (木) 17:12:27};
//-サントラに入るかなぁ・・・ --  &new{2011-10-20 (木) 17:53:59};
//-空気かな？ --  &new{2011-10-21 (金) 13:02:46};
-クラシックアレンジで一番好きだな…個人的にこれの連打楽しいんだよな --  &new{2011-10-21 (金) 19:22:28};
//-個人的に太鼓に収録された曲で一番すきだわ --  &new{2011-10-25 (火) 14:47:45};
//-なっかなか110万に乗らない --  &new{2011-10-31 (月) 12:40:52};
-さて、これとカロンがACで☆いくつになるのか見物だな --  &new{2011-11-05 (土) 21:29:18};
-↑真面目にいけばこれは★6でカロンは★5なんだがな --  &new{2011-11-05 (土) 23:07:04};
//-神曲 --  &new{2011-11-08 (火) 11:43:59};
-降格おめでとう --  &new{2011-11-16 (水) 22:09:17};
//-まぁ、落ちて当然だが、気のせいかな？まだ逆詐称に思える。 --  &new{2011-11-18 (金) 21:49:16};
-全良手元://www.youtube.com/watch?v=bLGE8qONqUk --  &new{2011-11-19 (土) 21:55:40};
//-ついにフルした！！嬉しい！！好きな曲だから上位曲フルより嬉しい！ --  &new{2011-11-19 (土) 22:11:20};
//-↑2 その認識は間違ってないと思う。これが犬吠えるとかカチューシャと同じ難易度だと思えって方が難しい。ま、カロンはもっと酷いんだが。 --  &new{2011-11-25 (金) 21:53:02};
//-これときみあかはシリーズと言う事でおｋ？ --  &new{2011-11-25 (金) 23:46:20};
//-きみあか表のほうがむずかしくない？ --  &new{2011-12-28 (水) 19:16:20};
//-↑それはない --  &new{2011-12-28 (水) 19:25:01};
//-新ACにおいて、全良風船全割かつ非ゴーゴーに526連打、ゴーゴーに120連打入れると100万点ジャスト。↑5の曲の題名はこれの原曲を捩ったものとのこと。どちらも神曲なのには変わりないが --  &new{2012-01-20 (金) 00:57:09};
//-これいいきょくすぎ --  &new{2012-02-07 (火) 20:56:21};
-最初と最後微妙にＢＰＭ変化してるんだな --  &new{2012-02-07 (火) 23:40:16};
//-☆7なのに100万のって自分でもびっくりしてたけど連打曲ということを今更思い出した --  &new{2012-02-18 (土) 12:21:11};
//-ドドカ　カカ　で新筐体で無反応不可が出てイライラ --  &new{2012-02-20 (月) 17:33:55};
//-(ﾟДﾟ)ホワァ!! --  &new{2012-02-20 (月) 20:32:22};
//-↑やめいｗｗｗｗ --  &new{2012-02-20 (月) 21:12:18};
//-(ﾟДﾟ)ぶフォワァ!! --  &new{2012-02-22 (水) 23:06:30};
//-↑1.3 インゾネでやれｗｗｗｗｗ --  &new{2012-02-22 (水) 23:09:09};
//-ほさかの餌食だったから全一更新はもう無理でしょうな --  &new{2012-03-06 (火) 22:49:52};
//-初めてやってフルコンボだった --  &new{2012-03-19 (月) 18:19:30};
//-そうか。それは頑張ったな。 --  &new{2012-03-21 (水) 02:06:37};
//-この曲連打の内訳忘れる  連打大杉 --  &new{2012-04-01 (日) 19:50:26};
//-1114530点キター！ --  &new{2012-04-05 (木) 20:27:56};
//-とりあえず100万は行った --  &new{2012-04-06 (金) 15:41:08};
//-簡単 --  &new{2012-04-10 (火) 19:01:58};
//-難しいに限りなく近い曲だよな --  &new{2012-04-27 (金) 17:00:52};
//-↑3 --  &new{2012-04-29 (日) 17:08:29};
-曲名だけ見ると☆９に見えちゃうんだよなこれが。裏でも来てくれればなぁ。 --  &new{2012-05-04 (金) 20:14:52};
-TOYOTAのReBORNのCMの曲じゃなかったっけ?(石巻のやつ) --  &new{2012-06-08 (金) 21:18:07};
-↑　石巻編CMを60秒verと30秒ver共に見たが、確かにこの曲の原曲が使われていますね。 --  &new{2012-06-10 (日) 00:19:07};
-↑最初なんか聞いたことある曲だと思ったらパヴァーヌだった --  &new{2012-06-22 (金) 21:06:15};
//-連打数684が限界友達734なのに… --  &new{2012-07-24 (火) 18:02:31};
-音符密度のわりには〜の部分を削除 --  &new{2012-07-27 (金) 12:01:42};
-●●○ ○○と●●○ ●○だと思う。 --  &new{2012-07-30 (月) 14:23:12};
//-↑４　今ようつべで確認したら確かにそうだった。 --  &new{2012-08-09 (木) 15:55:15};
//-元曲好きだけどこれも好き --  &new{2012-08-10 (金) 09:59:58};
-なんで公式の譜面って、少しスカスカでも許せるんだろう…？いい譜面だよなあ… --  &new{2012-10-19 (金) 01:17:25};
//-やっと１１０万乗ったオレには１２０万無理 --  &new{2012-10-28 (日) 20:06:19};
//-ぽた寺に出る時から★5にしてもあんまり違和感はないんじゃないかなと思った --  &new{2012-11-19 (月) 17:46:03};
-裏はどのような譜面になるのか。 --  &new{2012-11-26 (月) 19:37:27};
-この曲に似たような曲があったような〜？ --  &new{2012-11-28 (水) 00:28:19};
-表は連打が多い。裏は連打が無い。これだけ見ると対照的。 --  &new{2012-11-28 (水) 10:28:33};
//-表裏共にやや単調な譜面 --  &new{2012-11-28 (水) 23:14:44};
//-この曲結構好き --  &new{2013-01-26 (土) 16:31:59};
-↑2白薔薇もそうだけど --  &new{2013-03-07 (木) 21:16:08};
//-↑８ 俺も１１０万乗ったがそっからがキツい --  &new{2013-04-03 (水) 12:43:25};
-これwii5で100万行くかな？ --  &new{2013-04-05 (金) 16:26:18};
//-パヴァーヌなんだパヴァームだと思ってた --  &new{2013-04-13 (土) 12:48:51};
//-よく歌詞を見ると泣きそうになる。追憶歌じゃないか。 --  &new{2013-04-21 (日) 12:52:24};
//-パヴァータって友達言ってる --  &new{2013-12-07 (土) 11:39:02};
//-ワラタ --  &new{2013-12-17 (火) 18:21:44};
//-110万には乗った(DX) --  &new{2013-12-27 (金) 16:27:47};
//-この曲名に似た楽曲のアレンジをだしてほしいなー --  &new{2014-01-18 (土) 16:04:13};
-3DS2収録おめ！ --  &new{2014-05-22 (木) 16:07:47};
//-３ＤＳに入るとか僕得 --  &new{2014-05-24 (土) 15:42:50};
//-この曲急に大好きになったんだけど --  &new{2014-07-03 (木) 23:32:23};
//-この曲初見フルコンした(３段の実力） --  &new{2014-09-29 (月) 18:02:32};
-約秒速５０、２以上でいける。 --  &new{2015-05-06 (水) 22:00:43};
-これラヴェルだったのか。 これだけ原曲が分からなかった。 --  &new{2015-06-06 (土) 01:33:14};
-表と裏で譜面画像の細かいBPMが違います。裏で136のところが表は135.9998・・・です --  &new{2015-09-26 (土) 13:35:20};
//-こういうコメントしたら消されるのは分かってるけど、昨日これフルコンした。今度は裏に挑戦しようと思う。 --  &new{2016-08-15 (月) 19:02:21};
//-フルコン取れた --  &new{2017-11-06 (月) 20:13:21};
//-スコア110000位いったけど何かね&#903;&#903;&#903;&#903;&#903;&#903;&#903;&#903;。 --  &new{2017-11-06 (月) 20:33:55};
-ps4収録決定 --  &new{2018-04-13 (金) 13:09:34};
-また表が壊れてる --  &new{2020-08-08 (土) 11:07:57};
