*隠し要素解禁条件 [#title]
[[Wii4の収録曲]]
|CENTER:||||||c
|解禁条件|ごほうび|h
|太鼓カウンターが40000になった|楽曲「[[Mulberry>難易度表/おに/Mulberry]]」|
|太鼓カウンターが42500になった|音色「ツッパリどん」|
|太鼓カウンターが45000になった|楽曲「[[季曲 〜Seasons of Asia〜>難易度表/おに/季曲 〜Seasons of Asia〜]]」|
|太鼓カウンターが50000になった|楽曲「[[伝説の祭り>難易度表/おに/伝説の祭り]]」|
|太鼓カウンターが52500になった|音色「よろいどん」|
|太鼓カウンターが55000になった|楽曲「[[風のなかに巣をくふ小鳥>難易度表/おに/風のなかに巣をくふ小鳥]]」|
|太鼓カウンターが60000になった|楽曲「[[ユウガオノキミ>難易度表/おに/ユウガオノキミ]]」|
|太鼓カウンターが65000になった|音色「よこづなどん」|
|太鼓カウンターが70000になった|楽曲「[[My Mine>難易度表/おに/My Mine]]」|
|太鼓カウンターが75000になった|音色「お姫さまどん」|
|太鼓カウンターが76500になった|楽曲「[[ヌムジカac.10>難易度表/おに/ヌムジカac.10]]」|
|~|楽曲「[[メカデス。>難易度表/おに/メカデス。]]」|
|太鼓カウンターが80000になった|楽曲「[[風雲！バチお先生>難易度表/おに/風雲！バチお先生]]」|
|~|音色「ティラノどん」|
|太鼓カウンターが87600になった|楽曲「[[夜桜謝肉祭>難易度表/おに/夜桜謝肉祭]]」|
|~|楽曲「[[きたさいたま2000>難易度表/おに/きたさいたま2000]]」|
|太鼓カウンターが90000になった|楽曲「[[天妖ノ舞>難易度表/おに/天妖ノ舞]]」|
|太鼓カウンターが95000になった|楽曲「[[またさいたま2000>難易度表/おに/またさいたま2000]]」|
|太鼓カウンターが99999になった|楽曲「[[練習曲Op.10-4　(裏)>難易度表/おに/練習曲Op.10-4(裏譜面)]]」|
|~|楽曲「[[白鳥の湖 〜still a duckling〜　(裏)>難易度表/おに/白鳥の湖〜still a duckling〜(裏譜面)]]」|
|~|楽曲「[[Ridge Racer　(裏)>難易度表/おに/Ridge Racer(裏譜面)]]」|
|~|楽曲「[[KAGEKIYO　(裏)>難易度表/おに/KAGEKIYO 源平討魔伝メドレー(裏譜面)]]」|
|~|楽曲「[[dance storm　(裏)>難易度表/おに/dance storm(裏譜面)]]」|
|~|楽曲「[[らいとにんぐ ぱっしょん　(裏)>難易度表/おに/らいとにんぐ ぱっしょん(裏譜面)]]」|
|~|楽曲「[[DON'T CUT　(裏)>難易度表/おに/DON'T CUT(裏譜面)]]」|
|~|楽曲「[[エンジェル ドリーム　(裏)>難易度表/おに/エンジェル ドリーム(裏譜面)]]」|
|~|楽曲「[[Rotter Tarmination　(裏)>難易度表/おに/Rotter Tarmination(裏譜面)]]」|
|~|楽曲「[[タイコタイム　(裏)>難易度表/おに/タイコタイム(裏譜面)]]」|
|~|楽曲「[[季曲 〜Seasons of Asia〜　(裏)>難易度表/おに/季曲 〜Seasons of Asia〜(裏譜面)]]」|
|~|楽曲「[[ヒカリノカナタヘ　(裏)>難易度表/おに/ヒカリノカナタヘ(裏譜面)]]」|
|~|楽曲「[[風雲！バチお先生　(裏)>難易度表/おに/風雲！バチお先生(裏譜面)]]」|
|~|楽曲「[[夜桜謝肉祭　(裏)>難易度表/おに/夜桜謝肉祭(裏譜面)]]」|
|~|楽曲「[[旋風ノ舞　(裏)>難易度表/おに/旋風ノ舞【天】]]」|
|~|楽曲「[[きたさいたま200>難易度表/おに/きたさいたま200]]」|
|演奏回数が30回|楽曲「[[画竜点睛>難易度表/おに/画竜点睛]]」|
|演奏回数が40回|楽曲「[[黒船来航>難易度表/おに/黒船来航]]」|
|演奏回数が50回|楽曲「[[百鬼夜行>難易度表/おに/百鬼夜行]]」|
|演奏回数が60回|楽曲「[[燎原ノ舞>難易度表/おに/燎原ノ舞]]」|
|~|おはなし「太鼓界いっくドーン」|
|演奏回数が70回|楽曲「[[恋文2000>難易度表/おに/恋文2000]]」|
|~|おはなし「フウガ君にミライちゃん」|
|演奏回数が80回|楽曲「[[EkiBEN2000>難易度表/おに/EkiBEN2000]]」|
|~|おはなし「演奏会は来週よ」|
|演奏回数が90回|楽曲「[[はたラク2000>難易度表/おに/はたラク2000]]」|
|~|おはなし「オレはアラシ」|
|演奏回数が100回|楽曲「[[はやさいたま2000>難易度表/おに/はやさいたま2000]]」|
|~|おはなし「へたくそ」|
|演奏回数が110回|おはなし「キホンってやつ」|
|演奏回数が120回|おはなし「ごめんね」|
|演奏回数が130回|おはなし「水あびはサイコーアラシのばか」|
|演奏回数が140回|おはなし「アラシのばか」|
|演奏回数が150回|楽曲「[[ももいろ♪太鼓パラダイス>難易度表/おに/ももいろ♪太鼓パラダイス]]」|
|演奏回数が200回|楽曲「[[万戈イム−一ノ十>難易度表/おに/万戈イム−一ノ十]]」|
|演奏回数が250回|楽曲「[[Blue Rose Ruin>難易度表/おに/Blue Rose Ruin]]」|
|演奏回数が300回|楽曲「[[〆ドレー2000>難易度表/おに/〆ドレー2000]]」|
|王冠100個ゲット|音色「炎太鼓」|
|王冠200個ゲット|音色「おいろけ」|
|演奏ゲームを難易度かんたんで20曲クリア|オプション「あべこべ」|
|演奏ゲームを難易度ふつうで20曲クリア|オプション「ドロン」|
|演奏ゲームを難易度むずかしいで20曲クリア|オプション「よんばい」|
|演奏ゲームを難易度おにで20曲クリア|オプション「かんぺき」|
|J-POP 演奏回数10回|音色「豪華な太鼓」|
|J-POP 演奏回数20回|音色「フウガ」|
|アニメ 演奏回数10回|音色「かけ声」|
|アニメ 演奏回数20回|音色「ミライ」|
|バラエティ 演奏回数10回|音色「超おなら」|
|バラエティ 演奏回数20回|音色「こだま」|
|クラシック 演奏回数10回|音色「手裏剣」|
|クラシック 演奏回数20回|音色「刀」|
|ゲームミュージック 演奏回数10回|音色「８ビットたいこ」|
|ゲームミュージック 演奏回数20回|音色「パックマン」|
|ナムコオリジナル 演奏回数10回|音色「大砲」|
|ナムコオリジナル 演奏回数20回|音色「アラシ」|
|全ジャンル 演奏回数1回|音色「風太鼓」|
|全ジャンル 演奏回数10回|音色「雷太鼓」|
|フウガとミライの太鼓教室 初起動後|おはなし「太鼓教室はじまるよ」|
|演奏ゲームを難易度むずかしいで10曲クリア|難易度「おに」|
----
**その他 [#other]
-きせかえは、条件をクリアしていくと増えていきます。
