|CENTER:BGCOLOR(#d0d8e0):¶ÊÌ¾|CENTER:BGCOLOR(#d04102):COLOR(#fff):''¤«¤ó¤¿¤ó''|CENTER:BGCOLOR(#83ae5a):COLOR(#fff):''¤Õ¤Ä¤¦''|CENTER:BGCOLOR(#167d7e):COLOR(#fff):''¤à¤º¤«¤·¤¤''|CENTER:BGCOLOR(#b04c5a):COLOR(#fff):''¤ª¤Ë''|
| ¥½¥¦¥ë¥­¥ã¥ê¥Ð¡¼­¶ |144|181|322|471|
| ËâË¡¤ò¤«¤±¤Æ¡ª |153|200|390|527|
| THE IDOLM@STER |158|225|395|555|
| ¥Ý¥¸¥Æ¥£¥Ö¡ª |164|219|428|562|
| CAPTAIN NEO |198|279|491|678|
| ±Æ¤ÎÅÁÀâ |141|149|374|551|
| DADDY MULK |221|323|656|777|
| KAGEKIYO |244|412|616|765|
| ¥É¥é¥´¥ó¥¹¥Ô¥ê¥Ã¥È¥á¥É¥ì¡¼ |197|368|671|671|
| ²èÎµÅÀâÍ |153|294|471|608 |
| ¿¿¡¦²èÎµÅÀâÍ |169|227|376|585|
| Rare Hero |250|399|573|765|
| ¥¯¥ì¡¼¥ó¥·¥Æ¥£ |183|303|519|594|
| L¡¦O¡¦V¡¦E |195|315|464|593|
| ÂçÂÇ²»|198|282|460|620|
| ¥¿¥Ù¥ë¥Ê2000 |227|358|640|821|
| ¤è¤¯¤Ç¤ë2000 |232|292|483|657|
| ¤µ¤¤¤¿¤Þ2000 |252|366|489|570|
| ÎøÊ¸2000 |300|400|666|777|
| ¥é¡¦¥â¥ì¡¼¥Ê¡¦¥¯¥â¥Ê¥¤ |180|267|459|613|
| ¤â¤¸¤Ô¤Ã¤¿¤ó¥á¥É¥ì¡¼ |201|261|338|487|
| ¥ï¥ó¥À¡¼¥â¥â¡¼¥¤ |196|283|436|550|
| ¶Á¤±¡ªÂÀ¸Ý¤ÎÃ£¿Í |134|166|274|567|
| ¥È¥Ã¥«¡¼¥¿¤È¥Õ¡¼¥¬¤È¥í¥Ã¥¯ |174|326|624|804|
| ÇòÄ»¤Î¸Ð¡¡¡Ástill a duckling¡Á |144|243|406|609|
| ¥¦¥£¥ê¥¢¥à¡¦¥Æ¥ë½ø¶Ê |140|276|433|437|
| Å·¹ñ¤ÈÃÏ¹ö¡¡½ø¶Ê |169|262|370|489|
| ¥«¥ë¥á¥óÁÈ¶Ê°ìÈÖ½ª¶Ê |147|262|388|518|
| ¹Ô¿Ê¶Ê¡Ö¤¯¤ë¤ß³ä¤ê¿Í·Á¡×¤«¤é |102|183|328|373|
| ¥¢¥¤¥Í¥¯¥é¥¤¥Í¥Ê¥Ï¥È¥à¥¸¡¼¥¯ |122|169|349|486|
| ¥¨¥ó¥¿¡¼¥Æ¥¤¥Ê¡¼ |124|164|341|471|
| ¥í¥·¥¢Ì±ÍØ¥á¥É¥ì¡¼ |122|169|332|468|
| ¤¤¤Ì¤Î¤ª¤Þ¤ï¤ê¤µ¤ó |82|104|220|328|
| ¤â¤ê¤Î¤¯¤Þ¤µ¤ó |97|107|197|197|
| ÀþÏ©¤ÏÂ³¤¯¤è¤É¤³¤Þ¤Ç¤â |99|128|344|456|
| ¥ß¥Ã¥­¡¼¥Þ¥¦¥¹¡¦¥Þ¡¼¥Á |132|213|282|496|
| ¥ä¥ó¥°¥Þ¥ó(Y.M.C.A.) |66|115|219|273|
| PECORI&#9829;NIGHT |115|190|295|407|
| Îø¤Î¥Þ¥¤¥¢¥Ò |101|146|251|368|
| ¥Þ¥Ä¥±¥ó¥µ¥ó¥Ð­¶ |123|183|282|385|
| µÈ½¡É¾È½µ­¡¡Ë½¤ì¤óË·¾­·³BGM |59|85|159|223|
| ÅÏ¤ëÀ¤´Ö¤Ïµ´¤Ð¤«¤ê ¥Æ¡¼¥Þ |108|151|279|414|
| ¥ë¥Ñ¥ó»°À¤¤Î¥Æ¡¼¥Þ'78 |106|161|304|324|
| ¥¿¥Ã¥Á |127|174|289|356|
| °¦¤ò¤È¤ê¤â¤É¤»!! |103|178|188|358|
| ¥ï¥¤¥ï¥¤¥ï¡¼¥ë¥É |87|136|249|336|
| CHA-LA HEAD-CHA-LA |90|135|246|320|
| °ìÎØ¤Î²Ö |89|117|281|446|
| ÇÈÉ÷¥µ¥Æ¥é¥¤¥È |101|138|194|285|
| ¥³¥³¥í¤Î¤Á¤º|119|183|273|306|
| Here I Am |94|115|305|355|
| ¥Ï¥Ã¥Ô¡¼¡ú¥Þ¥Æ¥ê¥¢¥ë |161|226|336|544|
| Growing of my heart |77|100|256|379|
| ·¯¤Ë¥¸¥å¡¼¥¹¤òÇã¤Ã¤Æ¤¢¤²¤ë&#9829; |64|115|275|464|
| ¥Ï¥àÂÀÏº¤È¤Ã¤È¤³¤¦¤¿ |94|150|296|401|
| ¥Ï¥°¤·¤Á¤ã¤ª |49|75|184|333|
| ¥É¥é¤¨¤â¤ó¤Î¤¦¤¿ |85|131|218|300|
| ¤Ë¤ó¤²¤ó¤Ã¤Æ¤¤¤¤¤Ê |60|102|212|267|
| ¥¢¥ó¥Ñ¥ó¥Þ¥ó¤Î¥Þ¡¼¥Á |93|191|390|400|
| ¥ª¥È¥á¥í¥Ç¥£¡¼ |1¿Í85¡¢2¿Í88|1¿Í110¡¢2¿Í114|308|496|
| ¥¦¥ë¥È¥é¥Þ¥ó¥Þ¥Ã¥¯¥¹ |40|74|160|277|
| ¤Þ¤«¤»¤Æ¡ú¥¹¥×¥é¥Ã¥·¥å¡ù¥¹¥¿¡¼¡ú |53|85|257|411|
