*隠し要素解禁条件 [#title]
[[PS Vita1の収録曲]]
----
**スタンプ帳 [#stamp]
|CENTER:||||||c
|No.|スタンプ名|条件|ごほうび|h
|46|ミクだいすき！|演奏ゲームで「[[千本桜>難易度表/おに/千本桜]]」をクリア(難易度不問)|きせかえ「初音ミク」|
|47|暗殺教室！|演奏ゲームで「[[青春サツバツ論>難易度表/おに/青春サツバツ論]]」をクリア(難易度不問)|きせかえ「殺せんせー」|
|48|GUMIだいすき！|演奏ゲームで「[[天ノ弱>難易度表/おに/天ノ弱]]」をクリア(難易度不問)|きせかえ「GUMI」|
|49|IAだいすき！|演奏ゲームで「[[六兆年と一夜物語>難易度表/おに/六兆年と一夜物語]]」をクリア(難易度不問)|きせかえ「IA」|
|50|幸子だいすき！|演奏ゲームで「[[千本桜 ver.小林幸子>難易度表/おに/千本桜 ver.小林幸子]]」をクリア(難易度不問)|きせかえ「さちさち」|
|51|裏譜面への道1|「[[ギミチョコ！！>難易度表/おに/ギミチョコ！！]]」を難易度おにでクリア|楽曲「[[ギミチョコ！！(裏)>難易度表/おに/ギミチョコ！！(裏譜面)]]」|
|52|裏譜面への道2|「[[Star!!>難易度表/おに/Star!!]]」を難易度おにでクリア|楽曲「[[Star!!(裏)>難易度表/おに/Star!!(裏譜面)]]」|
|53|裏譜面への道3|「[[残酷な天使のテーゼ>難易度表/おに/残酷な天使のテーゼ]]」を難易度おにでクリア|楽曲「[[残酷な天使のテーゼ(裏)>難易度表/おに/残酷な天使のテーゼ(裏譜面)]]」|
|54|裏譜面への道4|「[[聖槍爆裂ボーイ>難易度表/おに/聖槍爆裂ボーイ]]を難易度おにでクリア|楽曲「[[聖槍爆裂ボーイ(裏)>難易度表/おに/聖槍爆裂ボーイ(裏譜面)]]」|
|55|裏譜面への道5|「[[脳漿炸裂ガール>難易度表/おに/脳漿炸裂ガール]]を難易度おにでクリア|楽曲「[[脳漿炸裂ガール(裏)>難易度表/おに/脳漿炸裂ガール(裏譜面)]]」|
|56|裏譜面への道6|「[[千本桜>難易度表/おに/千本桜]]を難易度おにでクリア|楽曲「[[千本桜(裏)>難易度表/おに/千本桜(裏譜面)]]」|
|57|裏譜面への道7|「[[六兆年と一夜物語>難易度表/おに/六兆年と一夜物語]]」を難易度おにでクリア|楽曲「[[六兆年と一夜物語(裏)>難易度表/おに/六兆年と一夜物語(裏譜面)]]」|
|58|裏譜面への道8|「[[さちさちにしてあげる♪>難易度表/おに/さちさちにしてあげる♪]]」を難易度おにでクリア|楽曲「[[さちさちにしてあげる♪(裏)>難易度表/おに/さちさちにしてあげる♪(裏譜面)]]」|
|59|裏譜面への道9|「[[千本桜 ver.小林幸子>難易度表/おに/千本桜 ver.小林幸子]]」を難易度おにでクリア|楽曲「[[千本桜 ver.小林幸子(裏)>難易度表/おに/千本桜 ver.小林幸子(裏譜面)]]」|
|60|裏譜面への道10|「[[:やわらか戦車>難易度表/おに/やわらか戦車]]」を難易度おにでクリア|楽曲「[[やわらか戦車(裏)>難易度表/おに/やわらか戦車(裏譜面)]]」|
|61|裏譜面への道11|「[[白鳥の湖>難易度表/おに/白鳥の湖〜still a duckling〜]]」を難易度おにでクリア|楽曲「[[白鳥の湖(裏)>難易度表/おに/白鳥の湖〜still a duckling〜(裏譜面)]]」|
|62|裏譜面への道12|「[[Let's 貢献！〜恋の懲役は1,000,000年〜>難易度表/おに/Let's 貢献！〜恋の懲役は1,000,000年〜]]」を難易度おにでクリア|楽曲「[[Let's 貢献！〜恋の懲役は1,000,000年〜(裏)>難易度表/おに/Let's 貢献！〜恋の懲役は1,000,000年〜(裏譜面)]]」|
|63|裏譜面への道13|「[[Abyss of hell>難易度表/おに/Abyss of hell]]」を難易度おにでクリア|楽曲「[[Abyss of hell(裏)>難易度表/おに/Abyss of hell(裏譜面)]]」|
|64|裏譜面への道14|「[[BLAZING VORTEX>難易度表/おに/BLAZING VORTEX]]」を難易度おにでクリア|楽曲「[[BLAZING VORTEX(裏)>難易度表/おに/BLAZING VORTEX(裏譜面)]]」|
|65|裏譜面への道15|「[[Ridge Racer>難易度表/おに/Ridge Racer]]」を難易度おにでクリア|楽曲「[[Ridge Racer(裏)>難易度表/おに/Ridge Racer(裏譜面)]]」|
|66|裏譜面への道16|「[[冬竜 〜Toryu〜>難易度表/おに/冬竜 〜Toryu〜]]」を難易度おにでクリア|楽曲「[[冬竜 〜Toryu〜(裏)>難易度表/おに/冬竜 〜Toryu〜(裏譜面)]]」|
|67|裏譜面への道17|「[[Xa>難易度表/おに/Xa]]」を難易度おにでクリア|楽曲「[[Xa(裏)>難易度表/おに/Xa(裏譜面)]]」|
|68|裏譜面への入口|裏譜面を1曲以上クリア|なし|
|69|裏譜面の頂点|裏譜面を全曲クリア|なし|
|70|J-POP通|J-POP曲をすべてクリア|きせかえ「ギンガムチェック(いろ)」|
|71|バラエティ通|バラエティ曲をすべてクリア|音色「ソイヤ」|
|72|ナムオリ通|ナムコオリジナル曲をすべてクリア|音色「サッカー」|
|73|ゲームミュージック通|ゲームミュージック曲をすべてクリア|音色「野球」|
|74|クラシック通|クラシック曲をすべてクリア|きせかえ「タータンチェック(いろ)」|
|75|アニメ通|アニメ曲をすべてクリア|音色「おいろけ」|
|76|ボーカロイドTM曲通|ボーカロイドTM曲をすべてクリア|音色「おっかけ」|
|77|オールジャンル通|全ジャンルの通になった|音色「壁ドン」|
|78|ドンだークエスト始めました|ドンだークエストを開始した|きせかえ「桜(いろ)」|
|79|九級ドンだー|九級ドンだーになった|きせかえ「包帯(いろ)」|
|80|八級ドンだー|八級ドンだーになった|きせかえ「漢字(いろ)」|
|81|七級ドンだー|七級ドンだーになった|きせかえ「氷の結晶(いろ)」|
|82|六級ドンだー|六級ドンだーになった|きせかえ「牛柄(いろ)」|
|83|五級ドンだー|五級ドンだーになった|音色「コンガ」|
|84|四級ドンだー|四級ドンだーになった|音色「タンバリン」|
|85|三級ドンだー|三級ドンだーになった|音色「メイプル」|
|86|二級ドンだー|二級ドンだーになった|音色「リラ・ダ・ガンバ」|
|87|一級ドンだー|一級ドンだーになった|きせかえ「リラ・ダ・ガンバ」|
|88|初段ドンだー|初段ドンだーになった|きせかえ「メイプルライド」|
|89|VSアンヴィグール|アンヴィグールと演奏バトルをした|楽曲「[[がしゃどくろ>難易度表/おに/がしゃどくろ]]」|
|90|VSラフブレイカー|ラフブレイカーと演奏バトルをした|楽曲「[[チャーリー ダッシュ！>難易度表/おに/チャーリー ダッシュ！]]」|
|91|VS古代龍レヴォルシオン|古代龍レヴォルシオンと演奏バトルをした|なし|
|92|VS古代龍レヴォルシオン2|~|楽曲「[[Xa>難易度表/おに/Xa]]」|
|93|VSグラスバレーヌ|グラスバレーヌと演奏バトルをした|楽曲「[[D's Adventure Note>難易度表/おに/D's Adventure Note]]」|
|94|VSヴォルサウルス|ヴォルサウルスと演奏バトルをした|楽曲「[[女帝 〜インバラトゥーラ〜>難易度表/おに/女帝 〜インバラトゥーラ〜]]」|
|95|VSヴィオリア|ヴィオリアと演奏バトルをした|楽曲「[[絶望へのトッカータ」>難易度表/おに/絶望へのトッカータ]]((スタンプ帳では「絶望''の''トッカータ」と表記されているが誤植))|
|96|VSヴィオリア・ノイズ|ヴィオリア・ノイズと演奏バトルをした|楽曲「[[≠MM>難易度表/おに/≠MM]]」|
|97|VS小林幸子|小林幸子と演奏バトルをした|きせかえ「ラスボス小林幸子」|
|98|VS立つカツ|立つカツと演奏バトルをした|なし|
|99|VS立つドン|立つドンと演奏バトルをした|なし|
|100|VS立つドン&立つカツ|立つドン、立つカツと演奏バトルをした|なし|
|101|VS小林幸子2|小林幸子と演奏バトルをした|なし|
|102|二段ドンだー|二段ドンだーになった|なし|
|103|三段ドンだー|三段ドンだーになった|なし|
|104|四段ドンだー|四段ドンだーになった|なし|
|105|五段ドンだー|五段ドンだーになった|なし|
|106|六段ドンだー|六段ドンだーになった|なし|
|107|七段ドンだー|七段ドンだーになった|なし|
|108|八段ドンだー|八段ドンだーになった|なし|
|109|九段ドンだー|九段ドンだーになった|なし|
|110|十段ドンだー|十段ドンだーになった|なし|
|111|ドンだー神|ドンだー神になった|なし|
|112|カヴァティーナ村の救世主|ドンだークエストをクリアした|音色「ヴィオリア」|
|113|白き雪原の黒きモノ|雪原のノイズ落ちをクリアした|楽曲「[[女神な世界II>難易度表/おに/女神な世界II]]」|
|114|犬の戦い|犬のケンカ？をクリアした|楽曲「[[ノるどん2000>難易度表/おに/ノるどん2000]]」|
|115|試練への挑戦|試練の時間1をクリアした|なし|
|116|必殺太鼓|初めて必殺技音符を叩くをクリアした|きせかえ「花火(いろ)」|
|117|オンステージ|小林幸子のカードを使用する((必殺技-オンステージ、発動する必要あり))|音色「メカドン」|
|118|キズナミッション始めました|キズナミッションを初めてプレイした|なし|
|119|太鼓カウンター5000|太鼓カウンターが5000になった|きせかえ「めいさい(いろ)」|
|120|太鼓カウンター10000|太鼓カウンターが10000になった|きせかえ「ゼブラ(いろ)」|
|121|太鼓カウンター20000|太鼓カウンターが20000になった|きせかえ「ヒョウがら(いろ)」|
|122|太鼓カウンター40000|太鼓カウンターが40000になった|きせかえ「ひび割れ(いろ)」|
|123|太鼓カウンター60000|太鼓カウンターが60000になった|音色「バイオリン」|
|124|太鼓カウンター76500|太鼓カウンターが76500になった|音色「8ビット太鼓」|
|125|太鼓カウンター87600|太鼓カウンターが87600になった|音色「エレキギター」|
|126|太鼓カウンター10マン|太鼓カウンターが100000になった|きせかえ「ダンボール」|
|127|太鼓カウンター25マン|太鼓カウンターが250000になった|なし|
|128|太鼓カウンター50マン|太鼓カウンターが500000になった|なし|
|129|太鼓カウンターラッキー7|太鼓カウンターが777777になった|なし|
|130|太鼓カウンター90マン|太鼓カウンターが900000になった|なし|
|131|太鼓カウンター限界達成|太鼓カウンターが999999になった|なし|
|132|音色チェンジャー|ふつうの太鼓以外の音色で5回以上演奏した|きせかえ「どんかつhalf(いろ)」|
|133|一人十色|ふつうの太鼓以外の音色で10回以上演奏した|きせかえ「からくさもよう(いろ)」|
|134|ひとりオーケストラ|ふつうの太鼓以外の音色で20回以上演奏した|なし|
|135|きまわしの達人|あたま、からだを合わせて10個以上きせかえた|きせかえ「サイバー(いろ)」|
|136|ベストドレッサー|あたま、からだを合わせて20個以上きせかえた|きせかえ「KEEPOUT(いろ)」|
|137|オシャレばんちょう|あたま、からだを合わせて30個以上きせかえた|なし|
|138|スタンプ帳の達人|スタンプ帳ですべてのお題を達成した|なし|
