[[難易度表/おに/めたるぽりす(裏譜面)]]

-面533 縁232 --  &new{2011-11-04 (金) 17:08:25};
//-全良できません！！！！ --  &new{2017-06-24 (土) 00:18:24};
//-↑ゴーゴー？ --  &new{2017-10-09 (月) 11:49:37};
-配置は単純だけど変拍子に慣れてないと精度が悪くなりがち --  &new{2018-01-04 (木) 10:59:46};
//-タコタコと比べたら密度は高いけど、タコタコは連打あり、休憩地帯あり、めたるぽりすより遅い、というのに密度がほぼ変わらないという不思議 --  &new{2018-01-27 (土) 15:41:44};
-表よりも簡単だと思う。 --  &new{2018-03-23 (金) 12:42:17};
//-某動画で「言うことがない」ってコメントされてて少しかわいそうだった --  &new{2018-04-23 (月) 21:20:34};
-表譜面の方が200コンボ近く少ないのに表と難易度の意見が分かれる曲が他にあっただろうか --  &new{2018-04-23 (月) 21:58:51};
-何気にナムコンボでは最高密度 --  &new{2018-07-08 (日) 14:54:03};
-新しい光 もうプレイできないから消した方が良いのでは? --  &new{2018-09-15 (土) 20:28:47};
-↑3　140コンボくらいの差ではありますがらんぶる乱舞があります。 --  &new{2018-09-15 (土) 22:03:25};
-裏譜面の方が簡単だと思う頃にはこの譜面をやりこみまくった頃かな。表よりも真打でスコア高かったら間違いない。 --  &new{2019-02-25 (月) 20:55:40};
-表よりも譜面が単純で叩きやすいから、あとは体力があるかですね。 --  &new{2019-03-20 (水) 09:34:09};
-全良難易度は★×10あるな --  &new{2019-04-30 (火) 20:23:17};
-個人差だからなんとも言えないけど表と比べて変な配置も無いから全良だけで見たら☆9でも簡単な方では --  &new{2019-05-24 (金) 00:06:18};
-同意。表の法が難しく感じる。 --  &new{2019-05-24 (金) 09:06:19};
-クリアですら★9中堅くらいはあるから全良は絶対★10だと思ったけどそういうわけではないのか --  &new{2019-05-24 (金) 22:41:57};
-六段1曲目にこれ予想する人いなくね？ --  &new{2020-06-17 (水) 20:18:58};
-↑八〜九段ならあり得た。ワサビは八段で行けそう。ちなみに今戦車裏を出すなら闇の魔枠か、十段のダークホースしかない。 --  &new{2020-06-17 (水) 20:31:38};
-六段一曲目は強すぎるかな --  &new{2020-06-20 (土) 17:47:28};
-表なら6段 --  &new{2020-07-29 (水) 14:00:12};
//-多重で可0不可1で全良逃した --  &new{2021-04-14 (水) 11:24:25};
-恋とこれとVenomousしか知らない、表より複合易クリア易フルコン易全良易の譜面。 --  &new{2021-04-19 (月) 19:33:13};
-速さ無視して譜面だけ見れば多分太鼓の達人で一番休憩が無い気がする --  &new{2021-08-27 (金) 11:35:46};
-数ある765コンボの曲で一番平均密度が高い(2位は多分ミンティア) --  &new{2021-09-13 (月) 13:59:08};
-6段3曲目 --  &new{2022-06-04 (土) 07:04:42};
-表と裏が同一の段位に入るのは華蕾夢ミル狂詩曲以来、2曲目 --  &new{2022-06-04 (土) 08:11:34};
-交互の途中に一時的にバーナスで逆手配置を処理させる攻略法は推奨 --  &new{2022-06-04 (土) 08:26:28};
-いやーー来たかぁー --  &new{2022-06-04 (土) 08:51:30};
-表と合わせて、歴代六段全演奏位置コンプリート達成。 --  &new{2022-06-04 (土) 10:14:04};
-モモイロ五段以来の出番だな --  &new{2022-06-04 (土) 12:46:03};
-表譜面も裏譜面も段位に2回採用された事になるのか --  &new{2022-06-05 (日) 15:33:42};
