[[PS4 1の収録曲]]

|CENTER:称号|CENTER:獲得条件|CENTER:備考|h
|日々是限界|アイテム玉手箱||
|連打マシマシ・不可スクナメ|アイテム玉手箱||
|毎日が日曜日|アイテム玉手箱||
|初音ミク大好き|||
|ドラえもん大好き|||
|お誕生日はじめました|太鼓ランクマッチイベント「どんかつ お誕生日フェス」FP1獲得|期間限定|
|どんかつ お誕生日フェスの達人|太鼓ランクマッチイベント「どんかつ お誕生日フェス」FP999獲得|期間限定|
|ゆくどん☆くるどん|太鼓ランクマッチイベント「ゆくどん☆くるどん♪ たたき初めフェス」FP1獲得|期間限定|
|たたき初めフェスの達人|太鼓ランクマッチイベント「ゆくどん☆くるどん♪ たたき初めフェス」FP999獲得|期間限定|
|達人 ザ・ワールド|太鼓ランクマッチイベント「ワールド太鼓フェス」FP999獲得|期間限定|
|月下の達人祭はじめました|太鼓ランクマッチイベント「月下の達人祭」FP1獲得|期間限定|
|月下の達人|太鼓ランクマッチイベント「月下の達人祭」FP999獲得|期間限定|
|夏フェスはじめました|太鼓ランクマッチイベント「夏フェス」FP1獲得|期間限定|
|夏フェスの達人|太鼓ランクマッチイベント「夏フェス」FP999獲得|期間限定|
|春祭りはじめました|太鼓ランクマッチイベント「春祭り」FP1獲得|期間限定|
|春祭りの達人|太鼓ランクマッチイベント「春祭り」FP999獲得|期間限定|
|「前前前世」大好き|楽曲「[[前前前世>難易度表/おに/前前前世]]」ミッションビンゴコンプリート||
|「ロードムービー」大好き|楽曲「[[ロードムービー>難易度表/おに/ロードムービー]]」ミッションビンゴコンプリート||
|「明日も」大好き|楽曲「[[明日も>難易度表/おに/明日も]]」ミッションビンゴコンプリート||
|「LOSER」大好き|楽曲「[[LOSER>難易度表/おに/LOSER]]」ミッションビンゴコンプリート||
|「海の声」大好き|楽曲「[[海の声>難易度表/おに/海の声]]」ミッションビンゴコンプリート||
|「シュガーソングとビターステップ」大好き|楽曲「[[シュガーソングとビターステップ>難易度表/おに/シュガーソングとビターステップ]]」ミッションビンゴコンプリート||
|「ひまわりの約束」大好き|楽曲「[[ひまわりの約束>難易度表/おに/ひまわりの約束]]」ミッションビンゴコンプリート||
|「ギミチョコ！！」大好き|楽曲「[[ギミチョコ！！>難易度表/おに/ギミチョコ！！]]」ミッションビンゴコンプリート||
|「RPG」大好き|楽曲「[[RPG>難易度表/おに/RPG]]」ミッションビンゴコンプリート||
|「にんじゃりばんばん」大好き|楽曲「[[にんじゃりばんばん>難易度表/おに/にんじゃりばんばん]]」ミッションビンゴコンプリート||
|「女々しくて」大好き|楽曲「[[女々しくて>難易度表/おに/女々しくて]]」ミッションビンゴコンプリート||
|「恋音と雨空」大好き|楽曲「[[恋音と雨空>難易度表/おに/恋音と雨空]]」ミッションビンゴコンプリート||
|「キセキ」大好き|楽曲「[[キセキ>難易度表/おに/キセキ]]」ミッションビンゴコンプリート||
|「イケナイ太陽」大好き|楽曲「[[イケナイ太陽>難易度表/おに/イケナイ太陽]]」ミッションビンゴコンプリート||
|「さくらんぼ」大好き|楽曲「[[さくらんぼ>難易度表/おに/さくらんぼ]]」ミッションビンゴコンプリート||
|「リンダリンダ」大好き|楽曲「[[リンダリンダ>難易度表/おに/リンダリンダ]]」ミッションビンゴコンプリート||
|「夏祭り」大好き|楽曲「[[夏祭り>難易度表/おに/夏祭り]]」ミッションビンゴコンプリート||
|「天体観測」大好き|楽曲「[[天体観測>難易度表/おに/天体観測]]」ミッションビンゴコンプリート||
|「紅」大好き|楽曲「[[紅>難易度表/おに/紅]]」ミッションビンゴコンプリート||
|「アポロ」大好き|楽曲「[[アポロ>難易度表/おに/アポロ]]」ミッションビンゴコンプリート||
|「夢をかなえてドラえもん」大好き|楽曲「[[夢をかなえてドラえもん>難易度表/おに/夢をかなえてドラえもん]]」ミッションビンゴコンプリート||
|「となりのトトロ」大好き|楽曲「[[となりのトトロ>難易度表/おに/となりのトトロ]]」ミッションビンゴコンプリート||
|「Let It Go〜ありのままで〜」大好き|楽曲「[[Let It Go〜ありのままで〜>難易度表/おに/Let It Go〜ありのままで〜]]」ミッションビンゴコンプリート||
|「トライ・エヴリシング」大好き|楽曲「[[トライ・エヴリシング>難易度表/おに/トライ・エヴリシング]]」ミッションビンゴコンプリート||
|「限界突破×サバイバー」大好き|楽曲「[[限界突破×サバイバー>難易度表/おに/限界突破×サバイバー]]」ミッションビンゴコンプリート||
|「全力バタンキュー」大好き|楽曲「[[全力バタンキュー>難易度表/おに/全力バタンキュー]]」ミッションビンゴコンプリート||
|「紅蓮の弓矢」大好き|楽曲「[[紅蓮の弓矢>難易度表/おに/紅蓮の弓矢]]」ミッションビンゴコンプリート||
|「ウィーアー！」大好き|楽曲「[[ウィーアー！>難易度表/おに/ウィーアー！(初代)]]」ミッションビンゴコンプリート||
|「残酷な天使のテーゼ」大好き|楽曲「[[残酷な天使のテーゼ>難易度表/おに/残酷な天使のテーゼ]]」ミッションビンゴコンプリート||
|「ようこそジャパリパークへ」大好き|楽曲「[[ようこそジャパリパークへ>難易度表/おに/ようこそジャパリパークへ]]」ミッションビンゴコンプリート||
|「ゴーストルール」大好き|楽曲「[[ゴーストルール>難易度表/おに/ゴーストルール]]」ミッションビンゴコンプリート||
|「エイリアンエイリアン」大好き|楽曲「[[エイリアンエイリアン>難易度表/おに/エイリアンエイリアン]]」ミッションビンゴコンプリート||
|「ロストワンの号哭」大好き|楽曲「[[ロストワンの号哭>難易度表/おに/ロストワンの号哭]]」ミッションビンゴコンプリート||
|「六兆年と一夜物語」大好き|楽曲「[[六兆年と一夜物語>難易度表/おに/六兆年と一夜物語]]」ミッションビンゴコンプリート||
|「ハローキティ」大好き|楽曲「[[ハローキティ>難易度表/おに/ハローキティ]]」ミッションビンゴコンプリート||
|「PPAP」大好き|楽曲「[[ペンパイナッポーアッポーペン(PPAP)>難易度表/おに/ペンパイナッポーアッポーペン(PPAP)]]」ミッションビンゴコンプリート||
|「ナイト・オブ・ナイツ」大好き|楽曲「[[ナイト・オブ・ナイツ>難易度表/おに/ナイト・オブ・ナイツ]]」ミッションビンゴコンプリート||
|「最終鬼畜妹フランドール・S」大好き|楽曲「[[最終鬼畜妹フランドール・S>難易度表/おに/最終鬼畜妹フランドール・S]]」ミッションビンゴコンプリート||
|「チルノのパーフェクトさんすう教室」大好き|楽曲「[[チルノのパーフェクトさんすう教室>難易度表/おに/チルノのパーフェクトさんすう教室]]」ミッションビンゴコンプリート||
|第六感を信じろ！|楽曲「[[ハンロック>難易度表/おに/ハンロック]]」ミッションビンゴコンプリート||
|情熱の連打！|楽曲「[[カルメン組曲一番終曲>難易度表/おに/カルメン組曲一番終曲]]」ミッションビンゴコンプリート||
|精度の極み！|楽曲「[[ウィリアム・テル序曲>難易度表/おに/ウィリアム・テル序曲]]」ミッションビンゴコンプリート||
|勝てば天国　負ければ地獄|楽曲「[[天国と地獄 序曲>難易度表/おに/天国と地獄 序曲]]」ミッションビンゴコンプリート||
|オレの太鼓はロックだぜ！|楽曲「[[クラシックメドレー（ロック編）>難易度表/おに/クラシックメドレー(ロック編)]]」ミッションビンゴコンプリート||
|「Theme of Ryu」大好き|楽曲「[[Theme of Ryu>難易度表/おに/Theme of Ryu]]」ミッションビンゴコンプリート||
|三島流喧嘩空手|楽曲「[[Heat Haze Shadow 2>難易度表/おに/Heat Haze Shadow 2]]」ミッションビンゴコンプリート||
|災鍋の顕主|楽曲「[[テイルズ オブ ベルセリア メドレー>難易度表/おに/テイルズ オブ ベルセリア メドレー]]」ミッションビンゴコンプリート||
|レジェンド346プロデューサー|楽曲「[[お願い！シンデレラ>難易度表/おに/お願い！シンデレラ]]」ミッションビンゴコンプリート||
|レジェンド765プロデューサー|楽曲「[[Brand New Theater!>難易度表/おに/Brand New Theater!]]」ミッションビンゴコンプリート||
|ドライブ行こうぜ！|楽曲「[[Urban Striker>難易度表/おに/Urban Striker]]」ミッションビンゴコンプリート||
|パックマン大好き|楽曲「[[EAT'EM UP!>難易度表/おに/EAT'EM UP!]]」ミッションビンゴコンプリート||
|これで勝ったと思うなよ！|楽曲「[[KAGEKIYO>難易度表/おに/KAGEKIYO 源平討魔伝メドレー]]」ミッションビンゴコンプリート||
|ココロトキメキ★|楽曲「[[つながれ！ひろがれ！打ち上がれ！>難易度表/おに/つながれ！ひろがれ！打ち上がれ！]]」ミッションビンゴコンプリート||
|簡単に越えた長いハイステージ|楽曲「[[トラストゲーム>難易度表/おに/トラストゲーム]]」ミッションビンゴコンプリート||
|初めての味|楽曲「[[マジカル・パフェ>難易度表/おに/マジカル・パフェ]]」ミッションビンゴコンプリート||
|最果てに舞う蝶|楽曲「[[三瀬川乱舞>難易度表/おに/三瀬川乱舞]]」ミッションビンゴコンプリート||
|そつおめ！|楽曲「[[そつおめしき・ふる>難易度表/おに/そつおめしき・ふる]]」ミッションビンゴコンプリート||
|無重力遊泳|楽曲「[[No Gravity>難易度表/おに/No Gravity]]」ミッションビンゴコンプリート||
|勝利の女神|楽曲「[[VICTORIA>難易度表/おに/VICTORIA]]」ミッションビンゴコンプリート||
|天狗の集会|楽曲「[[天狗囃子>難易度表/おに/天狗囃子]]」ミッションビンゴコンプリート||
|時空を越えた旅人|楽曲「[[タイムトラベラー>難易度表/おに/タイムトラベラー]]」ミッションビンゴコンプリート||
|高天原の戦い|楽曲「[[黄泉のイザナミ>難易度表/おに/黄泉のイザナミ]]」ミッションビンゴコンプリート||
|ともに響かせよう|楽曲「[[東京ソーダ 8Bit Edit>難易度表/おに/東京ソーダ 8Bit Edit]]」ミッションビンゴコンプリート||
|記憶の中の君|楽曲「[[夢幻の蒼空>難易度表/おに/夢幻の蒼空]]」ミッションビンゴコンプリート||
|みんなの太鼓、サイコー！|楽曲「[[合唱スタボーフェ！>難易度表/おに/合唱スタボーフェ！]]」ミッションビンゴコンプリート||
|共に描いた夢|楽曲「[[Fly away>難易度表/おに/Fly away]]」ミッションビンゴコンプリート||
|五穀豊穣|楽曲「[[豊穣弥生>難易度表/おに/豊穣弥生]]」ミッションビンゴコンプリート||
|未来へ飛び出そう！|楽曲「[[エンジェル ドリーム>難易度表/おに/エンジェル ドリーム]]」ミッションビンゴコンプリート||
|アサキユメミシ|楽曲「[[ユウガオノキミ>難易度表/おに/ユウガオノキミ]]」ミッションビンゴコンプリート||
|桜吹雪浴|楽曲「[[桜花爛漫>難易度表/おに/桜花爛漫]]」ミッションビンゴコンプリート||
|もう一度叩かせて！|楽曲「[[Red Rose Evangel>難易度表/おに/Red Rose Evangel]]」ミッションビンゴコンプリート||
|ハッピーハロイン！|楽曲「[[毒LOCANdy&#9825;>難易度表/おに/毒LOCANdy]]」ミッションビンゴコンプリート||
|あなた好みの太鼓になります|楽曲「[[さいたま2000>難易度表/おに/さいたま2000]]」ミッションビンゴコンプリート||
|うたた寝の悲劇|楽曲「[[まださいたま2000>難易度表/おに/まださいたま2000]]」ミッションビンゴコンプリート||
|復讐の獣|楽曲「[[竜と黒炎の姫君>難易度表/おに/竜と黒炎の姫君]]」ミッションビンゴコンプリート||
|「バーニングフォース」大好き|楽曲「[[バーニングフォースメドレー>難易度表/おに/バーニングフォースメドレー]]」ミッションビンゴコンプリート||
|「ドラゴンスピリット」大好き|楽曲「[[ドラゴンスピリットメドレー>難易度表/おに/ドラゴンスピリットメドレー]]」ミッションビンゴコンプリート||
|「マッピー」大好き|楽曲「[[マッピーメドレー>難易度表/おに/マッピーメドレー]]」ミッションビンゴコンプリート||
|「ドルアーガの塔」大好き|楽曲「[[ドルアーガの塔メドレー>難易度表/おに/ドルアーガの塔メドレー]]」ミッションビンゴコンプリート||
|「もじぴったん」大好き|楽曲「[[もじぴったんメドレー>難易度表/おに/もじぴったんメドレー]]」ミッションビンゴコンプリート||
|レトロゲー大好き|楽曲「[[太鼓のマーチ>難易度表/おに/太鼓のマーチ]]」ミッションビンゴコンプリート||
|「バベルの塔」大好き|楽曲「[[バベルの塔>難易度表/おに/バベルの塔]]」ミッションビンゴコンプリート||
|「Saika」大好き|楽曲「[[Saika>難易度表/おに/Saika]]」ミッションビンゴコンプリート||
|「Infinite Rebellion」大好き|楽曲「[[Infinite Rebellion>難易度表/おに/Infinite Rebellion]]」ミッションビンゴコンプリート||
|「懐中庭園を持つ少女」大好き|楽曲「[[懐中庭園を持つ少女>難易度表/おに/懐中庭園を持つ少女]]」ミッションビンゴコンプリート||
|「ガンスリンガーシンデレラ」大好き|楽曲「[[ガンスリンガーシンデレラ>難易度表/おに/ガンスリンガーシンデレラ]]」ミッションビンゴコンプリート||
|「ドキドキ胸きゅん おまつりタイム」大好き|楽曲「[[ドキドキ胸きゅん おまつりタイム>難易度表/おに/ドキドキ胸きゅん おまつりタイム]]」ミッションビンゴコンプリート||
|「パステル ドリーム」大好き|楽曲「[[パステル ドリーム>難易度表/おに/パステル ドリーム]]」ミッションビンゴコンプリート||
|「幽玄ノ乱」大好き|楽曲「[[幽玄ノ乱>難易度表/おに/幽玄ノ乱]]」ミッションビンゴコンプリート||
|「コナモノ☆」大好き|楽曲「[[コナモノ☆>難易度表/おに/コナモノ☆]]」ミッションビンゴコンプリート||
|「χ談」大好き|楽曲「[[χ談>難易度表/おに/χ談]]」ミッションビンゴコンプリート||
|「UNDEAD HEART(怒りのWarriors)」大好き|楽曲「[[UNDEAD HEART(怒りのWarriors)>難易度表/おに/UNDEAD HEART(怒りのWarriors)]]」ミッションビンゴコンプリート||
|高天原の生徒|楽曲「[[私立高天原学園高校・校歌>難易度表/おに/私立高天原学園高校・校歌]]」ミッションビンゴコンプリート||
|「闇の魔法少女」大好き|楽曲「[[闇の魔法少女>難易度表/おに/闇の魔法少女]]」ミッションビンゴコンプリート||
|「オリジナルミライ」大好き|楽曲「[[オリジナルミライ>難易度表/おに/オリジナルミライ]]」ミッションビンゴコンプリート||
|「夢と現実の境界線」大好き|楽曲「[[夢と現実の境界線>難易度表/おに/夢と現実の境界線]]」ミッションビンゴコンプリート||
|「My Muscle Heart」大好き|楽曲「[[My Muscle Heart>難易度表/おに/My Muscle Heart]]」ミッションビンゴコンプリート||
|「!!!カオスタイム!!!」大好き|楽曲「[[!!!カオスタイム!!!>難易度表/おに/!!!カオスタイム!!!]]」ミッションビンゴコンプリート||
|「双竜ノ乱」大好き|楽曲「[[双竜ノ乱>難易度表/おに/双竜ノ乱]]」ミッションビンゴコンプリート||
|「千本桜」大好き|楽曲「[[千本桜>難易度表/おに/千本桜]]」ミッションビンゴコンプリート||
|「みくみくにしてあげる♪【してやんよ】」大好き|楽曲「[[みくみくにしてあげる♪【してやんよ】>難易度表/おに/みくみくにしてあげる♪【してやんよ】]]」ミッションビンゴコンプリート||
|「初音ミクの消失‐劇場版‐」大好き|楽曲「[[初音ミクの消失‐劇場版‐>難易度表/おに/初音ミクの消失‐劇場版‐]]」ミッションビンゴコンプリート||
|「恋」大好き|楽曲「[[恋>難易度表/おに/恋]]」ミッションビンゴコンプリート||
|「サイレントマジョリティー」大好き|楽曲「[[サイレントマジョリティー>難易度表/おに/サイレントマジョリティー]]」ミッションビンゴコンプリート||
|「Be The One」大好き|楽曲「[[Be The One>難易度表/おに/Be The One]]」ミッションビンゴコンプリート||
|「音虫をつかまえろ！」大好き|楽曲「[[音虫をつかまえろ！>難易度表/おに/音虫をつかまえろ！]]」ミッションビンゴコンプリート||
|「忘却のティルナノグ」大好き|楽曲「[[忘却のティルナノグ>難易度表/おに/忘却のティルナノグ]]」ミッションビンゴコンプリート||
|「さよならワーリャ」大好き|楽曲「[[さよならワーリャ>難易度表/おに/さよならワーリャ]]」ミッションビンゴコンプリート||
|「承認欲Q」大好き|楽曲「[[承認欲Q>難易度表/おに/承認欲Q]]」ミッションビンゴコンプリート||
|「D's Adventure Note」大好き|楽曲「[[D's Adventure Note>難易度表/おに/D's Adventure Note]]」ミッションビンゴコンプリート||
|「コロコロコミック40周年のうた」大好き|楽曲「[[コロコロコミック40周年のうた>難易度表/おに/コロコロコミック40周年のうた]]」ミッションビンゴコンプリート||
|「流浪の琥珀姫」大好き|楽曲「[[流浪の琥珀姫>難易度表/おに/流浪の琥珀姫]]」ミッションビンゴコンプリート||
|「月読命」大好き|楽曲「[[月読命>難易度表/おに/月読命]]」ミッションビンゴコンプリート||
|「激運！七福ハッピークルー」大好き|楽曲「[[激運！七福ハッピークルー>難易度表/おに/激運！七福ハッピークルー]]」ミッションビンゴコンプリート||
|「8OROCHI」大好き|楽曲「[[8OROCHI>難易度表/おに/8OROCHI]]」ミッションビンゴコンプリート||
|「ほうかご☆マジシャン」大好き|楽曲「[[ほうかご☆マジシャン>難易度表/おに/ほうかご☆マジシャン]]」ミッションビンゴコンプリート||
|「トンガチン」大好き|楽曲「[[トンガチン>難易度表/おに/トンガチン]]」ミッションビンゴコンプリート||
|「Turquoise Tachometer」大好き|楽曲「[[Turquoise Tachometer>難易度表/おに/Turquoise Tachometer]]」ミッションビンゴコンプリート||
|「Gloria」大好き|楽曲「[[Gloria>難易度表/おに/Gloria]]」ミッションビンゴコンプリート||
|「オール・イン・マイハート」大好き|楽曲「[[オール・イン・マイハート>難易度表/おに/オール・イン・マイハート]]」ミッションビンゴコンプリート||
|「DON'T CUT」大好き|楽曲「[[DON'T CUT>難易度表/おに/DON'T CUT]]」ミッションビンゴコンプリート||
|「さくら（春）」大好き|楽曲「[[さくら（春）>難易度表/おに/さくら（春）]]」ミッションビンゴコンプリート||
|「Taiko Drum Monster」大好き|楽曲「[[Taiko Drum Monster>難易度表/おに/Taiko Drum Monster]]」ミッションビンゴコンプリート||
|「やわらか戦車」大好き|楽曲「[[やわらか戦車>難易度表/おに/やわらか戦車]]」ミッションビンゴコンプリート||
|「亡き王女のためのパヴァーヌ」大好き|楽曲「[[亡き王女のためのパヴァーヌ>難易度表/おに/亡き王女のためのパヴァーヌ]]」ミッションビンゴコンプリート||
|「SAKURA EXHAUST」大好き|楽曲「[[SAKURA EXHAUST>難易度表/おに/SAKURA EXHAUST]]」ミッションビンゴコンプリート||
|「Blue Rose Ruin」大好き|楽曲「[[Blue Rose Ruin>難易度表/おに/Blue Rose Ruin]]」ミッションビンゴコンプリート||
|「春竜 〜Haryu〜」大好き|楽曲「[[春竜 〜Haryu〜>難易度表/おに/春竜 〜Haryu〜]]」ミッションビンゴコンプリート||
|「ネクロファンタジア 〜 Arr.Demetori」大好き|楽曲「[[ネクロファンタジア 〜 Arr.Demetori>難易度表/おに/ネクロファンタジア 〜 Arr.Demetori]]」ミッションビンゴコンプリート||
|「New World」大好き|楽曲「[[New World>難易度表/おに/New World]]」ミッションビンゴコンプリート||
|「HARDCOREノ心得」大好き|楽曲「[[HARDCOREノ心得>難易度表/おに/HARDCOREノ心得]]」ミッションビンゴコンプリート||
|「クルクルクロックル」大好き|楽曲「[[クルクルクロックル>難易度表/おに/クルクルクロックル]]」ミッションビンゴコンプリート||
|「Black Rose Apostle」大好き|楽曲「[[Black Rose Apostle>難易度表/おに/Black Rose Apostle]]」ミッションビンゴコンプリート||
|「crossing field」大好き|楽曲「[[crossing field>難易度表/おに/crossing field]]」ミッションビンゴコンプリート||
|「弩蚊怒夏」大好き|楽曲「[[弩蚊怒夏>難易度表/おに/弩蚊怒夏]]」ミッションビンゴコンプリート||
|「天照」大好き|楽曲「[[天照>難易度表/おに/天照]]」ミッションビンゴコンプリート||
|「喫茶レイン」大好き|楽曲「[[喫茶レイン>難易度表/おに/喫茶レイン]]」ミッションビンゴコンプリート||
|「夏竜 〜Karyu〜」大好き|楽曲「[[夏竜 〜Karyu〜>難易度表/おに/夏竜 〜Karyu〜]]」ミッションビンゴコンプリート||
|「おはよう！太鼓サマー」大好き|楽曲「[[おはよう!太鼓サマー>難易度表/おに/おはよう！太鼓サマー]]」ミッションビンゴコンプリート||
|「キルミーのベイベー！」大好き|楽曲「[[キルミーのベイベー!>難易度表/おに/キルミーのベイベー！]]」ミッションビンゴコンプリート||
|「サーフサイド・サティ」大好き|楽曲「[[サーフサイド・サティ>難易度表/おに/サーフサイド・サティ]]」ミッションビンゴコンプリート||
|「Freeway3234」大好き|楽曲「[[Freeway3234>難易度表/おに/Freeway3234]]」ミッションビンゴコンプリート||
|「Ignis Danse」大好き|楽曲「[[Ignis Danse>難易度表/おに/Ignis Danse]]」ミッションビンゴコンプリート||
|「太鼓侍」大好き|楽曲「[[太鼓侍>難易度表/おに/太鼓侍]]」ミッションビンゴコンプリート||
|「コネクト」大好き|楽曲「[[コネクト>難易度表/おに/コネクト]]」ミッションビンゴコンプリート||
|「愛と浄罪の森」大好き|楽曲「[[愛と浄罪の森>難易度表/おに/愛と浄罪の森]]」ミッションビンゴコンプリート||
|「White Rose Insanity」大好き|楽曲「[[White Rose Insanity>難易度表/おに/White Rose Insanity]]」ミッションビンゴコンプリート||
|「秋竜 〜Shiuryu〜」大好き|楽曲「[[秋竜〜Shiuryu〜>難易度表/おに/秋竜 〜Shiuryu〜]]」ミッションビンゴコンプリート||
|「東京特許キョ許可局局長!!」大好き|楽曲「[[東京特許キョ許可局局長!!>難易度表/おに/東京特許キョ許可局局長!!]]」ミッションビンゴコンプリート||
|「崩冠の紅月」大好き|楽曲「[[崩冠の紅月>難易度表/おに/崩冠の紅月 破章「嘆きの姫」]]」ミッションビンゴコンプリート||
|「Don't say "lazy"」大好き|楽曲「[[Don't say "lazy">難易度表/おに/Don't say ”lazy”]]」ミッションビンゴコンプリート||
|「Doom Noiz」大好き|楽曲「[[Doom Noiz>難易度表/おに/Doom Noiz]]」ミッションビンゴコンプリート||
|「Purple Rose Fusion」大好き|楽曲「[[Purple Rose Fusion>難易度表/おに/Purple Rose Fusion]]」ミッションビンゴコンプリート||
|「燎原ノ舞」大好き|楽曲「[[燎原ノ舞>難易度表/おに/燎原ノ舞]]」ミッションビンゴコンプリート||
|「冬竜 〜Toryu〜」大好き|楽曲「[[冬竜 〜Toryu〜>難易度表/おに/冬竜 〜Toryu〜]]」ミッションビンゴコンプリート||
|「ダンガンノーツ」大好き|楽曲「[[ダンガンノーツ>難易度表/おに/ダンガンノーツ]]」ミッションビンゴコンプリート||
|「郢曲／暁闇」大好き|楽曲「[[郢曲／暁闇>難易度表/おに/郢曲／暁闇]]」ミッションビンゴコンプリート||
|「ラプソディ・イン・ブルー」大好き|楽曲「[[ラプソディ・イン・ブルー>難易度表/おに/ラプソディ・イン・ブルー]]」ミッションビンゴコンプリート||
|「Next Life」大好き|楽曲「[[Next Life>難易度表/おに/Next Life]]」ミッションビンゴコンプリート||
|「via lactea」大好き|楽曲「[[via lactea>難易度表/おに/via lactea]]」ミッションビンゴコンプリート||
|「須佐之男」大好き|楽曲「[[須佐之男>難易度表/おに/須佐之男]]」ミッションビンゴコンプリート||
|「どんちゃん 世界旅行」大好き|楽曲「[[どんちゃん 世界旅行>難易度表/おに/どんちゃん 世界旅行]]」ミッションビンゴコンプリート||
|「U.S.A.」大好き|楽曲「[[U.S.A.>難易度表/おに/U.S.A.]]」ミッションビンゴコンプリート||
|「シンクロニシティ」大好き|楽曲「[[シンクロニシティ>難易度表/おに/シンクロニシティ]]」ミッションビンゴコンプリート||
|「さよならエレジー」大好き|楽曲「[[さよならエレジー>難易度表/おに/さよならエレジー]]」ミッションビンゴコンプリート||
|「流星」大好き|楽曲「[[流星>難易度表/おに/流星]]」ミッションビンゴコンプリート||
|「白鳥の湖」大好き|楽曲「[[白鳥の湖>難易度表/おに/白鳥の湖〜still a duckling〜]]」ミッションビンゴコンプリート||
