 
|CENTER:1|CENTER:31||LEFT:60>|>|>|CENTER:61|CENTER:61|c
|''新''|''25 / 44''|''学園天国''&br;ジャンル・J-POP|176|-|[[★×5>難易度表/ふつう/学園天国]]|[[★×3>難易度表/おに/学園天国]]|[[★×6>難易度表/おに/学園天国]]|
|''新''|''26 / 44''|''そうだ！We're ALIVE''&br;ジャンル・J-POP|120|[[★×4>難易度表/かんたん/そうだ！We're ALIVE]]|[[★×4>難易度表/ふつう/そうだ！We're ALIVE]]|[[★×3>難易度表/おに/そうだ！We're ALIVE]]|[[★×6>難易度表/おに/そうだ！We're ALIVE]]|
||''27 / 44''|''いい湯だな''&br;ジャンル・お笑い|149|[[★×3>難易度表/かんたん/いい湯だな]]|[[★×3>難易度表/ふつう/いい湯だな]]|[[★×3>難易度表/おに/いい湯だな]]&br;譜面分岐あり|[[★×6>難易度表/おに/いい湯だな]]&br;譜面分岐あり|
||''28 / 44''|''明日があるさ''&br;ジャンル・J-POP|99.9|-|[[★×3>難易度表/ふつう/明日があるさ]]|[[★×4>難易度表/おに/明日があるさ]]|[[★×6>難易度表/おに/明日があるさ]]|
|''新''|''29 / 44''|''波乗りジョニー''&br;ジャンル・J-POP|138|[[★×4>難易度表/かんたん/波乗りジョニー]]|[[★×4>難易度表/ふつう/波乗りジョニー]]|[[★×4>難易度表/おに/波乗りジョニー]]|[[★×7>難易度表/おに/波乗りジョニー]]|
|''新''|''30 / 44''|''たのしい太鼓道場''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・ナムコ|150-190|-|-|[[★×2>難易度表/むずかしい/たのしい太鼓道場]]&br;譜面分岐あり|[[★×7>難易度表/おに/たのしい太鼓道場]]|
||''31 / 44''|''LOVEマシーン''&br;ジャンル・J-POP|131|[[★×3>難易度表/かんたん/LOVEマシーン]]|[[★×3>難易度表/ふつう/LOVEマシーン]]|[[★×4>難易度表/むずかしい/LOVEマシーン]]|[[★×7>難易度表/おに/LOVEマシーン]]&br;譜面分岐あり|
||''32 / 44''|''サザエさん一家''&br;ジャンル・アニメ|92|[[★×2>難易度表/かんたん/サザエさん一家]]|[[★×2>難易度表/ふつう/サザエさん一家]]|[[★×5>難易度表/むずかしい/サザエさん一家]]|[[★×7>難易度表/おに/サザエさん一家]]|
|''新''|''33 / 44''|''虹色・夢色・太鼓色''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・ポップス|136|-|-|[[★×4>難易度表/むずかしい/虹色・夢色・太鼓色]]|[[★×7>難易度表/おに/虹色・夢色・太鼓色]]|
|''新''|''34 / 44''|''Marionette''&br;SIZE(11){　　　-マリオネット-}&br;ジャンル・J-POP|159|-|[[★×4>難易度表/ふつう/Marionette]]|[[★×5>難易度表/むずかしい/Marionette]]|[[★×8>難易度表/おに/Marionette]]|
||''35 / 44''|''ルパン三世のテーマ '78''&br;ジャンル・アニメ|138|[[★×4>難易度表/かんたん/ルパン三世のテーマ '78]]|[[★×5>難易度表/ふつう/ルパン三世のテーマ '78]]|[[★×5>難易度表/むずかしい/ルパン三世のテーマ '78]]&br;譜面分岐あり|[[★×8>難易度表/おに/ルパン三世のテーマ '78]]&br;譜面分岐あり|
||''36 / 44''|''翔べ！ガンダム''&br;ジャンル・アニメ|144|-|[[★×5>難易度表/ふつう/翔べ！ガンダム]]|[[★×6>難易度表/おに/翔べ！ガンダム]]|[[★×8>難易度表/おに/翔べ！ガンダム]]|
||''37 / 44''|''夏祭り''&br;ジャンル・J-POP|141.2|[[★×4>難易度表/かんたん/夏祭り]]|[[★×6>難易度表/ふつう/夏祭り]]|[[★×5>難易度表/むずかしい/夏祭り]]|[[★×8>難易度表/おに/夏祭り]]&br;譜面分岐あり|
||''38 / 44''|''ガッチャマンの歌''&br;ジャンル・アニメ|140|-|[[★×6>難易度表/ふつう/ガッチャマンの歌]]|[[★×5>難易度表/むずかしい/ガッチャマンの歌]]&br;譜面分岐あり|[[★×9>難易度表/むずかしい/ガッチャマンの歌]]&br;譜面分岐あり|
|''新''|''39 / 44''|''UNITE！''&br;ジャンル・J-POP|138|[[★×3>難易度表/かんたん/UNITE!]]|[[★×5>難易度表/ふつう/UNITE!]]|[[★×6>難易度表/むずかしい/UNITE!]]&br;譜面分岐あり|[[★×9>難易度表/おに/UNITE!]]&br;譜面分岐あり|
||''40 / 44''|''ラブリーX''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・ナムコ|134|-|-|-|[[★×10>難易度表/おに/ラブリーX]]&br;譜面分岐あり|
||''41 / 44''|''ゴーゴー・キッチン''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・スカ|206|-|-|-|[[★×10>難易度表/おに/ゴーゴー・キッチン]]&br;譜面分岐あり|
|''新''|''42 / 44''|''クラシックメドレー(ロック編)''&br;ジャンル・クラシック|143|-|-|[[★×7>難易度表/むずかしい/クラシックメドレー(ロック編)]]|[[★×10>難易度表/おに/クラシックメドレー(ロック編)]]|
|''新''|''43 / 44''|''太鼓侍''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・和風|135|-|-|[[★×7>難易度表/むずかしい/太鼓侍]]|[[★×10>難易度表/おに/太鼓侍]]|
|''新''|''44 / 44''|''風雲！バチお先生''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・和風|130|-|-|[[★×7>難易度表/むずかしい/風雲！バチお先生]]|[[★×10>難易度表/おに/風雲！バチお先生]]|
