*毎日チャレンジ道場 [#title]
[[Wii1の収録曲]]
|||46|CENTER:38|89|c
|曲名|BPM|レベル|出現方法|h
|[[おにマスター　その10>難易度表/その他/おにマスター　その10]]|150|7|段位「超人」|
|[[リズム列伝　その1>難易度表/その他/リズム列伝　その1]]|116|7|段位「大超人」|
|[[リズム列伝　その2>難易度表/その他/リズム列伝　その2]]|116|7|段位「大超人」|
|[[リズム列伝　その3>難易度表/その他/リズム列伝　その3]]|178|8|段位「大超人」|
|[[リズム列伝　その4>難易度表/その他/リズム列伝　その4]]|180|8|段位「大超人」|
|[[リズム列伝　その5>難易度表/その他/リズム列伝　その5]]|116|8|段位「大超人」|
|[[リズム列伝　その6>難易度表/その他/リズム列伝　その6]]|150|8|段位「太鼓狼」|
|[[リズム列伝　その7>難易度表/その他/リズム列伝　その7]]|80|9|段位「太鼓狼」|
|[[リズム列伝　その8>難易度表/その他/リズム列伝　その8]]|150|9|段位「太鼓狼」|
|[[リズム列伝　その9>難易度表/その他/リズム列伝　その9]]|180|9|段位「太鼓狼」|
|[[リズム列伝　その10>難易度表/その他/リズム列伝　その10]]|200|9|段位「太鼓狼」|
|[[毎日チャレンジ1日目>難易度表/かんたん/アンパンマンのマーチ]]|96|2|最初から出現|
|[[毎日チャレンジ2日目>難易度表/ふつう/そばにいるね]]|80|2|プレイ2日目|
|[[毎日チャレンジ3日目>難易度表/ふつう/おどるポンポコリン]]|140|3|プレイ3日目|
|[[毎日チャレンジ4日目>難易度表/ふつう/Break the Chain]]|110|3|プレイ4日目|
|[[毎日チャレンジ5日目>難易度表/ふつう/さくら（春）]]|98-135|4|プレイ5日目|
|[[毎日チャレンジ6日目>難易度表/ふつう/夢をかなえてドラえもん]]|123|4|プレイ6日目|
|[[毎日チャレンジ7日目>難易度表/ふつう/ミッキーマウス・マーチ]]|124|4|プレイ7日目|
|[[毎日チャレンジ8日目>難易度表/ふつう/俺たちコロコロAge]]|200|5|プレイ8日目|
|[[毎日チャレンジ9日目>難易度表/ふつう/TRAIN-TRAIN]]|166-195|5|プレイ9日目|
|[[毎日チャレンジ10日目>難易度表/むずかしい/Together]]|137|5|プレイ10日目|
|[[毎日チャレンジ11日目>難易度表/むずかしい/アナタボシ]]|94.5-189|5|プレイ11日目|
|[[毎日チャレンジ12日目>難易度表/むずかしい/銀河鉄道999]]|131|6|プレイ12日目|
|[[毎日チャレンジ13日目>難易度表/むずかしい/ヤッターマンの歌(ET-KING)]]|140|6|プレイ13日目|
|[[毎日チャレンジ14日目>難易度表/むずかしい/ポリリズム]]|128|6|プレイ14日目|
|[[毎日チャレンジ最終日>難易度表/むずかしい/夏祭り]]|141|6|プレイ15日目|
|[[バチおの挑戦状1通目>難易度表/かんたん/キセキ]]|90|2|段位「6級」|
|[[バチおの挑戦状2通目>難易度表/かんたん/ハンガリー舞曲第５番]]|68-166|2|段位「5級」|
|[[バチおの挑戦状3通目>難易度表/かんたん/ブルーバード]]|152|2|段位「4級」|
|[[バチおの挑戦状4通目>難易度表/かんたん/ウィリアム・テル序曲]]|152|3|段位「2級」|
|[[バチおの挑戦状5通目>難易度表/かんたん/Jungle P]]|145|3|段位「1級」|
|[[テツオの挑戦状1通目>難易度表/ふつう/虹]]|126|3|段位「初段」|
|[[テツオの挑戦状2通目>難易度表/ふつう/第九交響曲]]|89-179|4|段位「二段」|
|[[テツオの挑戦状3通目>難易度表/ふつう/もってけ！セーラーふく]]|150|4|段位「四段」|
|[[テツオの挑戦状4通目>難易度表/ふつう/もりのくまさん]]|120|4|段位「五段」|
|[[テツオの挑戦状5通目>難易度表/ふつう/レクイエム 怒りの日より]]|180|4|段位「六段」|
|[[はなのお願い1通目>難易度表/むずかしい/スーパーマリオブラザーズ(新)]]|100-180|5|段位「八段」|
|[[はなのお願い2通目>難易度表/むずかしい/季曲 〜Seasons of Asia〜]]|150|5|段位「九段」|
|[[はなのお願い3通目>難易度表/むずかしい/海雪]]|105|5|段位「皆伝」|
|[[はなのお願い4通目>難易度表/むずかしい/Do-Dai]]|171|6|段位「名人」|
|[[はなのお願い5通目>難易度表/むずかしい/スターソルジャーメドレー]]|150-200|7|段位「達人」|
|[[うなぎの挑戦状1通目>難易度表/おに/エンジェル ドリーム]]|180|8|段位「大名人」|
|[[うなぎの挑戦状2通目>難易度表/おに/エゴエゴアタクシ]]|5.31-170|9|段位「大達人」|
|[[うなぎの挑戦状3通目>難易度表/おに/デザート de 焼肉(サハラ編)]]|125|9|段位「太鼓狼」|
|[[うなぎの挑戦状4通目>難易度表/おに/神さまのBirthday]]|148|8|段位「太鼓熊」|
|[[うなぎの挑戦状5通目>難易度表/おに/Kamikaze Remix]]|158|10|段位「太鼓虎」|
|[[忍道　1巻>難易度表/その他/忍道　1巻]]|180|3|プレイ3日目|
|[[忍道　2巻>難易度表/その他/忍道　2巻]]|180|3|プレイ5日目|
|[[忍道　3巻>難易度表/その他/忍道　3巻]]|180|4|プレイ7日目|
|[[忍道　4巻>難易度表/その他/忍道　4巻]]|180|4|プレイ8日目|
|[[忍道　5巻>難易度表/その他/忍道　5巻]]|180|5|プレイ9日目|
|[[忍道　6巻>難易度表/その他/忍道　6巻]]|180|6|プレイ10日目|
|[[忍道　7巻>難易度表/その他/忍道　7巻]]|180|7|プレイ12日目|
|[[忍道　8巻>難易度表/その他/忍道　8巻]]|180|8|プレイ13日目|
|[[忍道　9巻>難易度表/その他/忍道　9巻]]|180|9|プレイ14日目|
|[[忍道　10巻>難易度表/その他/忍道　10巻]]|180|9|プレイ15日目|
|[[THE2000　1合目>難易度表/おに/さいたま2000]]|200|9|段位「太鼓竜」|
|[[THE2000　2合目>難易度表/おに/よくでる2000]]|184-190|10|段位「太鼓竜」|
|[[THE2000　3合目>難易度表/おに/恋文2000]]|200|10|段位「太鼓竜」|
|[[THE2000　4合目>難易度表/おに/ケチャドン2000]]|110-426|10|段位「太鼓竜」|
|[[THE2000　5合目>難易度表/おに/EkiBEN2000]]|194|10|段位「太鼓竜」|
|[[THE2000　6合目>難易度表/おに/タベルナ2000]]|170|10|段位「太鼓王」|
|[[THE2000　7合目>難易度表/おに/てんぢく2000]]|180|10|段位「太鼓王」|
|[[THE2000　8合目>難易度表/おに/十露盤2000]]|170-240|10|段位「太鼓王」|
|[[THE2000　9合目>難易度表/おに/X-DAY2000]]|190|10|段位「太鼓王」|
|[[THE2000　頂>難易度表/おに/きたさいたま2000]]|222|10|段位「太鼓王」|
|[[連打！>難易度表/その他/連打！]]|180|2|プレイ2日目|
|[[連打！連打！>難易度表/その他/連打！連打！]]|180|4|プレイ4日目|
|[[連打！連打！連打！>難易度表/その他/連打！連打！連打！]]|180|6|プレイ11日目|
|[[ぴったり連打1>難易度表/その他/ぴったり連打1]]|180|4|プレイ6日目|
|[[ぴったり連打2>難易度表/その他/ぴったり連打2]]|180|6|プレイ9日目|
|[[ぴったり連打3>難易度表/その他/ぴったり連打3]]|180|8|プレイ13日目|
