|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
|''新''|''18/58''|''宇宙戦艦ヤマト''|140|[[★×3>難易度表/かんたん/宇宙戦艦ヤマト]]|[[★×4>難易度表/ふつう/宇宙戦艦ヤマト]]|[[★×4>難易度表/むずかしい/宇宙戦艦ヤマト]]|[[★×6>難易度表/おに/宇宙戦艦ヤマト]]|
|''新''|''19/58''|''DANZEN!ふたりはプリキュア''|167|[[★×3>難易度表/かんたん/DANZEN! ふたりはプリキュア]]|[[★×3>難易度表/ふつう/DANZEN! ふたりはプリキュア]]|[[★×3>難易度表/むずかしい/DANZEN! ふたりはプリキュア]]|[[★×6>難易度表/おに/DANZEN! ふたりはプリキュア]]|
|''新''|''20/58''|''葛飾ラプソディ'' 〜ヤムヤムVersion〜&br;　　SIZE(11){こちら葛飾区亀有公園前派出所より}|191|[[★×2>難易度表/かんたん/葛飾ラプソディー 〜ヤムヤムVersion〜]]|[[★×2>難易度表/ふつう/葛飾ラプソディー 〜ヤムヤムVersion〜]]|[[★×4>難易度表/むずかしい/葛飾ラプソディー 〜ヤムヤムVersion〜]]|[[★×6>難易度表/おに/葛飾ラプソディー　〜ヤムヤムVersion〜]]|
|''新''|''21/58''|''青い珊瑚礁''|136|[[★×3>難易度表/かんたん/青い珊瑚礁]]|[[★×3>難易度表/ふつう/青い珊瑚礁]]|[[★×3>難易度表/むずかしい/青い珊瑚礁]]|[[★×7>難易度表/おに/青い珊瑚礁]]|
|''新''|''22/58''|''夏色''|122|[[★×3>難易度表/かんたん/夏色]]|[[★×3>難易度表/ふつう/夏色]]|[[★×5>難易度表/むずかしい/夏色]]|[[★×7>難易度表/おに/夏色]]|
|''新''|''23/58''|''Sunny Day Sunday''|170|[[★×4>難易度表/かんたん/Sunny Day Sunday]]|[[★×3>難易度表/ふつう/Sunny Day Sunday]]|[[★×3>難易度表/むずかしい/Sunny Day Sunday]]|[[★×7>難易度表/おに/Sunny Day Sunday]]|
|''新''|''24/58''|''もらい泣き''|90|[[★×3>難易度表/かんたん/もらい泣き]]|[[★×2>難易度表/ふつう/もらい泣き]]|[[★×4>難易度表/むずかしい/もらい泣き]]|[[★×7>難易度表/おに/もらい泣き]]|
||''25/58''|''ウィリアム・テル序曲''|152※|[[★×4>難易度表/かんたん/ウィリアム・テル序曲]]|[[★×5>難易度表/ふつう/ウィリアム・テル序曲]]|[[★×6>難易度表/むずかしい/ウィリアム・テル序曲]]&br;SIZE(10){譜面分岐あり}|[[★×7>難易度表/おに/ウィリアム・テル序曲]]|
|''新''|''26/58''|''和太鼓戦隊ドンレンジャー''|160|-|[[★×5>難易度表/ふつう/和太鼓戦隊ドンレンジャー]]|[[★×6>難易度表/むずかしい/和太鼓戦隊ドンレンジャー]]|[[★×7>難易度表/おに/和太鼓戦隊ドンレンジャー]]|
|''新''|''27/58''|''特捜戦隊デカレンジャー''|170|[[★×2>難易度表/かんたん/特捜戦隊デカレンジャー]]|[[★×3>難易度表/ふつう/特捜戦隊デカレンジャー]]|[[★×3>難易度表/むずかしい/特捜戦隊デカレンジャー]]|[[★×7>難易度表/おに/特捜戦隊デカレンジャー]]|
||''28/58''|''夏祭り''|141※|[[★×3>難易度表/かんたん/夏祭り]]|[[★×3>難易度表/ふつう/夏祭り]]|[[★×5>難易度表/むずかしい/夏祭り]]|[[★×7>難易度表/おに/夏祭り]]|
||''29/58''|''そばかす''|170|[[★×3>難易度表/かんたん/そばかす]]|[[★×4>難易度表/ふつう/そばかす]]|[[★×4>難易度表/むずかしい/そばかす]]|[[★×7>難易度表/おに/そばかす]]|
||''30/58''|''TRAIN-TRAIN''|171-190|[[★×3>難易度表/かんたん/TRAIN-TRAIN]]|[[★×3>難易度表/ふつう/TRAIN-TRAIN]]|[[★×5>難易度表/むずかしい/TRAIN-TRAIN]]|[[★×7>難易度表/おに/TRAIN-TRAIN]]|
|''新''|''31/58''|''いぬのおまわりさん''|112|[[★×1>難易度表/かんたん/いぬのおまわりさん]]|[[★×1>難易度表/ふつう/いぬのおまわりさん]]|[[★×2>難易度表/むずかしい/いぬのおまわりさん]]|[[★×8>難易度表/おに/いぬのおまわりさん]]|
|''新''|''32/58''|''BON VOYAGE!''&br;　　SIZE(11){ワンピースより}|140|[[★×2>難易度表/かんたん/BON VOYAGE!]]|[[★×4>難易度表/ふつう/BON VOYAGE!]]|[[★×6>難易度表/むずかしい/BON VOYAGE!]]|[[★×8>難易度表/おに/BON VOYAGE!]]|
|''新''|''33/58''|''GO!!!''&br;　　SIZE(11){NARUTOより}|134|[[★×4>難易度表/かんたん/GO!!!]]|[[★×4>難易度表/ふつう/GO!!!]]|[[★×4>難易度表/むずかしい/GO!!!]]|[[★×8>難易度表/おに/GO!!!]]|
|''新''|''34/58''|''ミッキーマウスマーチ''|124|[[★×3>難易度表/かんたん/ミッキーマウス・マーチ]]|[[★×4>難易度表/ふつう/ミッキーマウス・マーチ]]|[[★×4>難易度表/むずかしい/ミッキーマウス・マーチ]]|[[★×8>難易度表/おに/ミッキーマウス・マーチ]]|
||''35/58''|''エレクトリカルパレード''&br;　　SIZE(11){BAROQUE HOEDOWN}|40-126|[[★×2>難易度表/かんたん/エレクトリカルパレード]]|[[★×3>難易度表/ふつう/エレクトリカルパレード]]|[[★×3>難易度表/むずかしい/エレクトリカルパレード]]|[[★×8>難易度表/おに/エレクトリカルパレード]]|
||''36/58''|''Get Wild''&br;　　SIZE(11){シティーハンターより}|131.8|[[★×3>難易度表/かんたん/Get Wild]]|[[★×4>難易度表/ふつう/Get Wild]]|[[★×3>難易度表/むずかしい/Get Wild]]|[[★×8>難易度表/おに/Get Wild]]|
|''新''|''37/58''|''カルメン 組曲1番終曲''|120※|[[★×3>難易度表/かんたん/カルメン組曲一番終曲]]|[[★×4>難易度表/ふつう/カルメン組曲一番終曲]]|[[★×5>難易度表/むずかしい/カルメン組曲一番終曲]]|[[★×8>難易度表/おに/カルメン組曲一番終曲]]|
||''38/58''|''ラブリーX''|134|-|[[★×6>難易度表/ふつう/ラブリーX]]|[[★×6>難易度表/むずかしい/ラブリーX]]&br;SIZE(10){譜面分岐あり}|[[★×8>難易度表/おに/ラブリーX]]|
||''39/58''|''ゴーゴー・キッチン''|206|-|[[★×6>難易度表/ふつう/ゴーゴー・キッチン]]|[[★×6>難易度表/むずかしい/ゴーゴー・キッチン]]&br;SIZE(10){譜面分岐あり}|[[★×8>難易度表/おに/ゴーゴー・キッチン]]|
||''40/58''|''踊る大捜査線のテーマ''&br;　　SIZE(11){Rhythm and Police}|140.9|[[★×4>難易度表/かんたん/Rhythm and Police]]|[[★×5>難易度表/ふつう/Rhythm and Police]]|[[★×6>難易度表/むずかしい/Rhythm and Police]]|[[★×8>難易度表/おに/Rhythm and Police]]|
|''新''|''41/58''|''ドラゴンスピリットメドレー''|175|-|[[★×6>難易度表/ふつう/ドラゴンスピリットメドレー]]|[[★×7>難易度表/おに/ドラゴンスピリットメドレー]]|[[★×8>難易度表/おに/ドラゴンスピリットメドレー]]|
|''新''|''42/58''|''天体観測''|163|[[★×4>難易度表/かんたん/天体観測]]|[[★×5>難易度表/ふつう/天体観測]]|[[★×5>難易度表/むずかしい/天体観測]]|[[★×8>難易度表/おに/天体観測]]|
|''新''|''43/58''|''SHAKE''|130|[[★×3>難易度表/かんたん/SHAKE]]|[[★×4>難易度表/ふつう/SHAKE]]|[[★×5>難易度表/むずかしい/SHAKE]]|[[★×8>難易度表/おに/SHAKE]]|
|''新''|''44/58''|''大迷惑''|187|[[★×4>難易度表/かんたん/大迷惑]]|[[★×4>難易度表/ふつう/大迷惑]]|[[★×6>難易度表/むずかしい/大迷惑]]|[[★×8>難易度表/おに/大迷惑]]|
|''新''|''45/58''|''日本ブレイク工業社歌''|180|[[★×5>難易度表/かんたん/日本ブレイク工業社歌]]|[[★×5>難易度表/ふつう/日本ブレイク工業社歌]]|[[★×5>難易度表/むずかしい/日本ブレイク工業社歌]]|[[★×8>難易度表/おに/日本ブレイク工業社歌]]|
||''46/58''|''ラムのラブソング''|180|[[★×5>難易度表/かんたん/ラムのラブソング]]|[[★×5>難易度表/ふつう/ラムのラブソング]]|[[★×5>難易度表/むずかしい/ラムのラブソング]]|[[★×9>難易度表/おに/ラムのラブソング]]&br;SIZE(10){譜面分岐あり}|
|''新''|''47/58''|''自由　女子十二楽坊''|130|[[★×5>難易度表/かんたん/自由 女子十二楽坊]]|[[★×5>難易度表/ふつう/自由 女子十二楽坊]]|[[★×5>難易度表/むずかしい/自由 女子十二楽坊]]|[[★×9>難易度表/おに/自由 女子十二楽坊]]|
|''新''|''48/58''|''さくらんぼ''|170|[[★×4>難易度表/かんたん/さくらんぼ]]|[[★×4>難易度表/ふつう/さくらんぼ]]|[[★×4>難易度表/むずかしい/さくらんぼ]]|[[★×9>難易度表/おに/さくらんぼ]]|
|''新''|''49/58''|''ソウルキャリバー��''&br;　　SIZE(11){Brave Sword, Braver Soul}|150※|-|[[★×5>難易度表/ふつう/ソウルキャリバーII]]|[[★×5>難易度表/むずかしい/ソウルキャリバーII]]|[[★×9>難易度表/おに/ソウルキャリバーII]]|
||''50/58''|''クラシックメドレー（ロック編）''|145|-|[[★×5>難易度表/ふつう/クラシックメドレー(ロック編)]]|[[★×7>難易度表/むずかしい/クラシックメドレー(ロック編)]]|[[★×9>難易度表/おに/クラシックメドレー(ロック編)]]|
||''51/58''|''太鼓侍''|135|-|[[★×6>難易度表/ふつう/太鼓侍]]|[[★×7>難易度表/むずかしい/太鼓侍]]|[[★×9>難易度表/むずかしい/太鼓侍]]|
||''52/58''|''風雲！バチお先生''|130|-|[[★×5>難易度表/ふつう/風雲！バチお先生]]|[[★×7>難易度表/おに/風雲！バチお先生]]|[[★×9>難易度表/おに/風雲！バチお先生]]|
||''53/58''|''サタデー太鼓フィーバー''|130|-|[[★×4>難易度表/ふつう/サタデー太鼓フィーバー]]|[[★×7>難易度表/おに/サタデー太鼓フィーバー]]|[[★×10>難易度表/おに/サタデー太鼓フィーバー]]|
||''54/58''|''KAGEKIYO''&br;　　SIZE(11){源平討魔伝メドレー}|130※|-|[[★×6>難易度表/ふつう/KAGEKIYO 源平討魔伝メドレー]]|[[★×6>難易度表/むずかしい/KAGEKIYO 源平討魔伝メドレー]]|[[★×10>難易度表/おに/KAGEKIYO 源平討魔伝メドレー]]|
|''新''|''55/58''|''メカデス。''|160|-|[[★×6>難易度表/ふつう/メカデス。]]|[[★×6>難易度表/むずかしい/メカデス。]]|[[★×10>難易度表/おに/メカデス。]]|
|''新''|''56/58''|''さいたま2000''|200|-|[[★×6>難易度表/ふつう/さいたま2000]]|[[★×6>難易度表/むずかしい/さいたま2000]]|[[★×10>難易度表/おに/さいたま2000]]&br;SIZE(10){譜面分岐あり}|
|''新''|''57/58''|''Ridge Racer''&br;　　SIZE(11){リッジレーサー}|140※|-|[[★×6>難易度表/ふつう/Ridge Racer]]|[[★×7>難易度表/おに/Ridge Racer]]|[[★×10>難易度表/おに/Ridge Racer]]|
|''新''|''58/58''|''スクロール・ミカ''|150|-|[[★×6>難易度表/ふつう/スクロール・ミカ]]|[[★×6>難易度表/むずかしい/スクロール・ミカ]]|[[★×10>難易度表/おに/スクロール・ミカ]]|
