|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
|''新''|''28/54''|''true blue''|130|[[★×4>難易度表/かんたん/true blue]]|[[★×3>難易度表/ふつう/true blue]]|[[★×4>難易度表/むずかしい/true blue]]|[[★×7>難易度表/おに/true blue]]|
|''新''|''29/54''|''Get Wild''&br;　　SIZE(11){シティーハンターより}|131.8|[[★×3>難易度表/かんたん/Get Wild]]|[[★×4>難易度表/ふつう/Get Wild]]|[[★×3>難易度表/むずかしい/Get Wild]]|[[★×8>難易度表/おに/Get Wild]]|
|''新''|''30/54''|''One Night Carnival''|135|[[★×4>難易度表/かんたん/One Night Carnival]]|[[★×4>難易度表/ふつう/One Night Carnival]]|[[★×3>難易度表/むずかしい/One Night Carnival]]|[[★×6>難易度表/おに/One Night Carnival]]|
|''新''|''31/54''|''そばかす''|171|[[★×3>難易度表/かんたん/そばかす]]|[[★×4>難易度表/ふつう/そばかす]]|[[★×4>難易度表/むずかしい/そばかす]]|[[★×7>難易度表/おに/そばかす]]|
|''新''|''32/54''|''Darling''|132.1|[[★×3>難易度表/かんたん/Darling]]|[[★×4>難易度表/ふつう/Darling]]|[[★×4>難易度表/むずかしい/Darling]]|[[★×7>難易度表/おに/Darling]]|
||''33/54''|''おさかな天国''|141|[[★×1>難易度表/かんたん/おさかな天国]]|[[★×5>難易度表/ふつう/おさかな天国]]|[[★×4>難易度表/むずかしい/おさかな天国]]|[[★×5>難易度表/おに/おさかな天国]]|
|''新''|''34/54''|''エリンギのエクボ''|147|-|[[★×6>難易度表/ふつう/エリンギのエクボ]]|[[★×7>難易度表/むずかしい/エリンギのエクボ]]|[[★×9>難易度表/おに/エリンギのエクボ]]|
||''35/54''|''クラシック　新世界より''|152-172※|[[★×5>難易度表/かんたん/新世界より]]|[[★×5>難易度表/ふつう/クラシック 新世界より]]|[[★×5>難易度表/むずかしい/新世界より]]&br;SIZE(10){譜面分岐あり}|[[★×4>難易度表/おに/クラシック 新世界より]]|
|''新''|''36/54''|''交響曲第五番「運命」''|190※|[[★×5>難易度表/かんたん/交響曲第五番「運命」]]|[[★×5>難易度表/ふつう/交響曲第五番「運命」]]|[[★×6>難易度表/むずかしい/交響曲第五番「運命」]]|[[★×6>難易度表/おに/交響曲第五番「運命」]]|
|''新''|''37/54''|''ドンパン節''|98|[[★×2>難易度表/かんたん/ドンパン節]]|[[★×2>難易度表/ふつう/ドンパン節]]|[[★×2>難易度表/むずかしい/ドンパン節]]|[[★×4>難易度表/おに/ドンパン節]]|
|''新''|''38/54''|''佐賀県''|187|[[★×5>難易度表/かんたん/佐賀県]]|[[★×5>難易度表/ふつう/佐賀県]]|[[★×5>難易度表/むずかしい/佐賀県]]|[[★×8>難易度表/おに/佐賀県]]|
|''新''|''39/54''|''踊る大捜査線のテーマ''&br;　　SIZE(11){Rhythm and Police}|140.9|[[★×4>難易度表/かんたん/Rhythm and Police]]|[[★×5>難易度表/ふつう/Rhythm and Police]]|[[★×6>難易度表/むずかしい/Rhythm and Police]]|[[★×8>難易度表/おに/Rhythm and Police]]|
|''新''|''40/54''|''3年目の浮気''|100|[[★×3>難易度表/かんたん/3年目の浮気]]|[[★×3>難易度表/ふつう/3年目の浮気]]|[[★×4>難易度表/むずかしい/3年目の浮気]]|[[★×5>難易度表/おに/3年目の浮気]]|
|''新''|''41/54''|''BE ALL RIGHT!''|179|[[★×4>難易度表/かんたん/BE ALL RIGHT!]]|[[★×4>難易度表/ふつう/BE ALL RIGHT!]]|[[★×4>難易度表/むずかしい/BE ALL RIGHT!]]|[[★×8>難易度表/おに/BE ALL RIGHT!]]|
||''42/54''|''夏祭り''|141※|[[★×3>難易度表/かんたん/夏祭り]]|[[★×3>難易度表/ふつう/夏祭り]]|[[★×5>難易度表/むずかしい/夏祭り]]|[[★×8>難易度表/おに/夏祭り]]|
|''新''|''43/54''|''それが大事''|119|[[★×2>難易度表/かんたん/それが大事]]|[[★×3>難易度表/ふつう/それが大事]]|[[★×5>難易度表/むずかしい/それが大事]]|[[★×8>難易度表/おに/それが大事]]|
||''44/54''|''サザエさん一家''|92|[[★×4>難易度表/かんたん/サザエさん一家]]|[[★×3>難易度表/ふつう/サザエさん一家]]|[[★×5>難易度表/むずかしい/サザエさん一家]]|[[★×7>難易度表/おに/サザエさん一家]]|
|''新''|''45/54''|''ウィリアム・テル序曲''|152※|[[★×4>難易度表/かんたん/ウィリアム・テル序曲]]|[[★×5>難易度表/ふつう/ウィリアム・テル序曲]]|[[★×6>難易度表/むずかしい/ウィリアム・テル序曲]]&br;SIZE(10){譜面分岐あり}|[[★×7>難易度表/おに/ウィリアム・テル序曲]]|
||''46/54''|''ラブリーX''|134|-|[[★×6>難易度表/ふつう/ラブリーX]]|[[★×6>難易度表/むずかしい/ラブリーX]]&br;SIZE(10){譜面分岐あり}|[[★×8>難易度表/おに/ラブリーX]]|
||''47/54''|''ゴーゴー・キッチン''|206|-|[[★×6>難易度表/ふつう/ゴーゴー・キッチン]]|[[★×6>難易度表/むずかしい/ゴーゴー・キッチン]]&br;SIZE(10){譜面分岐あり}|[[★×8>難易度表/おに/ゴーゴー・キッチン]]|
|''新''|''48/54''|''太鼓のマーチ''|145※|-|[[★×6>難易度表/ふつう/太鼓のマーチ]]|[[★×6>難易度表/おに/太鼓のマーチ]]|[[★×7>難易度表/おに/太鼓のマーチ]]|
|''新''|''49/54''|''ねこくじら''|140※|-|[[★×5>難易度表/ふつう/ねこくじら]]|[[★×6>難易度表/むずかしい/ねこくじら]]|[[★×6>難易度表/おに/ねこくじら]]|
||''50/54''|''太鼓侍''|135|-|[[★×5>難易度表/ふつう/太鼓侍]]|[[★×7>難易度表/むずかしい/太鼓侍]]|[[★×10>難易度表/おに/太鼓侍]]|
||''51/54''|''風雲！バチお先生''|130※|-|[[★×4>難易度表/ふつう/風雲！バチお先生]]|[[★×7>難易度表/むずかしい/風雲！バチお先生]]|[[★×10>難易度表/おに/風雲！バチお先生]]|
||''52/54''|''ゼビウス体操''|130|-|[[★×4>難易度表/ふつう/ゼビウス体操]]|[[★×7>難易度表/むずかしい/ゼビウス体操]]|[[★×9>難易度表/おに/ゼビウス体操]]|
||''53/54''|''サタデー太鼓フィーバー''|130|-|[[★×4>難易度表/ふつう/サタデー太鼓フィーバー]]|[[★×7>難易度表/むずかしい/サタデー太鼓フィーバー]]|[[★×10>難易度表/おに/サタデー太鼓フィーバー]]|
|''新''|''54/54''|''KAGEKIYO''&br;　　SIZE(11){源平討魔伝メドレー}|130※|-|[[★×6>難易度表/ふつう/KAGEKIYO 源平討魔伝メドレー]]|[[★×7>難易度表/むずかしい/KAGEKIYO 源平討魔伝メドレー]]|[[★×10>難易度表/おに/KAGEKIYO 源平討魔伝メドレー]]|
