[[難易度表/おに/HARDCOREノ心得]]

-ラストがやばい --  &new{2017-09-06 (水) 18:22:34};
-今までBPM倍、HS0.5の16分で疑似32分が置かれてたけど、この曲で初めてBPM倍にしてないかつ疑似じゃない32分が置かれたってことでしょ --  &new{2017-09-18 (月) 11:40:42};
-そもそも攻略記事と譜面画像の内容が一致してないから混乱させている。32分が配置できないと仮定するなら譜面画像のようにBPM変化HSで見た目32分を再現させることになるし、32分が置けるなら14、68、72のBPM変化HSは全く必要ない。しかし、コメントの上の方で書かれている通り68、72小節でどんちゃんが吐く魂が等間隔ではないため本物の32分ではない説が濃厚。 --  &new{2017-09-18 (月) 12:08:16};
-はたラクが偽32分だとしたら、これは限りなく本物に近づけた偽32分ってところか --  &new{2017-09-18 (月) 15:55:46};
-超大型アプデでもしない限り小節分割数48から96に倍にするなんて考えられないけどな。おそらく検証すれば32分じゃないと判明すると思う。 --  &new{2017-09-18 (月) 17:28:02};
-メタナイト裏みたいな変な間隔の譜面もあるから実は置けるんじゃ無いかと --  &new{2017-09-19 (火) 07:49:22};
-↑ラストのアレのことを言ってるなら、確かBPMやHSが細かく変動してたはず。VICTORIAやANTI-HEROのアレと同じ --  &new{2017-09-19 (火) 09:02:00};
-てかなんで32分を置けるにも関わらず結局BPM390で倍取りしてるんだか --  &new{2017-09-20 (水) 21:31:19};
-置けると決まったわけじゃない --  &new{2017-09-20 (水) 21:46:02};
-同時期に収録された チルノ九周年は 倍取りしてるんだがなぁ…？ --  &new{2017-09-21 (木) 19:00:00};
-なんか7,8小節目の感じすごい好き --  &new{2017-09-21 (木) 19:38:56};
-下の譜面画像みたいに48分のHS1.5ないし24分のHS0.75として処理しているのが正解みたいだね --  &new{2017-09-21 (木) 19:42:52};
-43小節の休憩が無ければ余裕で平均密度8打/秒以上だったよな --  &new{2017-09-21 (木) 23:30:12};
-システムの詳細がよくわからんからな　小節線非表示処理と踊り子の速度変えられたら見た目では判別がつかない --  &new{2017-09-22 (金) 01:56:32};
-検証中なら一旦削除しといたほうがいいんじゃないかな？推測だけど、筆者がその小節でBPM変化が起こっていることに気付いていなかったとしたら、周囲がBPM190だから32分音符と勘違いした可能性もあるし --  &new{2017-09-22 (金) 19:44:11};
-14小節のは分からんけど68、72小節のは一瞬明らかに遅くなってる。 --  &new{2017-09-23 (土) 17:03:40};
//-ミヨスケ氏来る所間違ってる --  &new{2017-09-25 (月) 17:54:35};
//-ミヨスケ氏来る所間違ってる --  &new{2017-09-25 (月) 17:54:35};
-よく考えたら段位道場最速はどん子裏じゃない？ --  &new{2017-09-28 (木) 00:05:25};
-↑何が最速なんだ --  &new{2017-09-28 (木) 10:41:04};
-↑登場から段位道場収録までじゃないの？ --  &new{2017-09-28 (木) 14:17:09};
-↑3 確かにそうだがこのページにはどこにも「最速」とは書いてないな --  &new{2017-09-28 (木) 15:03:08};
-↑これのことをいっている可能性→「玄人以降の段位解禁とこの曲の解禁が同日なので、解禁するより前に（解禁日と同日に）段位道場でこの譜面が採用された形となった。」 --  &new{2017-09-28 (木) 15:36:03};
-すえP氏っぽいんだよな --  &new{2017-09-29 (金) 00:05:25};
-↑2 それなら成仏が最速じゃないかな --  &new{2017-09-29 (金) 01:13:09};
-どん子と成仏は最速と言うより当時は初プレイが段位以外でなかったから除外されたのでは？ --  &new{2017-09-30 (土) 19:10:36};
-↑それ以前にどこにも最速だなんて書いてない --  &new{2017-09-30 (土) 19:50:37};
-段位道場って外伝も入れんの？ --  &new{2017-09-30 (土) 19:52:21};
-クリアだけなら比較的しやすいかもですね スコアは地獄 --  &new{2017-10-02 (月) 20:28:20};
-フルコン難度は上位 --  &new{2017-10-04 (水) 01:16:22};
//-とりあえずI LOVE HARDCOREほしい --  &new{2017-10-04 (水) 01:18:54};
-正直に言ってHurtlingより苦手ですこれ。未だにクリアさえ出来ないしリズムに乗り辛くてしょうがない --  &new{2017-10-06 (金) 16:04:19};
-全コース最高難易度曲ですね --  &new{2017-10-07 (土) 22:32:33};
-↑主  誰か追加お願いします --  &new{2017-10-07 (土) 22:33:25};
-↑編集しました --  &new{2017-10-07 (土) 22:38:28};
-ラス殺しは1拍ごとに分解してみると認識しやすい --  &new{2017-10-09 (月) 07:26:42};
-フルコン狙いならラス殺しのｶﾄﾞﾄﾞｶﾄﾞﾄﾞ(24分)はﾄﾞﾄﾞをロール処理すると安定すると思う --  &new{2017-10-09 (月) 17:39:42};
-32分音符が使われているって聞いたけど結局どれもHSを使った見た目32分なの? --  &new{2017-10-15 (日) 23:23:30};
-↑68、72小節目のやつは見た目32分。14小節目のやつは検証中 --  &new{2017-10-15 (日) 23:43:35};
-34小節は最終的にこうなりましたが、実はキックが32分音符で常になっています。 --  &new{2017-10-19 (木) 12:48:00};
-ドドドカ(16分、24分)もそうだけど、場合によればその後のドドド(32分)カも前二つと同じような叩き方になる --  &new{2017-10-19 (木) 13:13:43};
-32分が似合う方の曲 --  &new{2017-10-19 (木) 13:30:54};
-69小節の最後は最後の2打だけBPM倍になっている模様 --  &new{2017-10-19 (木) 22:17:21};
-↑等速なら下の文字が「ドコドン」なのに実際は「ドドドン」となっているからです --  &new{2017-10-19 (木) 22:18:06};
-↑等速でも「ドドドン」となっている場合が[[ある>難易度表/おに/華蕾夢ミル狂詩曲〜魂ノ導〜]] --  &new{2017-10-19 (木) 22:34:14};
-通常「ドン」となる所を全て「ド」にしたりとかもできるしな --  &new{2017-10-19 (木) 22:37:32};
-↑ジョジョなどが該当するな --  &new{2017-10-20 (金) 00:36:20};
-譜面にネタを仕込んだ云々はソースを書いておいてくれ --  &new{2017-10-20 (金) 15:10:01};
-32分が入れられないというソースはどこ？ --  &new{2017-10-22 (日) 19:13:35};
-↑ソースはないが、今まで32分音符が置かれた譜面が存在しないことからの推定 --  &new{2017-10-22 (日) 19:48:57};
-↑2 48の約数以外のn分音符は入れられないと考えられているからだった気がする --  &new{2017-10-23 (月) 01:41:21};
-35小節のとこなんて言ってるんだろう... --  &new{2017-10-24 (火) 12:33:41};
-↑低速でハードコアって言ってる --  &new{2017-10-24 (火) 13:27:21};
-↑あれハードコアって言ってるのか... --  &new{2017-10-24 (火) 16:47:58};
-↑  ↑2だがよく聞いてみたら違ったわすまん --  &new{2017-10-24 (火) 18:09:39};
-最後の発狂地帯でミスった。攻略方法知りたい --  &new{2017-10-25 (水) 16:14:16};
-↑5 Hardcore never dieだと思う --  &new{2017-10-25 (水) 20:10:38};
-↑2 フルコン狙いならラス殺しのｶﾄﾞﾄﾞｶﾄﾞﾄﾞ(24分)はﾄﾞﾄﾞをロール処理すると安定すると思う(2017-10-09 (月) 17:39:42のコメより) --  &new{2017-10-27 (金) 17:24:18};
-譜面の小ネタの中で音符の下の文字に「コ」がない理由とドン大音符の数が何に合わせられているかが分からん --  &new{2017-11-03 (金) 20:31:43};
-↑44小節〜61小節にかけて、曲の盛り上がりに合わせてドン音符の割合が変化している。「コ」を使っていない理由は知らない --  &new{2017-11-03 (金) 21:25:01};
-この曲も譜面も好きだけど32分の使い方が粗いってか雑って感じが否めない　なんかインフレに合わせて無理やり難しくしてるって感じがして凄く勿体無い --  &new{2017-11-10 (金) 21:08:38};
-↑開発日記見た？雑に入れてるわけでは無いと思うぞ --  &new{2017-11-10 (金) 23:05:04};
-無限崩れラストの練習におすすめです --  &new{2017-11-11 (土) 15:39:38};
-俺の心を何回も折らせた曲。 --  &new{2017-11-18 (土) 06:09:25};
-↑9　発狂は最初の24分2つははたラクの感覚でいけるよ。ドン3つを利き手逆手と入れ替えるつもりでたたけばつながる。あとはドカドカしながら右から左からと巻き込んで、16分を打つ感覚で縁→面ロールと流して終わり。 --  &new{2017-11-26 (日) 21:39:34};
-下の画像の49小節の連打はもう少しHS緩い気がする --  &new{2017-12-12 (火) 17:30:34};
-↑BPMが半分になってるので実質倍速かと --  &new{2017-12-13 (水) 22:56:38};
-これかなり良譜面だよな --  &new{2017-12-14 (木) 19:47:06};
-たのしい(叩ければ) --  &new{2017-12-20 (水) 20:31:00};
-良い譜面だとは思うけどギミック多すぎてなんかくどいんだよな --  &new{2017-12-20 (水) 20:54:17};
//-これと鳩はいい感じの関係だと思う。体力譜面が得意ならあちら、技術譜面が得意ならこれをクリア出来たら★×10上位(難関とは言ってない)をクリアできる力はあると見ていい(あくまでも個人の主観) --  &new{2018-01-07 (日) 19:08:36};
-35小説の休憩なければ密度8.7くらいあるのやばい --  &new{2018-01-19 (金) 23:40:32};
//-タノシーのメンバー6人って誰だ？ --  &new{2018-01-31 (水) 16:45:38};
//-aranとmnkとみょーすけとredaliceととぱぞ以外にいましたっけ --  &new{2018-01-31 (水) 16:46:26};
//-フルコンに20回もかけたけど、超楽しい --  &new{2018-02-11 (日) 17:17:16};
//-ハウス全良っている？ --  &new{2018-04-03 (火) 21:48:06};
//-これがps4に来るのか…w ボタンで追いつくのか…？ --  &new{2018-04-12 (木) 14:49:18};
//-↑タイプ2なら□&#10005;→↓ガチャ押しで何とかなりそう --  &new{2018-04-12 (木) 15:49:10};
//-ps4でのHSの扱いが変わるかもしれませんね --  &new{2018-04-12 (木) 23:59:50};
-これ密度約7.69打/秒だと思うんだけど…。（35小節無かったとしたら約8.32打/秒） --  &new{2018-04-16 (月) 13:08:52};
-↑一旦非表示にしました。正確な値が出せた場合は解除お願いします。 --  &new{2018-04-16 (月) 13:40:10};
-↑BPM190固定として考えたとき、約7.95打/秒は35小節を16拍として考えてしまったのではと思う --  &new{2018-04-28 (土) 22:30:56};
-ここには書いてないけど、Extended MixとトパゾのRemixが出ましたね。 --  &new{2018-05-13 (日) 22:31:56};
-32分はボタンでどう処理すれば良いの？ --  &new{2018-05-27 (日) 01:34:57};
-最後だけ極端にリズム取りづらい --  &new{2018-06-20 (水) 16:27:29};
-誰かPS4の譜面で解析してくれ --  &new{2018-06-21 (木) 07:22:05};
-最後ボタンだと全然つながらん --  &new{2018-06-23 (土) 16:40:11};
-1秒程度の急な曲の盛り上がりっていうのは音ゲー特有のものじゃないかな。鳩のビームも然り --  &new{2018-07-01 (日) 22:56:35};
-BPMで見たらDDRの速度っぽい感じがする --  &new{2018-07-02 (月) 07:18:04};
-↑6ボタン4つ使って一押しで2打ずつ反応すれば繋がる。全良で繋ぐのは難しいけど接続だけ考えるなら一番簡単だと思う。 --  &new{2018-08-12 (日) 12:18:09};
-↑早めのタイミングでシングルをすれば繋がるよ。PS4で確認。 --  &new{2018-08-13 (月) 01:17:30};
//-サイマジョと同じラインの難易度だよなwクソムズイw --  &new{2018-08-29 (水) 14:16:28};
-個人的にはBehemothより強い気がするなぁ&#8943; --  &new{2018-10-16 (火) 21:16:29};
-↑まあフルコンと全良はBPM190の32分が上手く叩けるかどうかで変わるからなぁ。 --  &new{2018-10-16 (火) 22:05:35};
//-ボタンでも可が25はでる --  &new{2018-11-07 (水) 07:22:24};
//-いや知らねえよ --  &new{2018-11-07 (水) 07:34:30};
-behemothやった後にこれやると体感難易度が驚くくらい下がる --  &new{2018-11-08 (木) 17:09:47};
//-次郎の話だけどHBSCROLLつけてやると結構面白い --  &new{2019-01-12 (土) 14:13:31};
-876TVの視聴動画から、本来の表記は全角アルファベットで「ＨＡＲＤＣＯＲＥノ心得」か --  &new{2019-04-30 (火) 15:56:45};
-ドンだーひろば見ればわかるけど曲名の英字はだいたいは全角になってるぞ --  &new{2019-04-30 (火) 16:22:07};
-iOSで登場していますが、解析できないのでしょうか？ --  &new{2019-12-13 (金) 11:32:39};
-できるかできないかで言えばできるのでは --  &new{2019-12-13 (金) 11:51:18};
-最後ひどすぎる。。。 --  &new{2019-12-19 (木) 16:57:21};
-シングルでビームやると可で始まって可で終わる --  &new{2019-12-31 (火) 17:12:02};
-昨日今更詰め始めたけど結構簡単やん --  &new{2020-02-19 (水) 00:11:07};
-てことはこいつbpm倍取りしてないんだ --  &new{2020-03-24 (火) 04:47:01};
-gekikkってどういう意味だ…? --  &new{2020-04-07 (火) 09:09:10};
-疑似32分を置くための68と72のBPM変化は理解できるけど75の縁大音符は何故わざわざあんなにごちゃごちゃした配置にしたのか分からない --  &new{2020-04-21 (火) 04:58:32};
-↑そこ以外にも色んな所でBPM上がったり下がったりしてるじゃん、それと同じでただの演出 --  &new{2020-04-21 (火) 10:16:52};
-1.2倍なら低速簡単だしふつうのとこ見えるし、全良難易度下がるのでは? --  &new{2020-04-23 (木) 02:09:59};
-イエロー名人って神曲揃いだったね。やりがいもあるしいい段位だった。 --  &new{2020-04-29 (水) 19:34:07};
-曲IDのgekiってガバキック(Gabber kick)のこと？考えすぎかな --  &new{2020-05-19 (火) 02:09:38};
//-2-1使えば楽勝、地力A+最弱説ある --  &new{2020-05-22 (金) 00:59:07};
-87-89小節が細分化されてるけど、77-79小節とかをコピペしたのかな --  &new{2020-05-22 (金) 21:12:55};
//-↑2 地力A+ってなに？ --  &new{2020-05-22 (金) 22:16:13};
//-↑ とあるドンだーが難易度別に譜面をランク分けしたものがあるんです。詳しくは「太鼓の達人 地力表」と調べてみると出てきます。 --  &new{2020-05-22 (金) 23:02:27};
-96小節目の小節線は表示されています --  &new{2020-05-27 (水) 17:53:16};
//-↑2 個人が決めたランク分けって基本参考にならなくね？ --  &new{2020-05-27 (水) 18:11:46};
//-上手い人が作った人が作ったんだから参考になるに決まってる --  &new{2020-05-27 (水) 19:52:26};
//-↑1、2　俺は結構参考にしている。ただそのランクの上位曲でもあっさりクリアできることもあれば、下位の曲ができないこともあるから、とりあえずやってみるのがいい。 --  &new{2020-05-27 (水) 21:01:12};
//-↑全良難易度表だからね。ドラムモンスターが地力A+で神楽は地力Cとかになってるからクリアでは参考にならない部分ももちろんあるよな --  &new{2020-05-27 (水) 22:27:19};
//-↑３ 上手い下手の基準は置いといて、個人差を考慮してない部分もあると思うよ。人によっては「これなんでこんなとこにあるの？」みたいな立ち位置の曲もあるだろうし。満場一致の表なんて絶対作れないけどね --  &new{2020-05-27 (水) 23:49:25};
//-↑少なくともここにいる人の難易度感覚より全然参考になると思うが --  &new{2020-06-25 (木) 02:36:16};
//-↑ならない。ここにいる人とかTwitterにいる人とか関係ない。結局は個人差 --  &new{2020-06-25 (木) 04:59:06};
//-満場一致のものが作れない、結局は個人差だから参考にならないとか意味不明なんだが --  &new{2020-06-25 (木) 11:38:03};
-これHS1固定で譜面流したら面白いことになりそう --  &new{2020-08-09 (日) 16:18:56};
-正直ラス殺しと低速部の1部以外中並の難易度 --  &new{2020-08-20 (木) 17:28:18};
